Upper State	Lower State	Upper Vib	Lower Vib	Band Lum. (J/s/mol)
Pi	X	8	0	1.4138640045744431e-70
Pi	X	6	0	9.308727907349194e-36
Pi	X	7	1	2.0924803945303773e-39
Pi	X	5	0	3.3093083802693413e-34
Pi	X	6	1	6.957351156573618e-35
Pi	X	7	2	3.4656583661222206e-35
Pi	X	4	0	7.373416191048294e-32
Pi	X	8	3	5.88228547539325e-35
Pi	X	5	1	2.257981869880333e-32
Pi	X	6	2	1.4018212957892207e-32
Pi	X	7	3	6.83686169481494e-33
Pi	X	3	0	8.418074335810165e-28
Pi	X	8	4	5.178544589508e-33
Pi	X	4	1	1.23996961071823e-29
Pi	X	5	2	1.7014980207873117e-30
Pi	X	6	3	4.633023309995197e-31
Pi	X	2	0	8.393150401268297e-26
Pi	X	7	4	1.2450517677008685e-31
Pi	X	3	1	2.747524260435986e-26
Pi	X	8	5	5.41255789505511e-32
Pi	X	4	2	9.00003476461157e-28
Pi	X	5	3	5.10675150470116e-29
Pi	X	1	0	1.7639145013366543e-23
Pi	X	6	4	2.7834939924521622e-30
Pi	X	2	1	1.750579458683664e-24
Pi	X	7	5	4.424228795512297e-31
Pi	X	3	2	1.499210408277978e-25
Pi	X	8	6	1.162450075752869e-31
Pi	X	4	3	1.2511354432764917e-27
Pi	X	5	4	2.831490267811481e-29
Pi	X	0	0	5.020445065820519e-22
Pi	X	1	1	4.284289128107793e-23
Pi	X	6	5	2.243067447705763e-30
Pi	X	2	2	1.675237651942228e-24
Pi	X	7	6	1.6790240907423953e-31
Pi	X	3	3	7.459063552049739e-26
Pi	X	8	7	1.522874413294796e-32
Pi	X	4	4	1.5163509645703782e-28
Pi	X	5	5	4.752430559239879e-32
Pi	X	0	1	5.546594113919208e-23
Pi	X	6	6	2.220131356842228e-31
Pi	X	1	2	1.2875921458870458e-23
Pi	X	2	3	1.0869005929412895e-24
Pi	X	7	7	7.542516067871621e-32
Pi	X	3	4	8.235093970717464e-26
Pi	X	8	8	2.72202085104593e-32
Pi	X	4	5	6.694267580274781e-28
Pi	X	5	6	5.0255633062785776e-30
Pi	X	0	2	1.5543456181139725e-24
Pi	X	6	7	3.8563606115445432e-31
Pi	X	1	3	3.164973178793235e-24
Pi	X	7	8	1.347976788057905e-32
Pi	X	2	4	1.742091428802884e-25
Pi	X	3	5	4.707378044192589e-26
Pi	X	4	6	1.4386294915305328e-28
Pi	X	5	7	6.193623503962018e-30
Pi	X	0	3	8.457218692493252e-26
Pi	X	6	8	6.664676487832923e-31
Pi	X	1	4	2.3270170944299544e-25
Pi	X	2	5	2.0657120708564344e-26
Pi	X	3	6	7.844085336238788e-27
Pi	X	4	7	3.394008490700005e-29
Pi	X	5	8	1.9890067201538288e-30
Pi	X	0	4	1.5925074642184094e-27
Pi	X	1	5	2.046218077446803e-26
Pi	X	2	6	1.839063556468251e-27
Pi	X	3	7	8.300336584753654e-28
Pi	X	4	8	4.61918156458962e-30
Pi	X	1	6	1.052468123225881e-27
Pi	X	2	7	9.01607575571214e-29
Pi	X	3	8	1.1200691405603196e-28
