Upper State	Lower State	Upper Vib	Lower Vib	Band Lum. (J/s/mol)
X	X	4	1	4.8366238832297424e-52
X	X	5	2	1.5047081808222067e-35
X	X	6	3	3.1910350357314215e-32
X	X	7	4	3.3011479754939625e-32
X	X	8	5	1.0772795033700107e-32
X	X	2	0	2.2465581460543304e-26
X	X	3	1	9.947228145104402e-27
X	X	4	2	1.791533888778289e-27
X	X	5	3	4.118241402824416e-28
X	X	6	4	6.244808160421575e-29
X	X	7	5	6.906825377215706e-30
X	X	8	6	9.187542331928797e-31
X	X	1	0	4.121740719540192e-24
X	X	2	1	7.6272542612037015e-25
X	X	3	2	1.6610549538789096e-25
X	X	4	3	1.949089568260423e-26
X	X	5	4	3.292236631842264e-27
X	X	6	5	3.8988934812513016e-28
X	X	7	6	3.5031819221979085e-29
X	X	8	7	3.918152905852411e-30
X	X	0	0	2.6159185195796215e-26
X	X	1	1	3.969867282514086e-31
X	X	2	2	3.772304832401275e-32
X	X	3	3	5.259763961088635e-33
X	X	4	4	4.638465095652754e-34
X	X	5	5	6.132616592153177e-35
X	X	6	6	6.36264798482518e-36
X	X	7	7	4.9115328620053445e-37
X	X	8	8	4.5550869820889304e-38
