Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
215.14408539628866	215.21177364676586	2.793518025254021e-69	8.38263902961042	1336.407136	47802.266464	A	X	e	0	40	40	Pi	f	8	40	40	Q(40)
215.18595952180027	215.25365628089386	1.3303365109197712e-70	8.37774686607913	1403.03827944	47859.85658756	A	X	e	0	41	41	Pi	f	8	41	41	Q(41)
215.2289087017411	215.29661419040588	7.686208684570382e-72	8.37273305725532	1471.27588776	47918.82471524	A	X	e	0	42	42	Pi	f	8	42	42	Q(42)
215.27293687737398	215.34065131755276	6.208729717059785e-73	8.36759744010546	1541.11861024	47979.16892176	A	X	e	0	43	43	Pi	f	8	43	43	Q(43)
215.318048090683	215.38577170533208	4.261646509634201e-74	8.36233984831025	1612.565064	48040.887236	A	X	e	0	44	44	Pi	f	8	44	44	Q(44)
215.3642464848777	215.43197949799293	2.929537576291614e-75	8.35696011230711	1685.613834	48103.977641	A	X	e	0	45	45	Pi	f	8	45	45	Q(45)
215.41153630491186	215.47927894155438	1.122701490450174e-76	8.35145805933373	1760.26347304	48168.43807396	A	X	e	0	46	46	Pi	f	8	46	46	Q(46)
215.4599218980165	215.52767438433872	8.878871426056062e-78	8.34583351347274	1836.51250176	48234.26642624	A	X	e	0	47	47	Pi	f	8	47	47	Q(47)
215.50940771424638	215.57717027751838	5.2076883316569276e-79	8.34008629569724	1914.35940864	48301.46054336	A	X	e	0	48	48	Pi	f	8	48	48	Q(48)
215.55999830704167	215.62777117567768	3.443159557646955e-80	8.33421622391759	1993.80265	48370.018225	A	X	e	0	49	49	Pi	f	8	49	49	Q(49)
215.61169833380444	215.6794817373892	2.2973157087173176e-81	8.32822311302911	2074.84065	48439.937225	A	X	e	0	50	50	Pi	f	8	50	50	Q(50)
223.0986537876068	223.16799790383877	8.51571215343629e-43	13.7833649959983	222.14662144	45031.43869704	A	X	e	0	16	16	Pi	e	6	17	17	R(16)
223.10651452643333	223.1758603148892	9.140468892449527e-44	13.7612147412751	249.90100776	45057.61446696	A	X	e	0	17	17	Pi	e	6	18	18	R(17)
223.11527349964973	223.1846211514882	9.706533303874007e-45	13.7410253133049	279.28462824	45085.239216	A	X	e	0	18	18	Pi	e	6	19	19	R(18)
223.12493225988587	223.1942819666206	1.0312131396911487e-45	13.7224859052357	310.296904	45114.312096	A	X	e	0	19	19	Pi	e	6	20	20	R(19)
223.133196862582	223.2025483276844	6.779312047756596e-36	26.7885435194062	58.82281344	44861.17867776	A	X	e	0	8	8	Pi	f	6	8	8	Q(8)
223.13549244416262	223.20484439768308	1.1469124916350222e-46	13.7053434895253	342.937224	45144.83221416	A	X	e	0	20	20	Pi	e	6	21	21	R(20)
223.1411634452865	223.21051660541772	1.9338612689022314e-36	26.7856746904009	73.526346	44874.282834	A	X	e	0	9	9	Pi	f	6	9	9	Q(9)
223.14695577404723	223.21631016663875	1.306397227542348e-47	13.6893899765187	377.20494504	45176.79863304	A	X	e	0	21	21	Pi	e	6	22	22	R(21)
223.15001783965835	223.21937288379377	4.727351357368844e-37	26.782486634049	89.862586	44888.841594	A	X	e	0	10	10	Pi	f	6	10	10	Q(10)
223.15932405581566	223.22868108018054	1.447205125825274e-48	13.6744526516953	413.09939176	45210.21037056	A	X	e	0	22	22	Pi	e	6	23	23	R(22)
223.15976087872536	223.22911799604216	1.0094578861281575e-37	26.7789792025753	107.83121184	44904.85451136	A	X	e	0	11	11	Pi	f	6	11	11	Q(11)
223.1703934791517	223.23975285904936	1.8516135696455357e-38	26.7751522335236	127.43186976	44922.32109504	A	X	e	0	12	12	Pi	f	6	12	12	Q(12)
223.17259918062595	223.24195902990402	1.4519046106727343e-49	13.660386954821	450.61985664	45245.0664	A	X	e	0	23	23	Pi	e	6	24	24	R(23)
223.18191664133346	223.25127847345388	2.918557792768243e-39	26.771005549785	148.66417384	44941.24080936	A	X	e	0	13	13	Pi	f	6	13	13	Q(13)
223.18678312470007	223.2561459924895	1.2570206385050375e-50	13.6470709581322	489.7656	45281.36565	A	X	e	0	24	24	Pi	e	6	25	25	R(24)
223.1943314495029	223.263695923751	3.8391312940702344e-40	26.7665389596275	171.527706	44961.613074	A	X	e	0	14	14	Pi	f	6	14	14	Q(14)
223.20187794951525	223.27124402989318	1.0241876235764063e-51	13.6344010947493	530.53585	45319.10700456	A	X	e	0	25	25	Pi	e	6	26	26	R(25)
223.2076390718418	223.2770063784057	4.619777349605772e-41	26.7617522567293	196.022016	44983.437264	A	X	e	0	15	15	Pi	f	6	15	15	Q(15)
223.21788580200445	223.28725528954803	8.6005805049974e-53	13.6222888190807	572.92980264	45358.28930304	A	X	e	0	26	26	Pi	e	6	27	27	R(26)
223.22184076060353	223.29121108997504	5.9613082220535e-42	26.7566452202138	222.14662144	45006.71270976	A	X	e	0	16	16	Pi	f	6	16	16	Q(16)
223.2348089147667	223.3041820045739	7.774442678172425e-54	13.6106579703077	616.94662176	45398.91134016	A	X	e	0	27	27	Pi	e	6	28	28	R(27)
223.23693785224395	223.30631139523922	1.6517343093094744e-42	26.7512176146874	249.90100776	45031.43869704	A	X	e	0	17	17	Pi	f	6	17	17	Q(17)
223.25264960628618	223.32202649399707	6.734524095542363e-55	13.5994426721174	662.58543904	45440.971866	A	X	e	0	28	28	Pi	e	6	29	29	R(28)
223.25293176756145	223.32230871534114	1.7753215818958899e-43	26.7454691902801	279.28462824	45057.61446696	A	X	e	0	18	18	Pi	f	6	18	18	Q(18)
223.269824011846	223.33920455593596	1.887539126253158e-44	26.7393996826882	310.296904	45085.239216	A	X	e	0	19	19	Pi	f	6	19	19	Q(19)
