Upper State	Lower State	Upper Vib	Lower Vib	Band Lum. (J/s/mol)
Pi	X	6	0	2.1487403371376473e-22
Pi	X	5	0	4.209731336265618e-22
Pi	X	6	1	1.8032316145269643e-22
Pi	X	4	0	1.1466508095968964e-21
Pi	X	5	1	1.0691141508314282e-22
Pi	X	3	0	2.366267322789371e-21
Pi	X	6	2	2.684930747887032e-23
Pi	X	4	1	1.1401567158478683e-23
Pi	X	5	2	1.561576043056566e-22
Pi	X	2	0	1.9682471523916712e-21
Pi	X	3	1	2.1747282584135468e-22
Pi	X	4	2	4.7530627457355195e-22
Pi	X	1	0	1.1561898374069866e-21
Pi	X	2	1	9.820630396071649e-22
Pi	X	3	2	4.864262047290336e-22
Pi	X	0	0	1.829821401426178e-22
Pi	X	1	1	1.4273472011453571e-21
Pi	X	2	2	2.9839080312608293e-22
Pi	X	0	1	4.123771886746364e-22
Pi	X	1	2	4.095534017159536e-22
Pi	X	0	2	3.6358699287901305e-22
