Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
204.21046042904385	204.27602327915005	2.2383702634436073e-26	2119448.39568642	110.18976948	49063.56099472	A	X	F1e	0	7	7.5	B	F1e	2	8	8.5	rR1(7.5)
204.21062672028606	204.27618960101202	4.4658461623486375e-26	2101781.19189745	82.64945952	49035.98082688	A	X	F1e	0	6	6.5	B	F1e	2	7	7.5	rR1(6.5)
204.21086335050677	204.27642627480432	3.659451522910962e-26	2101773.88656186	110.12144448	49063.39609472	A	X	F2f	0	7	6.5	B	F2f	2	8	7.5	rR2(6.5)
204.21098671125395	204.27654965826645	6.602934698035146e-26	2078673.70365171	82.59024452	49035.83532688	A	X	F2f	0	6	5.5	B	F2f	2	7	6.5	rR2(5.5)
204.21114841083983	204.27671138762682	3.0751521787347096e-28	17661.8914799908	110.18976948	49063.39609472	A	X	F1e	0	7	7.5	B	F2f	2	8	7.5	rQ21(7.5)
204.21123376379495	204.27679675629844	7.336558610923166e-28	23096.2906713622	82.64945952	49035.83532688	A	X	F1e	0	6	6.5	B	F2f	2	7	6.5	rQ21(6.5)
204.2123363579548	204.27789955348564	1.0027767952637562e-26	2133333.35062071	141.66072512	49094.582318	A	X	F1e	0	8	8.5	B	F1e	2	9	9.5	rR1(8.5)
204.21278221870543	204.27834549633607	1.8187819196526105e-26	2119376.11543283	141.58329012	49094.398018	A	X	F2f	0	8	7.5	B	F2f	2	9	8.5	rR2(7.5)
204.21283292658663	204.27839621355457	7.265743909768012e-26	2078617.33423682	59.040857	49011.84343112	A	X	F1e	0	5	5.5	B	F1e	2	6	6.5	rR1(5.5)
204.21310529321227	204.27866863033344	1.1965594813613745e-28	13943.1977498328	141.66072512	49094.398018	A	X	F1e	0	8	8.5	B	F2f	2	9	8.5	rQ21(8.5)
204.21314999326987	204.27871333862205	9.057231541995992e-26	2047113.59827191	58.990752	49011.71733112	A	X	F2f	0	5	4.5	B	F2f	2	6	5.5	rR2(4.5)
204.21335904211622	204.27892242596252	1.3934145323619124e-27	31493.9586519945	59.040857	49011.71733112	A	X	F1e	0	5	5.5	B	F2f	2	6	5.5	rQ21(5.5)
204.21625714497526	204.28182106248624	7.686222077154819e-27	2144497.32298588	177.061113	49129.042978	A	X	F1e	0	9	9.5	B	F1e	2	10	10.5	rR1(9.5)
204.21674595639413	204.282309963918	1.4355945623653533e-26	2133195.17900126	176.974568	49128.839278	A	X	F2f	0	9	8.5	B	F2f	2	10	9.5	rR2(8.5)
204.21707707525292	204.28264114375148	9.21160160004844e-26	2046995.51909523	39.364872	48991.150222	A	X	F1e	0	4	4.5	B	F1e	2	5	5.5	rR1(4.5)
204.2171070537459	204.28267112776496	7.595684709471082e-29	11286.6871153545	177.061113	49128.839278	A	X	F1e	0	9	9.5	B	F2f	2	10	9.5	rQ21(9.5)
204.21735122128456	204.2829153402666	1.0038405495664363e-25	2001498.67029108	39.323877	48991.043522	A	X	F2f	0	4	3.5	B	F2f	2	5	4.5	rR2(3.5)
204.21752226825302	204.28308641873306	2.2814481519868702e-27	45488.4918587092	39.364872	48991.043522	A	X	F1e	0	4	4.5	B	F2f	2	5	4.5	rQ21(4.5)
204.22335752561628	204.2889227506892	1.0563726681154411e-25	2001322.10461777	23.62226292	48973.902412	A	X	F1e	0	3	3.5	B	F1e	2	4	4.5	rR1(3.5)
204.2235887520563	204.28915401971233	1.0268714396365871e-25	1929839.76102819	23.59037792	48973.815112	A	X	F2f	0	3	2.5	B	F2f	2	4	3.5	rR2(2.5)
204.22372179668656	204.28928708884436	3.803217644895159e-27	71475.4070324787	23.62226292	48973.815112	A	X	F1e	0	3	3.5	B	F2f	2	4	3.5	rQ21(3.5)
204.2316729687366	204.29723972527097	1.0201459963976518e-25	1929610.63166947	11.81363648	48960.10101152	A	X	F1e	0	2	2.5	B	F1e	2	3	3.5	rR1(2.5)
204.23186127407484	204.2974280652913	7.946448680491003e-26	1800964.94200061	11.79086148	48960.03311152	A	X	F2f	0	2	1.5	B	F2f	2	3	2.5	rR2(1.5)
204.23195631363222	204.2975231223531	5.676024207836994e-27	128640.173435924	11.81363648	48960.03311152	A	X	F1e	0	2	2.5	B	F2f	2	3	2.5	rQ21(2.5)
204.2420224271866	204.30759109000118	7.594200782462809e-26	1800696.19514712	3.93944772	48949.74682888	A	X	F1e	0	1	1.5	B	F1e	2	2	2.5	rR1(1.5)
204.24216780734565	204.30773649693964	4.7079144068015265e-26	1500576.95871145	3.92578272	48949.69832888	A	X	F2f	0	1	0.5	B	F2f	2	2	1.5	rR2(0.5)
204.2422248368229	204.30779353692193	9.415818298517433e-27	300115.140377842	3.93944772	48949.69832888	A	X	F1e	0	1	1.5	B	F2f	2	2	1.5	rQ21(1.5)
204.2544052549187	204.31997619885215	4.7010797381038987e-26	1500307.3005783	0	48942.84047032	A	X	F1e	0	0	0.5	B	F1e	2	1	1.5	rR1(0.5)
204.25452671537354	204.32009768168365	2.3853418084119215e-26	1500304.62446166	0	48942.81137032	A	X	F1e	0	0	0.5	B	F2f	2	1	0.5	rQ21(0.5)
204.28522959168052	204.3508062154235	2.4544877408631736e-26	1499628.35751242	3.92578272	48939.38234	A	X	F2f	0	1	0.5	B	F1e	2	0	0.5	pQ12(0.5)
204.2852866451995	204.3508632794573	4.908969998493833e-26	2999254.20243984	3.93944772	48939.38234	A	X	F1e	0	1	1.5	B	F1e	2	0	0.5	pP1(1.5)
204.3036309444928	204.36921095993364	9.393102420715378e-27	299844.648168847	11.79086148	48942.84047032	A	X	F2f	0	2	1.5	B	F1e	2	1	1.5	pQ12(1.5)
204.30372605083397	204.36930608380658	8.453776439354865e-26	2698598.0653216	11.81363648	48942.84047032	A	X	F1e	0	2	2.5	B	F1e	2	1	1.5	pP1(2.5)
204.30375246347793	204.3693325013194	4.766088037261021e-26	2998441.13203372	11.79086148	48942.81137032	A	X	F2f	0	2	1.5	B	F2f	2	1	0.5	pP2(1.5)
204.3240663630725	204.38965014599643	5.415723101613528e-27	128466.301198621	23.59037792	48949.74682888	A	X	F2f	0	3	2.5	B	F1e	2	2	2.5	pQ12(2.5)
204.32419953860307	204.3897833460823	1.0831417967996665e-25	2569321.00071413	23.62226292	48949.74682888	A	X	F1e	0	3	3.5	B	F1e	2	2	2.5	pP1(3.5)
204.32426893529845	204.38985275557334	8.460635586925e-26	2697784.30229692	23.59037792	48949.69832888	A	X	F2f	0	3	2.5	B	F2f	2	2	1.5	pP2(2.5)
204.34653685424766	204.41212478089795	3.769831601008871e-27	71346.628971957	39.323877	48960.10101152	A	X	F2f	0	4	3.5	B	F1e	2	3	3.5	pQ12(3.5)
204.34670811761117	204.41229607584802	1.319436637658176e-25	2497125.73632748	39.364872	48960.10101152	A	X	F1e	0	4	4.5	B	F1e	2	3	3.5	pP1(4.5)
