ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
204.27602327915005	2119448.39568642	110.18976948	49063.56099472	A	X	F1e	0	7	7.5	B	F1e	2	8	8.5	rR1(7.5)
204.27618960101202	2101781.19189745	82.64945952	49035.98082688	A	X	F1e	0	6	6.5	B	F1e	2	7	7.5	rR1(6.5)
204.27642627480432	2101773.88656186	110.12144448	49063.39609472	A	X	F2f	0	7	6.5	B	F2f	2	8	7.5	rR2(6.5)
204.27654965826645	2078673.70365171	82.59024452	49035.83532688	A	X	F2f	0	6	5.5	B	F2f	2	7	6.5	rR2(5.5)
204.27671138762682	17661.8914799908	110.18976948	49063.39609472	A	X	F1e	0	7	7.5	B	F2f	2	8	7.5	rQ21(7.5)
204.27679675629844	23096.2906713622	82.64945952	49035.83532688	A	X	F1e	0	6	6.5	B	F2f	2	7	6.5	rQ21(6.5)
204.27789955348564	2133333.35062071	141.66072512	49094.582318	A	X	F1e	0	8	8.5	B	F1e	2	9	9.5	rR1(8.5)
204.27834549633607	2119376.11543283	141.58329012	49094.398018	A	X	F2f	0	8	7.5	B	F2f	2	9	8.5	rR2(7.5)
204.27839621355457	2078617.33423682	59.040857	49011.84343112	A	X	F1e	0	5	5.5	B	F1e	2	6	6.5	rR1(5.5)
204.27866863033344	13943.1977498328	141.66072512	49094.398018	A	X	F1e	0	8	8.5	B	F2f	2	9	8.5	rQ21(8.5)
204.27871333862205	2047113.59827191	58.990752	49011.71733112	A	X	F2f	0	5	4.5	B	F2f	2	6	5.5	rR2(4.5)
204.27892242596252	31493.9586519945	59.040857	49011.71733112	A	X	F1e	0	5	5.5	B	F2f	2	6	5.5	rQ21(5.5)
204.28182106248624	2144497.32298588	177.061113	49129.042978	A	X	F1e	0	9	9.5	B	F1e	2	10	10.5	rR1(9.5)
204.282309963918	2133195.17900126	176.974568	49128.839278	A	X	F2f	0	9	8.5	B	F2f	2	10	9.5	rR2(8.5)
204.28264114375148	2046995.51909523	39.364872	48991.150222	A	X	F1e	0	4	4.5	B	F1e	2	5	5.5	rR1(4.5)
204.28267112776496	11286.6871153545	177.061113	49128.839278	A	X	F1e	0	9	9.5	B	F2f	2	10	9.5	rQ21(9.5)
204.2829153402666	2001498.67029108	39.323877	48991.043522	A	X	F2f	0	4	3.5	B	F2f	2	5	4.5	rR2(3.5)
204.28308641873306	45488.4918587092	39.364872	48991.043522	A	X	F1e	0	4	4.5	B	F2f	2	5	4.5	rQ21(4.5)
204.2889227506892	2001322.10461777	23.62226292	48973.902412	A	X	F1e	0	3	3.5	B	F1e	2	4	4.5	rR1(3.5)
204.28915401971233	1929839.76102819	23.59037792	48973.815112	A	X	F2f	0	3	2.5	B	F2f	2	4	3.5	rR2(2.5)
204.28928708884436	71475.4070324787	23.62226292	48973.815112	A	X	F1e	0	3	3.5	B	F2f	2	4	3.5	rQ21(3.5)
204.29723972527097	1929610.63166947	11.81363648	48960.10101152	A	X	F1e	0	2	2.5	B	F1e	2	3	3.5	rR1(2.5)
204.2974280652913	1800964.94200061	11.79086148	48960.03311152	A	X	F2f	0	2	1.5	B	F2f	2	3	2.5	rR2(1.5)
204.2975231223531	128640.173435924	11.81363648	48960.03311152	A	X	F1e	0	2	2.5	B	F2f	2	3	2.5	rQ21(2.5)
204.30759109000118	1800696.19514712	3.93944772	48949.74682888	A	X	F1e	0	1	1.5	B	F1e	2	2	2.5	rR1(1.5)
204.30773649693964	1500576.95871145	3.92578272	48949.69832888	A	X	F2f	0	1	0.5	B	F2f	2	2	1.5	rR2(0.5)
204.30779353692193	300115.140377842	3.93944772	48949.69832888	A	X	F1e	0	1	1.5	B	F2f	2	2	1.5	rQ21(1.5)
204.31997619885215	1500307.3005783	0	48942.84047032	A	X	F1e	0	0	0.5	B	F1e	2	1	1.5	rR1(0.5)
204.32009768168365	1500304.62446166	0	48942.81137032	A	X	F1e	0	0	0.5	B	F2f	2	1	0.5	rQ21(0.5)
204.3508062154235	1499628.35751242	3.92578272	48939.38234	A	X	F2f	0	1	0.5	B	F1e	2	0	0.5	pQ12(0.5)
204.3508632794573	2999254.20243984	3.93944772	48939.38234	A	X	F1e	0	1	1.5	B	F1e	2	0	0.5	pP1(1.5)
204.36921095993364	299844.648168847	11.79086148	48942.84047032	A	X	F2f	0	2	1.5	B	F1e	2	1	1.5	pQ12(1.5)
204.36930608380658	2698598.0653216	11.81363648	48942.84047032	A	X	F1e	0	2	2.5	B	F1e	2	1	1.5	pP1(2.5)
204.3693325013194	2998441.13203372	11.79086148	48942.81137032	A	X	F2f	0	2	1.5	B	F2f	2	1	0.5	pP2(1.5)
204.38965014599643	128466.301198621	23.59037792	48949.74682888	A	X	F2f	0	3	2.5	B	F1e	2	2	2.5	pQ12(2.5)
204.3897833460823	2569321.00071413	23.62226292	48949.74682888	A	X	F1e	0	3	3.5	B	F1e	2	2	2.5	pP1(3.5)
204.38985275557334	2697784.30229692	23.59037792	48949.69832888	A	X	F2f	0	3	2.5	B	F2f	2	2	1.5	pP2(2.5)
204.41212478089795	71346.628971957	39.323877	48960.10101152	A	X	F2f	0	4	3.5	B	F1e	2	3	3.5	pQ12(3.5)
204.41229607584802	2497125.73632748	39.364872	48960.10101152	A	X	F1e	0	4	4.5	B	F1e	2	3	3.5	pP1(4.5)
204.4124084968025	2568467.94818133	39.323877	48960.03311152	A	X	F2f	0	4	3.5	B	F2f	2	3	2.5	pP2(3.5)
204.43663620428174	45386.0713221109	58.990752	48973.902412	A	X	F2f	0	5	4.5	B	F1e	2	4	4.5	pQ12(4.5)
