Upper State	Lower State	Upper Vib	Lower Vib	Band Lum. (J/s/mol)
Pi	X	6	0	3.756587255057162e-22
Pi	X	5	0	6.119875065297296e-22
Pi	X	6	1	3.1435103196134776e-22
Pi	X	4	0	1.4589965414853394e-21
Pi	X	5	1	1.5543365421056994e-22
Pi	X	3	0	2.3610915435220188e-21
Pi	X	6	2	4.680774038149255e-23
Pi	X	4	1	1.4509452836530565e-23
Pi	X	5	2	2.2705036184631366e-22
Pi	X	2	0	1.4302486173057993e-21
Pi	X	3	1	2.1701377528529084e-22
Pi	X	4	2	6.049710041308896e-22
Pi	X	1	0	4.837473464306898e-22
Pi	X	2	1	7.137123162938594e-22
Pi	X	3	2	4.854435368461866e-22
Pi	X	0	0	2.5443301329869765e-23
Pi	X	1	1	5.972848223760365e-22
Pi	X	2	2	2.168861164250798e-22
Pi	X	0	1	5.734880806313955e-23
Pi	X	1	2	1.7141102609153085e-22
Pi	X	0	2	5.057304658349582e-23
