State	Vibr.	J	Energy	Index
X	0	0	0	0
X	0	1	1.63415464	1
X	0	2	4.90243176	2
X	0	3	9.80476704	3
X	0	4	16.341064	4
X	0	5	24.511194	5
X	0	6	34.31499624	6
X	0	7	45.75227776	7
X	0	8	58.82281344	8
X	0	9	73.526346	9
X	0	10	89.862586	10
X	0	11	107.83121184	11
X	0	12	127.43186976	12
X	0	13	148.66417384	13
X	0	14	171.527706	14
X	0	15	196.022016	15
X	0	16	222.14662144	16
X	0	17	249.90100776	17
X	0	18	279.28462824	18
X	0	19	310.296904	19
X	0	20	342.937224	20
X	0	21	377.20494504	21
X	0	22	413.09939176	22
X	0	23	450.61985664	23
X	0	24	489.7656	24
X	0	25	530.53585	25
X	0	26	572.92980264	26
X	0	27	616.94662176	27
X	0	28	662.58543904	28
X	0	29	709.845354	29
X	0	30	758.725434	30
X	0	31	809.22471424	31
X	0	32	861.34219776	32
X	0	33	915.07685544	33
X	0	34	970.427626	34
X	0	35	1027.393416	35
X	0	36	1085.97309984	36
X	0	37	1146.16551976	37
X	0	38	1207.96948584	38
X	0	39	1271.383776	39
X	1	0	1272.16	40
X	1	1	1273.78231464	41
X	1	2	1277.02691176	42
X	1	3	1281.89372704	43
X	1	4	1288.382664	44
X	1	5	1296.493594	45
X	1	6	1306.22635624	46
X	1	7	1317.58075776	47
X	1	8	1330.55657344	48
X	0	40	1336.407136	49
X	1	9	1345.153546	50
X	1	10	1361.371386	51
X	1	11	1379.20977184	52
X	1	12	1398.66834976	53
X	0	41	1403.03827944	54
X	1	13	1419.74673384	55
X	1	14	1442.444506	56
X	1	15	1466.761216	57
X	0	42	1471.27588776	58
X	1	16	1492.69638144	59
X	1	17	1520.24948776	60
X	0	43	1541.11861024	61
X	1	18	1549.41998824	62
X	1	19	1580.207304	63
X	0	44	1612.565064	64
X	1	20	1612.610824	65
X	1	21	1646.62990504	66
X	1	22	1682.26387176	67
X	0	45	1685.613834	68
X	1	23	1719.51201664	69
X	1	24	1758.3736	70
X	0	46	1760.26347304	71
X	1	25	1798.84785	72
X	0	47	1836.51250176	73
X	1	26	1840.93396264	74
X	1	27	1884.63110176	75
X	0	48	1914.35940864	76
X	1	28	1929.93839904	77
X	1	29	1976.854954	78
X	0	49	1993.80265	79
X	1	30	2025.379834	80
X	0	50	2074.84065	81
X	1	31	2075.51207424	82
X	1	32	2127.25067776	83
X	1	33	2180.59461544	84
X	1	34	2235.542826	85
X	1	35	2292.094216	86
X	1	36	2350.24765984	87
X	1	37	2410.00199976	88
X	1	38	2471.35604584	89
X	2	0	2531.35	90
X	2	1	2532.9604746	91
X	1	39	2534.308576	92
X	2	2	2536.1813914	93
X	2	3	2541.0126856	94
X	2	4	2547.45426	95
X	2	5	2555.505985	96
X	2	6	2565.1676986	97
X	2	7	2576.4392064	98
X	2	8	2589.3202816	99
X	1	40	2598.858336	100
X	2	9	2603.810665	101
X	2	10	2619.910065	102
X	2	11	2637.6181576	103
X	2	12	2656.9345864	104
X	1	41	2665.00403944	105
X	2	13	2677.8589626	106
X	2	14	2700.390865	107
X	2	15	2724.52984	108
X	1	42	2732.74436776	109
X	2	16	2750.2754016	110
X	2	17	2777.6270314	111
X	1	43	2802.07797024	112
X	2	18	2806.5841786	113
X	2	19	2837.14626	114
X	2	20	2869.31266	115
X	1	44	2873.003464	116
X	2	21	2903.0827306	117
X	2	22	2938.4557914	118
X	1	45	2945.519434	119
X	2	23	2975.4311296	120
X	2	24	3014.008	121
X	1	46	3019.62443304	122
X	2	25	3054.185625	123
X	1	47	3095.31698176	124
X	2	26	3095.9631946	125
X	2	27	3139.3398664	126
X	1	48	3172.59556864	127
X	2	28	3184.3147656	128
X	2	29	3230.886985	129
X	1	49	3251.45865	130
X	2	30	3279.055585	131
X	2	31	3328.8195936	132
X	1	50	3331.90465	133
X	2	32	3380.1780064	134
X	2	33	3433.1297866	135
X	2	34	3487.673865	136
X	2	35	3543.80914	137
X	2	36	3601.5344776	138
X	2	37	3660.8487114	139
X	2	38	3721.7506426	140
X	3	0	3777.6	141
X	3	1	3779.1986346	142
X	3	2	3782.3958714	143
X	2	39	3784.23904	144
X	3	3	3787.1916456	145
X	3	4	3793.58586	146
X	3	5	3801.578385	147
X	3	6	3811.1690586	148
X	3	7	3822.3576864	149
X	3	8	3835.1440416	150
X	2	40	3848.31264	151
X	3	9	3849.527865	152
X	3	10	3865.508865	153
X	3	11	3883.0867176	154
X	3	12	3902.2610664	155
X	2	41	3913.9701466	156
X	3	13	3923.0315226	157
X	3	14	3945.397665	158
X	3	15	3969.35904	159
X	2	42	3981.2102314	160
X	3	16	3994.9151616	161
X	3	17	4022.0655114	162
X	2	43	4050.0315336	163
X	3	18	4050.8095386	164
X	3	19	4081.14666	165
X	3	20	4113.07626	166
X	2	44	4120.43266	167
X	3	21	4146.5976906	168
X	3	22	4181.7102714	169
X	2	45	4192.412185	170
X	3	23	4218.4132896	171
X	3	24	4256.706	172
X	2	46	4265.9686506	173
X	3	25	4296.587625	174
X	3	26	4338.0573546	175
X	2	47	4341.1005664	176
X	3	27	4381.1143464	177
X	2	48	4417.8064096	178
X	3	28	4425.7577256	179
X	3	29	4471.986585	180
X	2	49	4496.084625	181
X	3	30	4519.799985	182
X	3	31	4569.1969536	183
X	2	50	4575.933625	184
X	3	32	4620.1764864	185
