ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
215.21177364676586	8.38263902961042	1336.407136	47802.266464	A	X	e	0	40	40	Pi	f	8	40	40	Q(40)
215.25365628089386	8.37774686607913	1403.03827944	47859.85658756	A	X	e	0	41	41	Pi	f	8	41	41	Q(41)
215.29661419040588	8.37273305725532	1471.27588776	47918.82471524	A	X	e	0	42	42	Pi	f	8	42	42	Q(42)
215.34065131755276	8.36759744010546	1541.11861024	47979.16892176	A	X	e	0	43	43	Pi	f	8	43	43	Q(43)
215.38577170533208	8.36233984831025	1612.565064	48040.887236	A	X	e	0	44	44	Pi	f	8	44	44	Q(44)
215.43197949799293	8.35696011230711	1685.613834	48103.977641	A	X	e	0	45	45	Pi	f	8	45	45	Q(45)
215.47927894155438	8.35145805933373	1760.26347304	48168.43807396	A	X	e	0	46	46	Pi	f	8	46	46	Q(46)
215.52767438433872	8.34583351347274	1836.51250176	48234.26642624	A	X	e	0	47	47	Pi	f	8	47	47	Q(47)
215.57717027751838	8.34008629569724	1914.35940864	48301.46054336	A	X	e	0	48	48	Pi	f	8	48	48	Q(48)
215.62777117567768	8.33421622391759	1993.80265	48370.018225	A	X	e	0	49	49	Pi	f	8	49	49	Q(49)
215.6794817373892	8.32822311302911	2074.84065	48439.937225	A	X	e	0	50	50	Pi	f	8	50	50	Q(50)
223.16799790383877	13.7833649959983	222.14662144	45031.43869704	A	X	e	0	16	16	Pi	e	6	17	17	R(16)
223.1758603148892	13.7612147412751	249.90100776	45057.61446696	A	X	e	0	17	17	Pi	e	6	18	18	R(17)
223.1846211514882	13.7410253133049	279.28462824	45085.239216	A	X	e	0	18	18	Pi	e	6	19	19	R(18)
223.1942819666206	13.7224859052357	310.296904	45114.312096	A	X	e	0	19	19	Pi	e	6	20	20	R(19)
223.2025483276844	26.7885435194062	58.82281344	44861.17867776	A	X	e	0	8	8	Pi	f	6	8	8	Q(8)
223.20484439768308	13.7053434895253	342.937224	45144.83221416	A	X	e	0	20	20	Pi	e	6	21	21	R(20)
223.21051660541772	26.7856746904009	73.526346	44874.282834	A	X	e	0	9	9	Pi	f	6	9	9	Q(9)
223.21631016663875	13.6893899765187	377.20494504	45176.79863304	A	X	e	0	21	21	Pi	e	6	22	22	R(21)
223.21937288379377	26.782486634049	89.862586	44888.841594	A	X	e	0	10	10	Pi	f	6	10	10	Q(10)
223.22868108018054	13.6744526516953	413.09939176	45210.21037056	A	X	e	0	22	22	Pi	e	6	23	23	R(22)
223.22911799604216	26.7789792025753	107.83121184	44904.85451136	A	X	e	0	11	11	Pi	f	6	11	11	Q(11)
223.23975285904936	26.7751522335236	127.43186976	44922.32109504	A	X	e	0	12	12	Pi	f	6	12	12	Q(12)
223.24195902990402	13.660386954821	450.61985664	45245.0664	A	X	e	0	23	23	Pi	e	6	24	24	R(23)
223.25127847345388	26.771005549785	148.66417384	44941.24080936	A	X	e	0	13	13	Pi	f	6	13	13	Q(13)
223.2561459924895	13.6470709581322	489.7656	45281.36565	A	X	e	0	24	24	Pi	e	6	25	25	R(24)
223.263695923751	26.7665389596275	171.527706	44961.613074	A	X	e	0	14	14	Pi	f	6	14	14	Q(14)
223.27124402989318	13.6344010947493	530.53585	45319.10700456	A	X	e	0	25	25	Pi	e	6	26	26	R(25)
223.2770063784057	26.7617522567293	196.022016	44983.437264	A	X	e	0	15	15	Pi	f	6	15	15	Q(15)
223.28725528954803	13.6222888190807	572.92980264	45358.28930304	A	X	e	0	26	26	Pi	e	6	27	27	R(26)
223.29121108997504	26.7566452202138	222.14662144	45006.71270976	A	X	e	0	16	16	Pi	f	6	16	16	Q(16)
223.3041820045739	13.6106579703077	616.94662176	45398.91134016	A	X	e	0	27	27	Pi	e	6	28	28	R(27)
223.30631139523922	26.7512176146874	249.90100776	45031.43869704	A	X	e	0	17	17	Pi	f	6	17	17	Q(17)
223.32202649399707	13.5994426721174	662.58543904	45440.971866	A	X	e	0	28	28	Pi	e	6	29	29	R(28)
223.32230871534114	26.7454691902801	279.28462824	45057.61446696	A	X	e	0	18	18	Pi	f	6	18	18	Q(18)
223.33920455593596	26.7393996826882	310.296904	45085.239216	A	X	e	0	19	19	Pi	f	6	19	19	Q(19)
223.34079116297963	13.5885856456109	709.845354	45484.469586	A	X	e	0	29	29	Pi	e	6	30	30	R(29)
223.35700050734863	26.7330088132201	342.937224	45114.312096	A	X	e	0	20	20	Pi	f	6	20	20	Q(20)
223.36047850305832	13.5780368435707	758.725434	45529.40316096	A	X	e	0	30	30	Pi	e	6	31	31	R(30)
223.37569824474127	26.726296288844	377.20494504	45144.83221416	A	X	e	0	21	21	Pi	f	6	21	21	Q(21)
223.38109109239292	13.5677523368708	809.22471424	45575.77120704	A	X	e	0	31	31	Pi	e	6	32	32	R(31)
223.39529952828923	26.7192618022388	413.09939176	45176.79863304	A	X	e	0	22	22	Pi	f	6	22	22	Q(22)
223.4026315960251	13.5576934003441	861.34219776	45623.57229576	A	X	e	0	32	32	Pi	e	6	33	33	R(32)
223.41580620336666	26.711905031847	450.61985664	45210.21037056	A	X	e	0	23	23	Pi	f	6	23	23	Q(23)
223.42510276614627	13.5478257576378	915.07685544	45672.804954	A	X	e	0	33	33	Pi	e	6	34	34	R(33)
223.43722020074097	26.7042256419308	489.7656	45245.0664	A	X	e	0	24	24	Pi	f	6	24	24	Q(24)
223.4485074423761	13.5381189537067	970.427626	45723.467664	A	X	e	0	34	34	Pi	e	6	35	35	R(34)
223.45954353677706	26.6962232826303	530.53585	45281.36565	A	X	e	0	25	25	Pi	f	6	25	25	Q(25)
223.47284855205095	13.5285458304666	1027.393416	45775.55886336	A	X	e	0	35	35	Pi	e	6	36	36	R(35)
223.47708297664732	12.9842941980018	310.296904	45057.61446696	A	X	e	0	19	19	Pi	e	6	18	18	P(19)
223.4827783136503	26.6878975900244	572.92980264	45319.10700456	A	X	e	0	26	26	Pi	f	6	26	26	Q(26)
223.49812911052194	13.5190820863514	1085.97309984	45829.07694504	A	X	e	0	36	36	Pi	e	6	37	37	R(36)
223.5021345523978	12.9984185212086	342.937224	45085.239216	A	X	e	0	20	20	Pi	e	6	19	19	P(20)
223.50692671956958	26.6792481861941	616.94662176	45358.28930304	A	X	e	0	27	27	Pi	f	6	27	27	Q(27)
223.52435222146408	13.5097059045191	1146.16551976	45884.02025736	A	X	e	0	37	37	Pi	e	6	38	38	R(37)
223.52808746118072	13.0105716914016	377.20494504	45114.312096	A	X	e	0	21	21	Pi	e	6	20	20	P(21)
223.53199102900948	26.6702746792894	662.58543904	45398.91134016	A	X	e	0	28	28	Pi	f	6	28	28	Q(28)
223.55152107719536	13.5003976375411	1207.96948584	45940.387104	A	X	e	0	38	38	Pi	e	6	39	39	R(38)
223.55494341574823	13.0210064426357	413.09939176	45144.83221416	A	X	e	0	22	22	Pi	e	6	21	21	P(22)
223.55797360295193	26.6609766635973	709.845354	45440.971866	A	X	e	0	29	29	Pi	f	6	29	29	Q(29)
223.5796389590058	13.4911395388126	1271.383776	45998.175744	A	X	e	0	39	39	Pi	e	6	40	40	R(39)
223.58270421430572	13.0299305567662	450.61985664	45176.79863304	A	X	e	0	23	23	Pi	e	6	22	22	P(23)
223.58487688913792	26.6513537196134	758.725434	45484.469586	A	X	e	0	30	30	Pi	f	6	30	30	Q(30)
223.608709237498	13.4819155328032	1336.407136	46057.38439176	A	X	e	0	40	40	Pi	e	6	41	41	R(40)
223.6113717407193	13.0375164262558	489.7656	45210.21037056	A	X	e	0	24	24	Pi	e	6	23	23	P(24)
223.61270342232837	26.6414054141161	809.22471424	45529.40316096	A	X	e	0	31	31	Pi	f	6	31	31	Q(31)
223.63873537293776	13.4727110177525	1403.03827944	46118.01121704	A	X	e	0	41	41	Pi	e	6	42	42	R(41)
223.64094796473267	13.0439082750768	530.53585	45245.0664	A	X	e	0	25	25	Pi	e	6	24	24	P(25)
223.64145582457527	26.631131300243	861.34219776	45575.77120704	A	X	e	0	32	32	Pi	f	6	32	32	Q(32)
223.66972091561536	13.4635126955865	1471.27588776	46180.05434496	A	X	e	0	42	42	Pi	e	6	43	43	R(42)
223.6711368055025	26.6205309175702	915.07685544	45623.57229576	A	X	e	0	33	33	Pi	f	6	33	33	Q(33)
223.67143494219317	13.0492276805869	572.92980264	45281.36565	A	X	e	0	26	26	Pi	e	6	25	25	P(26)
223.70166950621814	13.4543084247775	1541.11861024	46243.511856	A	X	e	0	43	43	Pi	e	6	44	44	R(43)
223.70174916259657	26.6096037921945	970.427626	45672.804954	A	X	e	0	34	34	Pi	f	6	34	34	Q(34)
223.70283481528756	13.053577845176	616.94662176	45319.10700456	A	X	e	0	27	27	Pi	e	6	26	26	P(27)
223.73329578150737	26.5983494368176	1027.393416	45723.467664	A	X	e	0	35	35	Pi	f	6	35	35	Q(35)
223.73458487621372	13.4450870926136	1612.565064	46308.381786	A	X	e	0	44	44	Pi	e	6	45	45	R(44)
223.73514981278691	13.0570469359253	662.58543904	45358.28930304	A	X	e	0	28	28	Pi	e	6	27	27	P(28)
223.76577963635938	26.5867673508337	1085.97309984	45775.55886336	A	X	e	0	36	36	Pi	f	6	36	36	Q(36)
223.76838225030156	13.0597107211897	709.845354	45398.91134016	A	X	e	0	29	29	Pi	e	6	28	28	P(29)
223.76847084824462	13.4358385039594	1685.613834	46374.66212616	A	X	e	0	45	45	Pi	e	6	46	46	R(45)
223.79920379007257	26.5748570204191	1146.16551976	45829.07694504	A	X	e	0	37	37	Pi	f	6	37	37	Q(37)
223.802534530545	13.0616346709326	758.725434	45440.971866	A	X	e	0	30	30	Pi	e	6	29	29	P(30)
223.80333133653392	13.4265532840764	1760.26347304	46442.35082304	A	X	e	0	46	46	Pi	e	6	47	47	R(46)
223.8335713946941	26.5626179186253	1207.96948584	45884.02025736	A	X	e	0	38	38	Pi	f	6	38	38	Q(38)
223.83760914360818	13.0628756438897	809.22471424	45484.469586	A	X	e	0	31	31	Pi	e	6	30	30	P(31)
223.83917034730231	13.4172227934739	1836.51250176	46511.44577856	A	X	e	0	47	47	Pi	e	6	48	48	R(47)
223.86888569174033	26.5500495054737	1271.383776	45940.387104	A	X	e	0	39	39	Pi	f	6	39	39	Q(39)
223.87360866724322	13.0634832533756	861.34219776	45529.40316096	A	X	e	0	32	32	Pi	e	6	31	31	P(32)
223.8759919791968	13.4078390530901	1914.35940864	46581.94485	A	X	e	0	48	48	Pi	e	6	49	49	R(48)
223.9051500125492	26.5371512280543	1336.407136	45998.175744	A	X	e	0	40	40	Pi	f	6	40	40	Q(40)
223.91053576715703	13.06350098095	915.07685544	45575.77120704	A	X	e	0	33	33	Pi	e	6	32	32	P(33)
223.9138004237309	13.398394678371	1993.80265	46653.84585	A	X	e	0	49	49	Pi	e	6	50	50	R(49)
223.94236777864336	26.523922520626	1403.03827944	46057.38439176	A	X	e	0	41	41	Pi	f	6	41	41	Q(41)
223.9483931973149	13.06296709063	970.427626	45623.57229576	A	X	e	0	34	34	Pi	e	6	33	33	P(34)
223.98054250210427	26.5103628047203	1471.27588776	46118.01121704	A	X	e	0	42	42	Pi	f	6	42	42	Q(42)
223.9871838002543	13.0619153841163	1027.393416	45672.804954	A	X	e	0	35	35	Pi	e	6	34	34	P(35)
224.01967778595665	26.4964714892473	1541.11861024	46180.05434496	A	X	e	0	43	43	Pi	f	6	43	43	Q(43)
224.02691050740833	13.0603758283851	1085.97309984	45723.467664	A	X	e	0	36	36	Pi	e	6	35	35	P(36)
224.05977732456438	26.482247970605	1612.565064	46243.511856	A	X	e	0	44	44	Pi	f	6	44	44	Q(44)
224.06757633944025	13.0583750801214	1146.16551976	45775.55886336	A	X	e	0	37	37	Pi	e	6	36	36	P(37)
224.10084490403736	26.4676916327908	1685.613834	46308.381786	A	X	e	0	45	45	Pi	f	6	45	45	Q(45)
224.1091844065873	13.0559369262518	1207.96948584	45829.07694504	A	X	e	0	38	38	Pi	e	6	37	37	P(38)
224.14288440264954	26.4528018475161	1760.26347304	46374.66212616	A	X	e	0	46	46	Pi	f	6	46	46	Q(46)
224.1517379090157	13.0530826558319	1271.383776	45884.02025736	A	X	e	0	39	39	Pi	e	6	38	38	P(39)
224.18589979126847	26.4375779743235	1836.51250176	46442.35082304	A	X	e	0	47	47	Pi	f	6	47	47	Q(47)
224.19524013718615	13.0498313754517	1336.407136	45940.387104	A	X	e	0	40	40	Pi	e	6	39	39	P(40)
224.22989513379588	26.422019360707	1914.35940864	46511.44577856	A	X	e	0	48	48	Pi	f	6	48	48	Q(48)
224.23969447222927	13.0462002779234	1403.03827944	45998.175744	A	X	e	0	41	41	Pi	e	6	40	40	P(41)
224.27487458762073	26.4061253422349	1993.80265	46581.94485	A	X	e	0	49	49	Pi	f	6	49	49	Q(49)
224.28510438633276	13.0422048721317	1471.27588776	46057.38439176	A	X	e	0	42	42	Pi	e	6	41	41	P(42)
224.32084240408307	26.3898952426755	2074.84065	46653.84585	A	X	e	0	50	50	Pi	f	6	50	50	Q(50)
224.3314734431387	13.037859180442	1541.11861024	46118.01121704	A	X	e	0	43	43	Pi	e	6	42	42	P(43)
224.378805298152	13.0331759088893	1612.565064	46180.05434496	A	X	e	0	44	44	Pi	e	6	43	43	P(44)
224.42710369916026	13.0281665944286	1685.613834	46243.511856	A	X	e	0	45	45	Pi	e	6	44	44	P(45)
224.4763724866643	13.0228417327761	1760.26347304	46308.381786	A	X	e	0	46	46	Pi	e	6	45	45	P(46)
224.52661559432076	13.0172108897636	1836.51250176	46374.66212616	A	X	e	0	47	47	Pi	e	6	46	46	P(47)
224.57783704939538	13.0112827986354	1914.35940864	46442.35082304	A	X	e	0	48	48	Pi	e	6	47	47	P(48)
224.63004097322855	13.0050654453174	1993.80265	46511.44577856	A	X	e	0	49	49	Pi	e	6	48	48	P(49)
224.68323158171228	12.998566143359	2074.84065	46581.94485	A	X	e	0	50	50	Pi	e	6	49	49	P(50)
224.95868833937874	27.8769555505026	1379.20977184	45831.81604288	A	X	e	1	11	11	Pi	f	7	11	11	Q(11)
224.96813283514962	14.2332483830379	1682.26387176	46133.00395648	A	X	e	1	22	22	Pi	e	7	23	23	R(22)
224.96997399601221	27.8727604044497	1398.66834976	45849.04464832	A	X	e	1	12	12	Pi	f	7	12	12	Q(12)
224.98220495524018	27.8682148174352	1419.74673384	45867.70652688	A	X	e	1	13	13	Pi	f	7	13	13	Q(13)
224.98265347168555	14.2183919116748	1719.51201664	46167.3832	A	X	e	1	23	23	Pi	e	7	24	24	R(23)
224.9953823781433	27.8633185870204	1442.444506	45887.801092	A	X	e	1	14	14	Pi	f	7	14	14	Q(14)
224.99813875914663	14.2043070333754	1758.3736	46203.1857	A	X	e	1	24	24	Pi	e	7	25	25	R(24)
225.00950751572904	27.8580714953755	1466.761216	45909.327712	A	X	e	1	15	15	Pi	f	7	15	15	Q(15)
225.01459089883065	14.19088592571	1798.84785	46240.41032848	A	X	e	1	25	25	Pi	e	7	26	26	R(25)
225.02458170906849	27.8524733093201	1492.69638144	45932.28571008	A	X	e	1	16	16	Pi	f	7	16	16	Q(16)
225.03201218367445	14.1780364040128	1840.93396264	46279.05591232	A	X	e	1	26	26	Pi	e	7	27	27	R(26)
225.04060638944316	27.8465237803664	1520.24948776	45956.67436432	A	X	e	1	17	17	Pi	f	7	17	17	Q(17)
225.0504049984904	14.1656791766553	1884.63110176	46319.12123328	A	X	e	1	27	27	Pi	e	7	28	28	R(27)
225.05758307850186	27.8402226447657	1549.41998824	45982.49290768	A	X	e	1	18	18	Pi	f	7	18	18	Q(18)
225.06977182021348	14.1537456585775	1929.93839904	46360.605028	A	X	e	1	28	28	Pi	e	7	29	29	R(28)
225.0755133884276	27.8335696235567	1580.207304	46009.740528	A	X	e	1	19	19	Pi	f	7	19	19	Q(19)
225.09011521815896	14.1421762149535	1976.854954	46403.505988	A	X	e	1	29	29	Pi	e	7	30	30	R(29)
225.09439902211446	27.8265644226183	1612.610824	46038.416368	A	X	e	1	20	20	Pi	f	7	20	20	Q(20)
225.11143785429095	14.1309187394062	2025.379834	46447.82275968	A	X	e	1	30	30	Pi	e	7	31	31	R(30)
225.11424177335508	27.8192067327239	1646.62990504	46068.51952528	A	X	e	1	21	21	Pi	f	7	21	21	Q(21)
225.133742483502	14.1199274947144	2075.51207424	46493.55394432	A	X	e	1	31	31	Pi	e	7	32	32	R(31)
225.13504352703802	27.8114962295998	1682.26387176	46100.04905232	A	X	e	1	22	22	Pi	f	7	22	22	Q(22)
225.15680625935545	27.8034325739855	1719.51201664	46133.00395648	A	X	e	1	23	23	Pi	f	7	23	23	Q(23)
225.1570319539034	14.109162161164	2127.25067776	46540.69809808	A	X	e	1	32	32	Pi	e	7	33	33	R(32)
225.17953203802142	27.7950154116978	1758.3736	46167.3832	A	X	e	1	24	24	Pi	f	7	24	24	Q(24)
225.1813092071271	14.0985870504125	2180.59461544	46589.253732	A	X	e	1	33	33	Pi	e	7	34	34	R(33)
225.20322302250025	27.786244373697	1798.84785	46203.1857	A	X	e	1	25	25	Pi	f	7	25	25	Q(25)
225.20657727863798	14.088170452231	2235.542826	46639.219312	A	X	e	1	34	34	Pi	e	7	35	35	R(34)
225.22788146424594	27.7771190761572	1840.93396264	46240.41032848	A	X	e	1	26	26	Pi	f	7	26	26	Q(26)
225.2328392980586	14.0778840886402	2292.094216	46690.59325888	A	X	e	1	35	35	Pi	e	7	36	36	R(35)
225.25350970695138	27.7676391205384	1884.63110176	46279.05591232	A	X	e	1	27	27	Pi	f	7	27	27	Q(27)
225.26009848950417	14.0677026553944	2350.24765984	46743.37394832	A	X	e	1	36	36	Pi	e	7	37	37	R(36)
225.28011018680905	27.7578040936623	1929.93839904	46319.12123328	A	X	e	1	28	28	Pi	f	7	28	28	Q(28)
225.28835817192967	14.057603434932	2410.00199976	46797.55971088	A	X	e	1	37	37	Pi	e	7	38	38	R(37)
225.30768543278188	27.7476135677908	1976.854954	46360.605028	A	X	e	1	29	29	Pi	f	7	29	29	Q(29)
225.31762175948865	14.0475659681276	2471.35604584	46853.148832	A	X	e	1	38	38	Pi	e	7	39	39	R(38)
225.33623806688502	27.7370671007075	2025.379834	46403.505988	A	X	e	1	30	30	Pi	f	7	30	30	Q(30)
225.34789276190344	14.0375717746833	2534.308576	46910.139552	A	X	e	1	39	39	Pi	e	7	40	40	R(39)
225.3657708044789	27.7261642358023	2075.51207424	46447.82275968	A	X	e	1	31	31	Pi	f	7	31	31	Q(31)
225.37917478484732	14.0276041139551	2598.858336	46968.53006608	A	X	e	1	40	40	Pi	e	7	41	41	R(40)
225.38494726308338	13.5766960411788	1798.84785	46167.3832	A	X	e	1	25	25	Pi	e	7	24	24	P(25)
225.39628645457262	27.7149045021589	2127.25067776	46493.55394432	A	X	e	1	32	32	Pi	f	7	32	32	Q(32)
225.4114715303389	14.0176477795539	2665.00403944	47028.31852432	A	X	e	1	41	41	Pi	e	7	42	42	R(41)
225.41687151507745	13.5820158937732	1840.93396264	46203.1857	A	X	e	1	26	26	Pi	e	7	25	25	P(26)
225.42778792013925	27.7032874146456	2180.59461544	46540.69809808	A	X	e	1	33	33	Pi	f	7	33	33	Q(33)
225.44478679714823	14.0076889222882	2732.74436776	47089.50303168	A	X	e	1	42	42	Pi	e	7	43	43	R(42)
225.44976493110468	13.5863179513381	1884.63110176	46240.41032848	A	X	e	1	27	27	Pi	e	7	26	26	P(27)
225.4602781984413	27.6913124740087	2235.542826	46589.253732	A	X	e	1	34	34	Pi	f	7	34	34	Q(34)
225.47912448121525	13.9977148969887	2802.07797024	47152.081648	A	X	e	1	43	43	Pi	e	7	44	44	R(43)
225.483629905501	13.5896939993709	1929.93839904	46279.05591232	A	X	e	1	28	28	Pi	e	7	27	27	P(28)
225.49376038136853	27.678979166969	2292.094216	46639.219312	A	X	e	1	35	35	Pi	f	7	35	35	Q(35)
225.51448857608105	13.9877141295418	2873.003464	47216.052388	A	X	e	1	44	44	Pi	e	7	45	45	R(44)
225.51846892572433	13.5922229156697	1976.854954	46319.12123328	A	X	e	1	29	29	Pi	e	7	28	28	P(29)
225.5282376557865	27.6662869663216	2350.24765984	46690.59325888	A	X	e	1	36	36	Pi	f	7	36	36	Q(36)
225.55088317333093	13.97767600109	2945.519434	47281.41322128	A	X	e	1	45	45	Pi	e	7	46	46	R(45)
225.55428457265006	13.5939728568804	2025.379834	46360.605028	A	X	e	1	30	30	Pi	e	7	29	29	P(30)
225.56371330389663	27.6532353310391	2410.00199976	46743.37394832	A	X	e	1	37	37	Pi	f	7	37	37	Q(37)
225.58831246305067	13.9675907468693	3019.62443304	47348.16207232	A	X	e	1	46	46	Pi	e	7	47	47	R(46)
225.5910795208774	13.5950030149126	2075.51207424	46403.505988	A	X	e	1	31	31	Pi	e	7	30	30	P(31)
225.6001907036082	27.6398237063765	2471.35604584	46797.55971088	A	X	e	1	38	38	Pi	f	7	38	38	Q(38)
225.6267807342953	13.9574493675718	3095.31698176	47416.29682048	A	X	e	1	47	47	Pi	e	7	48	48	R(47)
225.62885653904658	13.5953650388095	2127.25067776	46447.82275968	A	X	e	1	32	32	Pi	e	7	31	31	P(32)
225.6376733289219	27.6260515239807	2534.308576	46853.148832	A	X	e	1	39	39	Pi	f	7	39	39	Q(39)
225.6662923755708	13.947243551462	3172.59556864	47485.8153	A	X	e	1	48	48	Pi	e	7	49	49	R(48)
225.66761849016748	13.5951041941284	2180.59461544	46493.55394432	A	X	e	1	33	33	Pi	e	7	32	32	P(33)
225.67616475032503	27.6119182020025	2598.858336	46910.139552	A	X	e	1	40	40	Pi	f	7	40	40	Q(40)
225.7068518753293	13.9369656057562	3251.45865	47556.7153	A	X	e	1	49	49	Pi	e	7	50	50	R(49)
225.7073683319591	13.5942603146803	2235.542826	46540.69809808	A	X	e	1	34	34	Pi	e	7	33	33	P(34)
225.71566863519925	27.5974231452112	2665.00403944	46968.53006608	A	X	e	1	41	41	Pi	f	7	41	41	Q(41)
225.7481091172004	13.5928685887584	2292.094216	46589.253732	A	X	e	1	35	35	Pi	e	7	34	34	P(35)
225.75618874823954	27.5825657451132	2732.74436776	47028.31852432	A	X	e	1	42	42	Pi	f	7	42	42	Q(42)
225.7898439940927	13.5909602124938	2350.24765984	46639.219312	A	X	e	1	36	36	Pi	e	7	35	35	P(36)
