Upper State	Lower State	Upper Vib	Lower Vib	v = -50.0 km/s	v = -49.0 km/s	v = -48.0 km/s	v = -47.0 km/s	v = -46.0 km/s	v = -45.0 km/s	v = -44.0 km/s	v = -43.0 km/s	v = -42.0 km/s	v = -41.0 km/s	v = -40.0 km/s	v = -39.0 km/s	v = -38.0 km/s	v = -37.0 km/s	v = -36.0 km/s	v = -35.0 km/s	v = -34.0 km/s	v = -33.0 km/s	v = -32.0 km/s	v = -31.0 km/s	v = -30.0 km/s	v = -29.0 km/s	v = -28.0 km/s	v = -27.0 km/s	v = -26.0 km/s	v = -25.0 km/s	v = -24.0 km/s	v = -23.0 km/s	v = -22.0 km/s	v = -21.0 km/s	v = -20.0 km/s	v = -19.0 km/s	v = -18.0 km/s	v = -17.0 km/s	v = -16.0 km/s	v = -15.0 km/s	v = -14.0 km/s	v = -13.0 km/s	v = -12.0 km/s	v = -11.0 km/s	v = -10.0 km/s	v = -9.0 km/s	v = -8.0 km/s	v = -7.0 km/s	v = -6.0 km/s	v = -5.0 km/s	v = -4.0 km/s	v = -3.0 km/s	v = -2.0 km/s	v = -1.0 km/s	v = 0.0 km/s	v = 1.0 km/s	v = 2.0 km/s	v = 3.0 km/s	v = 4.0 km/s	v = 5.0 km/s	v = 6.0 km/s	v = 7.0 km/s	v = 8.0 km/s	v = 9.0 km/s	v = 10.0 km/s	v = 11.0 km/s	v = 12.0 km/s	v = 13.0 km/s	v = 14.0 km/s	v = 15.0 km/s	v = 16.0 km/s	v = 17.0 km/s	v = 18.0 km/s	v = 19.0 km/s	v = 20.0 km/s	v = 21.0 km/s	v = 22.0 km/s	v = 23.0 km/s	v = 24.0 km/s	v = 25.0 km/s	v = 26.0 km/s	v = 27.0 km/s	v = 28.0 km/s	v = 29.0 km/s	v = 30.0 km/s	v = 31.0 km/s	v = 32.0 km/s	v = 33.0 km/s	v = 34.0 km/s	v = 35.0 km/s	v = 36.0 km/s	v = 37.0 km/s	v = 38.0 km/s	v = 39.0 km/s	v = 40.0 km/s	v = 41.0 km/s	v = 42.0 km/s	v = 43.0 km/s	v = 44.0 km/s	v = 45.0 km/s	v = 46.0 km/s	v = 47.0 km/s	v = 48.0 km/s	v = 49.0 km/s	v = 50.0 km/s
Pi	X	8	0	7.41375712187392e-46	1.2975916292919622e-45	5.677194846987457e-46	6.927714762683893e-47	1.5625328448154727e-47	2.5806734951929952e-45	6.122957281760722e-47	1.8429822248910234e-46	8.126328684070738e-46	5.614677429448493e-47	2.0138064736868194e-46	1.2793363568288976e-45	1.5342515112344487e-46	1.2463387717218528e-46	1.1178386487609884e-46	4.525612440458121e-47	9.109237612495573e-46	5.454781611861106e-46	1.47023387632969e-47	2.8811547176384416e-46	1.6479028958957549e-47	6.179983443811614e-47	2.2457759586368445e-47	1.5172775307413727e-45	3.4106436422863864e-46	4.560620573523343e-46	6.786328470598431e-47	1.5286973687233448e-46	4.021476273417167e-47	6.580023363162851e-46	8.50427920766178e-47	5.102351896843764e-46	5.641767680212506e-46	1.3768264351846463e-45	3.855912263972587e-48	3.3443763237408573e-46	1.5302195533997996e-45	5.343824626281099e-46	1.6136265564695164e-47	1.2358743324340811e-46	3.221767094181353e-46	8.820670711062567e-49	9.295264035006223e-48	7.504848788264423e-46	1.1284582998473668e-46	4.063142587086329e-47	1.3324671917498499e-45	4.3913960876469725e-46	1.465714837311359e-45	1.3170666270355649e-46	8.082950220696505e-46	1.12686440094895e-45	5.028613159919838e-47	5.7036254447903346e-46	1.986785288805116e-46	2.545846296111334e-46	1.5953877608249564e-47	3.1591120673869903e-46	5.105058097610156e-47	1.0383391724234721e-45	1.1296471959874458e-46	3.2740106268628514e-46	2.676586521444677e-46	3.126635371037729e-46	7.542899720212858e-46	2.121940918136489e-46	9.527569590122928e-46	2.087095487122143e-46	4.8054340936691104e-46	2.075700699745508e-46	1.7502228574229784e-46	8.231718719374388e-48	2.534410043492124e-46	9.043806437318171e-48	8.833716544225546e-46	8.009553316122073e-47	1.589651938989754e-46	8.981046445771692e-47	4.426954300909201e-46	3.9505495988433444e-46	2.7878557843085e-46	1.118045531776737e-46	9.488337810671729e-46	1.788585789760175e-46	2.027037036203172e-46	1.4684516270053423e-48	6.519042076132926e-46	1.0717070678652058e-48	8.734946300726946e-48	4.2418936019757194e-46	1.592616169137645e-46	6.270968279627173e-48	2.5242336689202604e-46	3.9368149256789656e-48	2.861127784382657e-46	3.860635769000897e-46	4.313006295113153e-46	3.0596842321899975e-47	4.1772464688518543e-47	4.46630636161155e-46	5.019387359070295e-47
Pi	X	6	0	2.646388459237526e-35	2.6345257474653595e-35	2.5929764371099864e-35	2.546174461372038e-35	2.504129073255724e-35	2.499704321852646e-35	2.449395234513031e-35	2.4162425019250266e-35	2.3662537483302953e-35	2.3480955716311846e-35	2.2876808000099414e-35	2.2457183766610884e-35	2.1838723974459457e-35	2.1655714527051417e-35	2.1320923147926747e-35	2.076617676556101e-35	2.0213637956923368e-35	1.997564560422675e-35	1.9465090237552597e-35	1.8945229211908163e-35	1.8404028482813883e-35	1.8357777430984332e-35	1.7844140494789033e-35	1.7325300083393678e-35	1.6908608644355057e-35	1.6661299227494794e-35	1.6231161929274313e-35	1.573228940997887e-35	1.5379334146624742e-35	1.521341233212512e-35	1.4769376250416252e-35	1.444340727853126e-35	1.399747347322685e-35	1.3889378244093363e-35	1.3461005087625983e-35	1.3127851922777932e-35	1.2753343101821096e-35	1.2616723594110192e-35	1.236062248588345e-35	1.2002470530639598e-35	1.1698859993537354e-35	1.158487530282851e-35	1.1258632825874935e-35	1.0920588902261064e-35	1.0746494695727193e-35	1.056265358943206e-35	1.0270263996709286e-35	1.0010612815422933e-35	9.897772046837735e-36	9.599984178224803e-36	9.308727915080854e-36	9.028785021232843e-36	8.927528526945594e-36	8.683016820909405e-36	8.447485006951735e-36	8.210462004100424e-36	8.061906169704289e-36	7.818681898746042e-36	7.5649687527554e-36	7.31191099920171e-36	7.185079310444271e-36	6.97965666769595e-36	6.772985236316071e-36	6.54150178212438e-36	6.428725410536234e-36	6.196786697040926e-36	5.9685555855845235e-36	5.7505266696481235e-36	5.6484974845465936e-36	5.427472170494323e-36	5.269542282798891e-36	5.1187296012095005e-36	4.964309567271042e-36	4.769485986357828e-36	4.5905815412550266e-36	4.4164499930268e-36	4.322629575118327e-36	4.174400322828989e-36	4.065389261573679e-36	3.907761833432397e-36	3.7831077337587076e-36	3.641200714549953e-36	3.5125992499291525e-36	3.4134781858593644e-36	3.302229059659728e-36	3.237727968417949e-36	3.1353925219595325e-36	3.0217266302645644e-36	2.943147031658701e-36	2.8557281185464337e-36	2.7878791830570076e-36	2.695045643072743e-36	2.6628387370181546e-36	2.613337464507165e-36	2.557881896129258e-36	2.513724300649246e-36	2.4683655197440032e-36	2.433359315968606e-36	2.4065088654641104e-36	2.3750061078745663e-36	2.364018538938736e-36
Pi	X	7	1	3.663796630747395e-39	3.6432317588021204e-39	3.612943718663888e-39	3.590561173340673e-39	3.570680583101203e-39	3.563927778503552e-39	3.531575739353517e-39	3.534386664867764e-39	3.5147227499784396e-39	3.490163050331243e-39	3.4530142827496244e-39	3.4479810902253005e-39	3.4099956420022565e-39	3.390792220191972e-39	3.39535017518579e-39	3.3702871241930694e-39	3.3361341147739514e-39	3.3052189061589763e-39	3.281665288289105e-39	3.254736532703388e-39	3.21978871127876e-39	3.2141725658038175e-39	3.182524535371719e-39	3.148281028955286e-39	3.132748621725886e-39	3.083005295319763e-39	3.053274767965269e-39	3.010238682892888e-39	2.9953521981170294e-39	2.960028938516749e-39	2.91750623489451e-39	2.8944420887694246e-39	2.845532048534939e-39	2.811624596871199e-39	2.768600327742062e-39	2.7406193939317795e-39	2.6929137442923446e-39	2.6434175513206947e-39	2.6200948783352724e-39	2.5769238414120597e-39	2.5428212517181896e-39	2.5020617996973714e-39	2.452830082474727e-39	2.402891366798796e-39	2.352547174279185e-39	2.3190199348669866e-39	2.2810719077829996e-39	2.2417747004411946e-39	2.196277356831839e-39	2.1469515879478403e-39	2.092488696634105e-39	2.0410788345070046e-39	1.997106047898781e-39	1.962127155840736e-39	1.9232247928487104e-39	1.879874284383777e-39	1.8232943011966454e-39	1.7731227252813867e-39	1.7251498758660266e-39	1.6789800754134947e-39	1.6409433319977668e-39	1.597474719573204e-39	1.5552713574920726e-39	1.5081761658631438e-39	1.4682865455128687e-39	1.4235533902731058e-39	1.3766915879363043e-39	1.3302517335612418e-39	1.2942009467007867e-39	1.2475749692287228e-39	1.2145453192386206e-39	1.183593497485631e-39	1.1430638118455335e-39	1.099227240937462e-39	1.0602526067058227e-39	1.0203867274798612e-39	9.948593884767487e-40	9.614524458671818e-40	9.372865086190745e-40	9.029750191251281e-40	8.711413491550968e-40	8.38968401168922e-40	8.082309751689075e-40	7.828380710854087e-40	7.563052223785893e-40	7.436686948597722e-40	7.196715215038101e-40	6.925657881958631e-40	6.7291393386270945e-40	6.499210516731026e-40	6.317996252812262e-40	6.11881037022844e-40	6.039374348737144e-40	5.886721193196165e-40	5.731179151258218e-40	5.6526056489520945e-40	5.506741309105445e-40	5.3789414918764605e-40	5.26022163761054e-40	5.217990694419949e-40	5.151761073960262e-40
Pi	X	5	0	2.501709642866286e-34	2.5098404075768615e-34	2.536099848653282e-34	2.559450488710302e-34	2.5837849650851207e-34	2.5952493822324222e-34	2.6130287989339278e-34	2.650269764590119e-34	2.6720284410162466e-34	2.6760837669959063e-34	2.6746598091673817e-34	2.6941160665618936e-34	2.698230024434984e-34	2.694892389013075e-34	2.7219470871272387e-34	2.7273020716833794e-34	2.7328740142338583e-34	2.73456344168924e-34	2.7218220362091967e-34	2.72412899874705e-34	2.7247356071082193e-34	2.753246034676014e-34	2.730685505876467e-34	2.7355271094122155e-34	2.7547709877244895e-34	2.7544398788499165e-34	2.7405863534932878e-34	2.7417100644868206e-34	2.771940489047165e-34	2.7876396420124015e-34	2.770236016267611e-34	2.801582265979807e-34	2.8150921695000804e-34	2.8470108795821906e-34	2.830353292657678e-34	2.8572940614933e-34	2.888195001478534e-34	2.92143336987958e-34	2.9357115570892635e-34	2.955714138495023e-34	3.0004428610248238e-34	3.042254569626772e-34	3.0868086826420908e-34	3.062074862237815e-34	3.106097299757498e-34	3.1674027159261225e-34	3.210009134463081e-34	3.1984706358370456e-34	3.240247158750656e-34	3.27383772269159e-34	3.3093083803685133e-34	3.308700377996047e-34	3.333898707971035e-34	3.364912730962305e-34	3.394071629876596e-34	3.3908199607258075e-34	3.3922793144083435e-34	3.402689609676047e-34	3.407887551634826e-34	3.3964240957552462e-34	3.388511007256852e-34	3.3778899044224463e-34	3.3644369806664784e-34	3.3444566673435786e-34	3.325721986063343e-34	3.292989688446819e-34	3.2488451291634177e-34	3.2007952762458713e-34	3.1718322885010684e-34	3.1186978370905393e-34	3.0622682369040952e-34	3.0279678386717424e-34	2.978403953283549e-34	2.909500584758389e-34	2.836816485622286e-34	2.7671716950816507e-34	2.718575756280179e-34	2.6463012858532753e-34	2.6005869320813905e-34	2.5203230633854083e-34	2.46354654424559e-34	2.3904534108530288e-34	2.3152309162049387e-34	2.242932885658755e-34	2.183266496858551e-34	2.1425429487894524e-34	2.071649484979237e-34	1.9964377745464495e-34	1.9349905079236094e-34	1.885005669896597e-34	1.818854370280649e-34	1.7531466248786335e-34	1.7089106342928943e-34	1.6719668129685056e-34	1.6118316614034685e-34	1.5702491377063184e-34	1.5125903458940548e-34	1.4718358300371726e-34	1.427126763689302e-34	1.390660853735729e-34	1.3455971075951702e-34
Pi	X	6	1	1.6015215482745436e-34	1.595001372269976e-34	1.572643931950399e-34	1.5477573227935074e-34	1.5253185147200438e-34	1.5222799180506668e-34	1.495649173818947e-34	1.4785167129482713e-34	1.4523141905617991e-34	1.4422466284670911e-34	1.4098712977337421e-34	1.3878079821977613e-34	1.3548339326108656e-34	1.3449844324712289e-34	1.3274749445501885e-34	1.2982398039825e-34	1.269061738257945e-34	1.256074045739391e-34	1.2293422831361731e-34	1.2020622544080163e-34	1.1737507682505346e-34	1.1709662980001905e-34	1.1438297323205138e-34	1.116557627395227e-34	1.0956125604790848e-34	1.0821825187031709e-34	1.0598509646037673e-34	1.0334105036392265e-34	1.0149352178365624e-34	1.0063017468987049e-34	9.832079119171553e-35	9.666447669961929e-35	9.432729723430536e-35	9.374647017425374e-35	9.15161883081849e-35	8.980226574776491e-35	8.783509591507642e-35	8.70449273679472e-35	8.580526584525e-35	8.39193440200631e-35	8.23397251577457e-35	8.170231000888941e-35	8.000123778131075e-35	7.818268115135444e-35	7.723299240352898e-35	7.632992902383654e-35	7.475036336462777e-35	7.336083406192735e-35	7.272850282485202e-35	7.114127359065466e-35	6.957351158564878e-35	6.804983186722412e-35	6.748972323145384e-35	6.616485476880766e-35	6.488346295218218e-35	6.358929928767614e-35	6.276184792445442e-35	6.142822391604087e-35	6.002233619113057e-35	5.86471528134747e-35	5.791274019110695e-35	5.678056160043825e-35	5.564770953426686e-35	5.439044671733195e-35	5.37478878255245e-35	5.245992935968161e-35	5.119950903375921e-35	5.001117944447048e-35	4.943433415465948e-35	4.820219731397478e-35	4.7319601956705025e-35	4.6496843016967217e-35	4.5644062728431645e-35	4.4583376591774627e-35	4.3634364505236243e-35	4.2651928663310216e-35	4.213287381176582e-35	4.129738981354435e-35	4.0717805447551845e-35	3.985925960293536e-35	3.917816718621293e-35	3.840287286267948e-35	3.7692287414510685e-35	3.715642180240989e-35	3.6520072205304903e-35	3.614081595177351e-35	3.557593318323818e-35	3.494474526015949e-35	3.4526228197449085e-35	3.401265843977928e-35	3.3595119638903223e-35	3.301502687783125e-35	3.2820689179891453e-35	3.24751716481108e-35	3.2107546295912503e-35	3.1848188966451214e-35	3.15076956125553e-35	3.118899886019431e-35	3.0941582464163404e-35	3.066801395125318e-35	3.044994337850225e-35
Pi	X	7	2	3.6867494142920605e-35	3.6857824370514013e-35	3.6848524520729444e-35	3.6876197918850135e-35	3.688378436648797e-35	3.6901580179423216e-35	3.6914509943273875e-35	3.697442436796594e-35	3.701847334955212e-35	3.7092433029955367e-35	3.711870042825782e-35	3.7200709630073237e-35	3.721474223239076e-35	3.724529973146993e-35	3.7353049677368473e-35	3.7407090491466457e-35	3.748922490768401e-35	3.752969435399717e-35	3.7574650101375976e-35	3.7637913955632687e-35	3.7687774899879075e-35	3.772451625483464e-35	3.7729159885231553e-35	3.7739383907832226e-35	3.7814284489358036e-35	3.780883830568504e-35	3.782425821130838e-35	3.775150173614721e-35	3.7695624401199686e-35	3.7690418712379433e-35	3.7629996781114557e-35	3.7603376610856237e-35	3.751688377985638e-35	3.7427727425533604e-35	3.7298084128612113e-35	3.721581728000581e-35	3.7075405006864365e-35	3.6906200910715664e-35	3.6854911443679096e-35	3.6676808096318564e-35	3.652893853504558e-35	3.6340705920660894e-35	3.6162250279276806e-35	3.5959044910972794e-35	3.5790683562214726e-35	3.5643294993541685e-35	3.544340865100123e-35	3.523054399288251e-35	3.502223947142903e-35	3.4854928391372467e-35	3.465658371937148e-35	3.447295205308859e-35	3.4280530798849053e-35	3.4093279403633855e-35	3.3904040745562966e-35	3.3730932595227387e-35	3.35677699472969e-35	3.3409955408941924e-35	3.322651046712754e-35	3.308370639958107e-35	3.294519419254229e-35	3.279030569638392e-35	3.2656482065521275e-35	3.253361053097585e-35	3.24425698659874e-35	3.2324185585724495e-35	3.222417266130929e-35	3.2103620243793766e-35	3.19881642259187e-35	3.189379588694643e-35	3.182034030546536e-35	3.175017134890842e-35	3.166999065620915e-35	3.157283503091853e-35	3.14722283525099e-35	3.1417051442402565e-35	3.1358011285758017e-35	3.123898982846268e-35	3.116084213780779e-35	3.104051331791838e-35	3.0952729306374345e-35	3.088880877884726e-35	3.0765340015021607e-35	3.0667517266374833e-35	3.0530376720935045e-35	3.0388753972597847e-35	3.0312531539076953e-35	3.0153014569955273e-35	3.0025596679410664e-35	2.9881741831909154e-35	2.968748754223364e-35	2.950445783045851e-35	2.939250945456847e-35	2.9216515425133316e-35	2.900962773280604e-35	2.887310226491481e-35	2.8688811507645195e-35	2.848676538541913e-35	2.829714494327753e-35	2.8092871174826847e-35	2.7880807138032046e-35
Pi	X	4	0	5.679302707285069e-32	5.721050082513432e-32	5.762200786095897e-32	5.796965651674091e-32	5.839870845878459e-32	5.876697571000578e-32	5.928452644097205e-32	5.966492005970419e-32	6.015226969651907e-32	6.058520093716015e-32	6.093935962338737e-32	6.151025591072017e-32	6.192656762176113e-32	6.243201512924119e-32	6.27936519622056e-32	6.326734469796341e-32	6.367496252113247e-32	6.424113702800726e-32	6.473141638891925e-32	6.503561351369953e-32	6.552976909948703e-32	6.602716312189163e-32	6.656918490061653e-32	6.678439236569135e-32	6.73096811736651e-32	6.771084255778775e-32	6.826299531590706e-32	6.858530665217597e-32	6.878802375452623e-32	6.92223607343267e-32	6.964785240322026e-32	7.025331530031038e-32	7.034807655851859e-32	7.068010935222305e-32	7.095654886851806e-32	7.135541116981825e-32	7.157669967655851e-32	7.162858114651235e-32	7.204996798243771e-32	7.234017445066784e-32	7.269139917726896e-32	7.264577318880657e-32	7.281875907604882e-32	7.297386085368624e-32	7.320419037160699e-32	7.339922534974688e-32	7.332097945661545e-32	7.34268034831624e-32	7.358739174739854e-32	7.384936367903169e-32	7.373416191051144e-32	7.372940513814587e-32	7.388497859252276e-32	7.395761293977721e-32	7.390709882611194e-32	7.377525518471606e-32	7.390444141698949e-32	7.399086697283727e-32	7.40729099688277e-32	7.39503653286494e-32	7.390646220807445e-32	7.388163935154853e-32	7.392648975958423e-32	7.396068988732131e-32	7.390324057564211e-32	7.389311131866191e-32	7.388435259450421e-32	7.388320457881346e-32	7.377075921867864e-32	7.371015503989381e-32	7.36916032943059e-32	7.374549878776579e-32	7.368419474639283e-32	7.352334422075806e-32	7.341372626333187e-32	7.333663030628847e-32	7.326245471876374e-32	7.307421410097633e-32	7.29446515290189e-32	7.285846351618497e-32	7.257024394704199e-32	7.234372903284184e-32	7.205553106245366e-32	7.175974826344463e-32	7.149833217211063e-32	7.118914339893483e-32	7.080686131086366e-32	7.02949526544633e-32	7.010427875416581e-32	6.957856043902393e-32	6.907073771055303e-32	6.848735162427078e-32	6.789469155434388e-32	6.743961305368125e-32	6.684055806533367e-32	6.637111015000117e-32	6.565424622940765e-32	6.516770101031213e-32	6.44615105625879e-32	6.381192792059499e-32	6.312138547175055e-32
Pi	X	8	3	6.144144264733627e-35	6.152672923643e-35	6.1603908916055e-35	6.168154996561682e-35	6.178577847804248e-35	6.185860698190779e-35	6.194667461588433e-35	6.206859560614743e-35	6.21480747068759e-35	6.224285668869698e-35	6.233688570163933e-35	6.244348798222496e-35	6.24967870877505e-35	6.25411566691908e-35	6.264508919535427e-35	6.270273874224888e-35	6.282166762502535e-35	6.283581422232666e-35	6.283678313029261e-35	6.288944839650438e-35	6.294212770392421e-35	6.301422018853532e-35	6.291863856032218e-35	6.293224135168831e-35	6.293812732724276e-35	6.290676324905417e-35	6.292301116945773e-35	6.279575994667821e-35	6.276406032573983e-35	6.27056659153842e-35	6.260923601080226e-35	6.252736120850009e-35	6.236584009463728e-35	6.225785304090188e-35	6.212977482731281e-35	6.200284669805619e-35	6.187349631878713e-35	6.163793339426671e-35	6.148404553134783e-35	6.130164595883873e-35	6.111729716088868e-35	6.091886652871129e-35	6.071510918924413e-35	6.045267310320316e-35	6.027270746495368e-35	6.002575369785407e-35	5.976178667303452e-35	5.953206405250647e-35	5.930327332233187e-35	5.91109906544123e-35	5.882285504128308e-35	5.855724899262584e-35	5.829849203128137e-35	5.801002977135754e-35	5.781395222443211e-35	5.755415243922908e-35	5.727645324299131e-35	5.700522424467258e-35	5.671004919460929e-35	5.650442850101183e-35	5.622838462336804e-35	5.6006624564896e-35	5.574639340505459e-35	5.543321535367815e-35	5.517784375501382e-35	5.494984134433774e-35	5.472340814507687e-35	5.445139280868685e-35	5.418669268962403e-35	5.382602590721556e-35	5.353049948277476e-35	5.333476851688531e-35	5.308810202212794e-35	5.278225065489024e-35	5.243889140876228e-35	5.208721929027125e-35	5.185990134003533e-35	5.157822536398084e-35	5.128633080177525e-35	5.087436762742855e-35	5.054664742746909e-35	5.016619209590274e-35	4.990932023317255e-35	4.964478085911012e-35	4.919758548963355e-35	4.88219936412052e-35	4.846149925814058e-35	4.8090852199134413e-35	4.785407324426651e-35	4.746669133397985e-35	4.7068227691337767e-35	4.669909270212142e-35	4.633034613180724e-35	4.5952312568652386e-35	4.564302707064057e-35	4.5311512395789095e-35	4.497553837121198e-35	4.461880785592847e-35	4.4260797234268577e-35	4.394125801012657e-35	4.3609595526102765e-35
Pi	X	5	1	1.8607834614836552e-32	1.8623453119203496e-32	1.8738096645311576e-32	1.8841109690738766e-32	1.8942650378739593e-32	1.8982792894274714e-32	1.9050777203196207e-32	1.921869246166425e-32	1.9313578086793604e-32	1.9323317793915326e-32	1.9310406750755582e-32	1.939963218171173e-32	1.941210248634924e-32	1.9382674689960408e-32	1.9498780573481767e-32	1.9527794122417665e-32	1.9561109389147526e-32	1.9566947137344805e-32	1.9499433929069528e-32	1.950923324865731e-32	1.9502809390884652e-32	1.9645989784587787e-32	1.9540028017981204e-32	1.9566060783850227e-32	1.9666339367252083e-32	1.966701383702218e-32	1.9587265403396888e-32	1.959775491617722e-32	1.9758567962951073e-32	1.9838140530653707e-32	1.9759878444403192e-32	1.9911758870911418e-32	1.997598835378082e-32	2.0141349987768445e-32	2.006835451447736e-32	2.019816980991577e-32	2.0365575212502153e-32	2.0536721580871553e-32	2.0594989600621798e-32	2.0701231815201796e-32	2.0938420279455917e-32	2.1146411512890764e-32	2.138221821439283e-32	2.1262287036715216e-32	2.1487730303423032e-32	2.179734466493398e-32	2.202620056016444e-32	2.1972452617275712e-32	2.219889176705599e-32	2.2386390925046915e-32	2.2579818699055637e-32	2.2589526035246875e-32	2.273394759737001e-32	2.2913167219516078e-32	2.3087431308375465e-32	2.3102015022554997e-32	2.314013646828319e-32	2.3213170487934427e-32	2.3271767021766854e-32	2.3252211399778716e-32	2.324877388437719e-32	2.3241567173679796e-32	2.321566532068676e-32	2.3143656381535381e-32	2.308179611177682e-32	2.2962132821205958e-32	2.278210620229442e-32	2.259000400786433e-32	2.249064366482446e-32	2.2246905693524208e-32	2.1991288972944948e-32	2.1847990470509186e-32	2.1638191689323793e-32	2.1327922088138402e-32	2.100331122379592e-32	2.0656381711579063e-32	2.0440418046499093e-32	2.009343910853737e-32	1.9877773988762536e-32	1.9490628644726204e-32	1.9232993816159234e-32	1.8855155489148682e-32	1.848041837039585e-32	1.8119133527300725e-32	1.7821475115431908e-32	1.7608777859481946e-32	1.7267639336529118e-32	1.6860532485710195e-32	1.6541779421902215e-32	1.6281865353531393e-32	1.5937444705708892e-32	1.5602999466673381e-32	1.537635356138637e-32	1.5155672197955577e-32	1.483838423918981e-32	1.4610126803566772e-32	1.4302456621219004e-32	1.4087463716043078e-32	1.3857239653002712e-32	1.3638141747395155e-32	1.3391069295840815e-32
Pi	X	6	2	2.3312622870733442e-32	2.322483984056674e-32	2.2964991816246028e-32	2.267381183961253e-32	2.2409969109708083e-32	2.2351017207653475e-32	2.2044539664627527e-32	2.1845134351907087e-32	2.1554680725430367e-32	2.142887914914853e-32	2.1069356399521332e-32	2.0819291215762764e-32	2.0459321972223544e-32	2.0349781014351752e-32	2.0155105842864208e-32	1.9836889178279033e-32	1.952594418870002e-32	1.9382704872680259e-32	1.9096843571043898e-32	1.8817229259182863e-32	1.8523601841811344e-32	1.8497257040258765e-32	1.821512096816889e-32	1.7936857613655754e-32	1.772444652146923e-32	1.7600477532921014e-32	1.7379541681714174e-32	1.710979764896365e-32	1.6930044739883602e-32	1.686368282032365e-32	1.6646419832102655e-32	1.6479484557614512e-32	1.6258728488868116e-32	1.6215503479886907e-32	1.6002054484082936e-32	1.5848669214225498e-32	1.5667196877413465e-32	1.560641995608709e-32	1.5490743272326404e-32	1.5313646371882085e-32	1.5167325025066188e-32	1.5125788494602794e-32	1.4970664312171424e-32	1.4798026346255596e-32	1.47240964627855e-32	1.4637022059500255e-32	1.4488332976354454e-32	1.4361307823020354e-32	1.4316226992858726e-32	1.4166743343901423e-32	1.4018212960037447e-32	1.3868975027020333e-32	1.3822646487784056e-32	1.3699013475124304e-32	1.358432443034137e-32	1.3465080056722042e-32	1.3389226192232173e-32	1.3261412449720534e-32	1.3121953713583126e-32	1.2995453020602444e-32	1.2930964735705616e-32	1.2833366174199673e-32	1.2724504773758222e-32	1.2602541144137304e-32	1.2542946543884348e-32	1.2423858196659824e-32	1.2306630060857915e-32	1.2201607463822299e-32	1.2158846093016839e-32	1.2038069229046116e-32	1.1958307277943418e-32	1.1882429571469102e-32	1.1811305675113278e-32	1.1718650227263802e-32	1.1640103123512377e-32	1.1548611853766777e-32	1.1516337278690642e-32	1.1445350378896598e-32	1.1400283352913748e-32	1.133132466024321e-32	1.1283903697520416e-32	1.1219861755075469e-32	1.116684331077039e-32	1.1134552627123247e-32	1.1091048018292913e-32	1.1071797696767843e-32	1.1038508970374153e-32	1.0999029621261622e-32	1.0974767537684745e-32	1.094099370352366e-32	1.0928735161130213e-32	1.0892628844940433e-32	1.0900476528187469e-32	1.0888459493260767e-32	1.0868631196555158e-32	1.085385991390711e-32	1.0847037298326063e-32	1.0837072597118087e-32	1.0835189686199607e-32	1.081249095676138e-32	1.0800896841337322e-32
