Upper State	Lower State	Upper Vib	Lower Vib	v = -50.0 km/s	v = -49.0 km/s	v = -48.0 km/s	v = -47.0 km/s	v = -46.0 km/s	v = -45.0 km/s	v = -44.0 km/s	v = -43.0 km/s	v = -42.0 km/s	v = -41.0 km/s	v = -40.0 km/s	v = -39.0 km/s	v = -38.0 km/s	v = -37.0 km/s	v = -36.0 km/s	v = -35.0 km/s	v = -34.0 km/s	v = -33.0 km/s	v = -32.0 km/s	v = -31.0 km/s	v = -30.0 km/s	v = -29.0 km/s	v = -28.0 km/s	v = -27.0 km/s	v = -26.0 km/s	v = -25.0 km/s	v = -24.0 km/s	v = -23.0 km/s	v = -22.0 km/s	v = -21.0 km/s	v = -20.0 km/s	v = -19.0 km/s	v = -18.0 km/s	v = -17.0 km/s	v = -16.0 km/s	v = -15.0 km/s	v = -14.0 km/s	v = -13.0 km/s	v = -12.0 km/s	v = -11.0 km/s	v = -10.0 km/s	v = -9.0 km/s	v = -8.0 km/s	v = -7.0 km/s	v = -6.0 km/s	v = -5.0 km/s	v = -4.0 km/s	v = -3.0 km/s	v = -2.0 km/s	v = -1.0 km/s	v = 0.0 km/s	v = 1.0 km/s	v = 2.0 km/s	v = 3.0 km/s	v = 4.0 km/s	v = 5.0 km/s	v = 6.0 km/s	v = 7.0 km/s	v = 8.0 km/s	v = 9.0 km/s	v = 10.0 km/s	v = 11.0 km/s	v = 12.0 km/s	v = 13.0 km/s	v = 14.0 km/s	v = 15.0 km/s	v = 16.0 km/s	v = 17.0 km/s	v = 18.0 km/s	v = 19.0 km/s	v = 20.0 km/s	v = 21.0 km/s	v = 22.0 km/s	v = 23.0 km/s	v = 24.0 km/s	v = 25.0 km/s	v = 26.0 km/s	v = 27.0 km/s	v = 28.0 km/s	v = 29.0 km/s	v = 30.0 km/s	v = 31.0 km/s	v = 32.0 km/s	v = 33.0 km/s	v = 34.0 km/s	v = 35.0 km/s	v = 36.0 km/s	v = 37.0 km/s	v = 38.0 km/s	v = 39.0 km/s	v = 40.0 km/s	v = 41.0 km/s	v = 42.0 km/s	v = 43.0 km/s	v = 44.0 km/s	v = 45.0 km/s	v = 46.0 km/s	v = 47.0 km/s	v = 48.0 km/s	v = 49.0 km/s	v = 50.0 km/s
Pi	X	8	0	8.0415910734906e-28	1.4074781641140738e-27	6.157968038912597e-28	7.516897481684613e-29	1.6954917385280024e-29	2.799217805702252e-27	6.642672050693401e-29	1.9992105729190614e-28	8.814531617450195e-28	6.091918778356808e-29	2.184365589665633e-28	1.3876898214871173e-27	1.6641948194720235e-28	1.351885146016263e-28	1.2127259311214164e-28	4.908748846713233e-29	9.880653314042261e-28	5.916773686994139e-28	1.5953421043235156e-29	3.125173914979659e-28	1.7884511840384913e-29	6.705125330718932e-29	2.4373370551258212e-29	1.645768164110879e-27	3.6994740547252327e-28	4.946836683556002e-28	7.361550427467603e-29	1.6581550914644516e-28	4.3634014580354166e-29	7.137258851274057e-28	9.224464010639534e-29	5.534444633643261e-28	6.119808850926287e-28	1.4934230040785391e-27	4.184731412143248e-30	3.627594800359488e-28	1.6598061814763575e-27	5.796366362972511e-28	1.7509988878038845e-29	1.340675608900683e-28	3.4946028925347113e-28	9.574027669288093e-31	1.0078976236577923e-29	8.14039683460473e-28	1.2240228318446105e-28	4.407229401231093e-29	1.445307197212239e-27	4.763281424296464e-28	1.5898389217827781e-27	1.4286024014556576e-28	8.767454970068208e-28	1.2222929017442273e-27	5.456325960324121e-29	6.186636993447818e-28	2.15530531158566e-28	2.761466143070321e-28	1.7304967227434978e-29	3.4266414423225484e-28	5.538070656621405e-29	1.1262709152791011e-27	1.225311357966011e-28	3.5512701965564583e-28	2.903616919211145e-28	3.3914145191209008e-28	8.181670111720536e-28	2.30149635501635e-28	1.033441173145554e-27	2.263841148918658e-28	5.212382251007767e-28	2.2516567995071623e-28	1.8986618037017646e-28	8.929205722147276e-30	2.7490388949020656e-28	9.813868647675846e-30	9.581799977085616e-28	8.687842265358093e-29	1.7242718375605433e-28	9.742033292342116e-29	4.801850885504409e-28	4.285101957220708e-28	3.0240113546288234e-28	1.2128213055396266e-28	1.0291857612034382e-27	1.9400583946252801e-28	2.198703624837602e-28	1.5927667257127876e-30	7.071108073903037e-28	1.1623355121968698e-30	9.475304261515511e-30	4.601118322898663e-28	1.727487089637511e-28	6.802025169765055e-30	2.7380007263305253e-28	4.2702040602027544e-30	3.1034224384349935e-28	4.187573673546437e-28	4.678253193447234e-28	3.320818999634964e-29	4.533698178300801e-29	4.844539636793921e-28	5.444454131052909e-29
Pi	X	6	0	2.973592336319205e-17	2.960262818223083e-17	2.913576660877065e-17	2.8609883310869497e-17	2.8137446770440034e-17	2.808772882114598e-17	2.7522436972452003e-17	2.7149921897448562e-17	2.6588230254752928e-17	2.6384197718875297e-17	2.570535521217045e-17	2.5233850531941264e-17	2.4538925423872803e-17	2.4333288553627858e-17	2.3957105472341834e-17	2.3333771411384456e-17	2.2712917521956965e-17	2.2445498822912595e-17	2.187181985094385e-17	2.128768362793967e-17	2.06795687416324e-17	2.0627598430089425e-17	2.0050456145017745e-17	1.946746599327722e-17	1.8999254520870457e-17	1.8721365592583154e-17	1.8238046241876315e-17	1.7677491926422157e-17	1.728089655945929e-17	1.7094458844911935e-17	1.659552065261075e-17	1.6229247530021458e-17	1.5728176561832738e-17	1.5606714918020024e-17	1.5125375788187667e-17	1.4751029973082154e-17	1.433021456181637e-17	1.4176701349988184e-17	1.38889340878299e-17	1.3486498307519178e-17	1.3145347306282324e-17	1.3017267758137995e-17	1.2650686642643001e-17	1.2270844444547315e-17	1.2075221094141265e-17	1.186864975954053e-17	1.1540107713344257e-17	1.1248351391404365e-17	1.1121556591098596e-17	1.0786948774790892e-17	1.0459679649938932e-17	1.014512266887814e-17	1.0031344527289377e-17	9.7566008619858e-18	9.491946285108565e-18	9.225616540580692e-18	9.058691173737327e-18	8.785393699211874e-18	8.500310161610594e-18	8.215963098583594e-18	8.073448780708797e-18	7.842626876052001e-18	7.610401892627784e-18	7.350296875031658e-18	7.223575648870488e-18	6.962959488112496e-18	6.706509177571707e-18	6.461522666886908e-18	6.346877726924791e-18	6.098524576314287e-18	5.921067967934306e-18	5.7516082704887774e-18	5.5780953086108684e-18	5.359183550035114e-18	5.158159147607089e-18	4.962497691084814e-18	4.8570772244632044e-18	4.6905208101665615e-18	4.5680314159186124e-18	4.390914780130749e-18	4.250848512773803e-18	4.091396049632543e-18	3.9468941855466246e-18	3.8355175799188204e-18	3.710513798148012e-18	3.638037779537896e-18	3.523049487918781e-18	3.3953299833012717e-18	3.307034898726349e-18	3.20880739662942e-18	3.1325694424382827e-18	3.0282580417077128e-18	2.992069103697287e-18	2.9364474175716882e-18	2.874135206397381e-18	2.8245180900942116e-18	2.773550959052545e-18	2.7342164042220376e-18	2.704045951139433e-18	2.6686483661396086e-18	2.6563021222823832e-18
Pi	X	7	1	4.149194881112321e-21	4.125905583844513e-21	4.091604855596441e-21	4.066257032214586e-21	4.043742663169181e-21	4.036095315186369e-21	3.999457057415571e-21	4.0026404426077326e-21	3.980371318632282e-21	3.95255782850482e-21	3.91048753007401e-21	3.904787573170139e-21	3.861769508788455e-21	3.840021911058894e-21	3.845183547580311e-21	3.816799980266302e-21	3.778122290994852e-21	3.743111224068288e-21	3.7164369383200334e-21	3.6859403138411834e-21	3.646362334826174e-21	3.640002049421619e-21	3.604160959756519e-21	3.565380589109766e-21	3.5477901179599345e-21	3.491456354566889e-21	3.457786750615669e-21	3.409048858931953e-21	3.392189884888503e-21	3.352186584636727e-21	3.304030001853391e-21	3.277910027024688e-21	3.222519852166151e-21	3.1841200480322856e-21	3.1353954175134732e-21	3.103707198806313e-21	3.049681114022827e-21	2.9936271003481164e-21	2.9672141727881574e-21	2.918323497638326e-21	2.8797027085954623e-21	2.833543098894897e-21	2.7777887385236436e-21	2.7212336413609653e-21	2.6642194108011838e-21	2.6262501541093005e-21	2.5832745763777066e-21	2.5387710611678923e-21	2.48724592006266e-21	2.4313849886774363e-21	2.369706546461076e-21	2.31148565516495e-21	2.2616871006817468e-21	2.2220740429270987e-21	2.1780175393148603e-21	2.1289237563479544e-21	2.0648478208381235e-21	2.008029334556757e-21	1.953700895975216e-21	1.9014143319600275e-21	1.8583382522695742e-21	1.8091107621153704e-21	1.7613162109241748e-21	1.70798176298154e-21	1.662807476013246e-21	1.6121478506126171e-21	1.5590776819813351e-21	1.5064853593166735e-21	1.465658505870843e-21	1.4128554746165584e-21	1.375450020651144e-21	1.340397578801997e-21	1.2944984432788375e-21	1.2448543548951977e-21	1.2007163777943905e-21	1.1555690007810256e-21	1.1266597574401383e-21	1.0888270312029043e-21	1.0614596034868044e-21	1.0226024875064329e-21	9.865514644303247e-22	9.501162241477644e-22	9.153067351635828e-22	8.865497178241557e-22	8.56501798756047e-22	8.421911722935372e-22	8.150148682108575e-22	7.843181470315878e-22	7.620628250446298e-22	7.36023846278363e-22	7.1550165563641775e-22	6.92944236987007e-22	6.839482826612392e-22	6.6666064093711655e-22	6.490458298596455e-22	6.401475505883689e-22	6.236286862050263e-22	6.0915556812130845e-22	5.957108062213563e-22	5.909282768765142e-22	5.834279053503175e-22
Pi	X	5	0	2.871574962665217e-16	2.880907729208702e-16	2.911049235627328e-16	2.937851834242762e-16	2.9657839438262313e-16	2.978943389252847e-16	2.999350982658052e-16	3.042097567887608e-16	3.067072973372782e-16	3.071727905601452e-16	3.0700932029733115e-16	3.0924258329860847e-16	3.097147845239703e-16	3.0933168129394703e-16	3.1243712058407156e-16	3.130517671042875e-16	3.1369132755827205e-16	3.1388523151461173e-16	3.124227189586129e-16	3.1268751182634746e-16	3.1275711545428444e-16	3.1602965063670487e-16	3.134400561403003e-16	3.139957764243029e-16	3.162046395267485e-16	3.161666096057916e-16	3.1457645142037155e-16	3.1470540200954647e-16	3.181753452599515e-16	3.199773275416743e-16	3.1797967870638166e-16	3.215776903049159e-16	3.2312837693692246e-16	3.2679210214601725e-16	3.248800896387226e-16	3.2797242098680483e-16	3.3151931687236273e-16	3.3533451963109634e-16	3.3697345941077893e-16	3.392693904705758e-16	3.444034979682079e-16	3.4920279140345733e-16	3.5431686950440487e-16	3.5147782653357295e-16	3.5653088376035507e-16	3.6356773824752955e-16	3.684582666792557e-16	3.6713384519342954e-16	3.7192911914796137e-16	3.757847466689373e-16	3.7985621025693926e-16	3.797864579803609e-16	3.826787978843894e-16	3.8623869495519874e-16	3.8958568830575557e-16	3.892124834317921e-16	3.8937996765387776e-16	3.905748894878728e-16	3.911715413327029e-16	3.8985573596551064e-16	3.8894742610407706e-16	3.8772829720455015e-16	3.861841324995314e-16	3.8389070790982096e-16	3.8174026425860936e-16	3.7798312333216154e-16	3.729160149727357e-16	3.674006634259701e-16	3.6407616532882266e-16	3.579771693633144e-16	3.514999486517932e-16	3.4756281042850205e-16	3.4187363252512005e-16	3.339646124176086e-16	3.2562162092663636e-16	3.1762749030567517e-16	3.120494269076122e-16	3.0375347363950935e-16	2.985061826143607e-16	2.8929315069168063e-16	2.8277606925920074e-16	2.7438613277189364e-16	2.6575177434397115e-16	2.5745310397176197e-16	2.506043203199354e-16	2.4592991092364484e-16	2.377924624623411e-16	2.291593418703715e-16	2.2210616320107363e-16	2.1636868113518977e-16	2.087755605720597e-16	2.0123335534498875e-16	1.961557716249881e-16	1.9191519966901255e-16	1.8501264071313434e-16	1.802396350774797e-16	1.7362132625858156e-16	1.6894334251604546e-16	1.6381146379155857e-16	1.5962577148877547e-16	1.544531794120361e-16
Pi	X	6	1	1.8520801895811595e-16	1.8445398239807095e-16	1.818684473754602e-16	1.789904176689165e-16	1.7639546611746596e-16	1.7604407303760518e-16	1.729643326260877e-16	1.709830334879715e-16	1.6795281713517745e-16	1.6678854586894807e-16	1.6304447332035198e-16	1.6049294049022598e-16	1.5667962162601021e-16	1.5554056475845977e-16	1.5351566447742584e-16	1.5013473269571631e-16	1.4676040091845332e-16	1.4525842144043623e-16	1.4216699664682652e-16	1.3901216131519533e-16	1.3573803789477607e-16	1.3541602352058004e-16	1.3227778292606474e-16	1.2912386096130448e-16	1.26701627704873e-16	1.2514848512355386e-16	1.225659188384574e-16	1.1950817167976455e-16	1.1737156671791604e-16	1.1637312914225276e-16	1.1370239961230836e-16	1.1178691858785403e-16	1.0908404480971791e-16	1.0841233299338608e-16	1.0583308030443996e-16	1.0385097812451652e-16	1.0157600523098615e-16	1.0066220116599312e-16	9.922855667908953e-17	9.704754710369613e-17	9.522076231311048e-17	9.448360993142311e-17	9.251636944360107e-17	9.041326620511848e-17	8.931496880959724e-17	8.827060111469457e-17	8.644388799785731e-17	8.483694110569404e-17	8.41056652382464e-17	8.227008698197693e-17	8.045702187284023e-17	7.86949370481997e-17	7.804718338410258e-17	7.651502286244166e-17	7.503313647992948e-17	7.353648214861396e-17	7.257955961999291e-17	7.103727330055316e-17	6.94114167410152e-17	6.782106584564838e-17	6.697174602963374e-17	6.566242447543963e-17	6.435232424196179e-17	6.2898345221209e-17	6.215524881674938e-17	6.066577661980817e-17	5.920814971552243e-17	5.783389226921777e-17	5.716679168167828e-17	5.574187707762273e-17	5.472119224965674e-17	5.376970212323689e-17	5.2783495301214066e-17	5.155685364200979e-17	5.0459355795845125e-17	4.932321087408584e-17	4.8722945168634296e-17	4.775674408146078e-17	4.708647551480305e-17	4.6093601189268735e-17	4.5305946650481385e-17	4.440934985189339e-17	4.3587586210362057e-17	4.296787756887756e-17	4.2231969375300316e-17	4.179337774129851e-17	4.114011414767071e-17	4.041017220356329e-17	3.992617272693809e-17	3.933225361036247e-17	3.884939067383813e-17	3.817854484075076e-17	3.795380302156112e-17	3.755423345683596e-17	3.7129095176529033e-17	3.682916186290157e-17	3.643540351988672e-17	3.6066855774286095e-17	3.578073793817943e-17	3.5464378707319126e-17	3.521220486646691e-17
Pi	X	7	2	4.295827617125383e-17	4.294701155711233e-17	4.2936176457803606e-17	4.2968423299029106e-17	4.297726580500016e-17	4.299800447127393e-17	4.301307252632086e-17	4.308289170709873e-17	4.313422063490674e-17	4.322040078161271e-17	4.325100597985533e-17	4.33465672297651e-17	4.336291618069778e-17	4.33985234864507e-17	4.3524080414429514e-17	4.358704827743851e-17	4.368274991501937e-17	4.372990540668996e-17	4.3782287933115046e-17	4.3856000013385526e-17	4.391409509240826e-17	4.3956908484938076e-17	4.396231512400625e-17	4.3974224379970767e-17	4.406150069156747e-17	4.405514761237263e-17	4.4073108660253e-17	4.398832676699927e-17	4.3923215275707904e-17	4.3917142200356963e-17	4.384673138973251e-17	4.381571302682229e-17	4.371492180099454e-17	4.3611028473456065e-17	4.3459958872248754e-17	4.3364093846762695e-17	4.320047590271755e-17	4.300330936773853e-17	4.294354463639246e-17	4.273600769976823e-17	4.2563702748987675e-17	4.234436307316034e-17	4.213641732734853e-17	4.1899631715929384e-17	4.170344592799442e-17	4.153170595566224e-17	4.1298788932800214e-17	4.10507502137965e-17	4.0808024582993466e-17	4.0613062642083764e-17	4.038194165211539e-17	4.016796483986683e-17	3.994374861022721e-17	3.9725555335471635e-17	3.950504705286913e-17	3.930333176840471e-17	3.911320410973623e-17	3.8929309936676384e-17	3.8715550620525874e-17	3.8549146975786316e-17	3.838774273005452e-17	3.8207258124356157e-17	3.8051318163166206e-17	3.790813978998312e-17	3.780205207250777e-17	3.766410140958262e-17	3.754755649254394e-17	3.7407078539426767e-17	3.727254185491315e-17	3.7162574198426874e-17	3.707697627456605e-17	3.699520909644328e-17	3.6901773671709827e-17	3.6788559020227585e-17	3.667132407230929e-17	3.660702330425692e-17	3.653822233167084e-17	3.63995315844472e-17	3.630846934647816e-17	3.6168254537689377e-17	3.60659618664927e-17	3.5991474612056184e-17	3.5847602605702153e-17	3.5733613217270194e-17	3.557381026676567e-17	3.540878851061775e-17	3.5319967780810915e-17	3.5134092054181546e-17	3.498562188770868e-17	3.481799711617577e-17	3.459164582635014e-17	3.4378373980607955e-17	3.424792912420002e-17	3.404285574782932e-17	3.38017851886626e-17	3.364270581311936e-17	3.3427965682282264e-17	3.3192535317908926e-17	3.2971585564144645e-17	3.2733563216146576e-17	3.2486462746402276e-17
Pi	X	4	0	6.666185712514158e-14	6.715187523832715e-14	6.763488050459084e-14	6.80429293763715e-14	6.854653372436194e-14	6.897879476775351e-14	6.958626937587448e-14	7.003276037324279e-14	7.060479108740596e-14	7.111294040885577e-14	7.152862870227606e-14	7.21987203251731e-14	7.268735305545175e-14	7.328061962648121e-14	7.370509804538208e-14	7.426108459862229e-14	7.473951483523306e-14	7.540405468887683e-14	7.597950985446305e-14	7.63365492756769e-14	7.691655222342726e-14	7.750035783280487e-14	7.813654191720955e-14	7.838913155445681e-14	7.900567798660353e-14	7.94765175292957e-14	8.012458864767946e-14	8.050287790528731e-14	8.074080500292345e-14	8.12505867636677e-14	8.174998131101023e-14	8.246063915853912e-14	8.257184498261777e-14	8.296154075211856e-14	8.328598459446048e-14	8.375412823539138e-14	8.401383963316148e-14	8.407471329476181e-14	8.456931340254984e-14	8.490991501890364e-14	8.532214706988532e-14	8.526857646241007e-14	8.547159314716223e-14	8.565362102954947e-14	8.59239497382406e-14	8.615286850092344e-14	8.606101089186027e-14	8.618521159004892e-14	8.637368478895031e-14	8.66811599004719e-14	8.654593243454339e-14	8.654033316113461e-14	8.672293326172729e-14	8.68081793975883e-14	8.674888320218432e-14	8.659412477782548e-14	8.674575010660691e-14	8.6847186030515e-14	8.694347724695714e-14	8.679963827628029e-14	8.674810100784479e-14	8.671896065580187e-14	8.677159947220646e-14	8.681173753742791e-14	8.674430406325865e-14	8.673241163744477e-14	8.672212427504296e-14	8.672076528034684e-14	8.658877949051125e-14	8.651763677844248e-14	8.649585438223933e-14	8.655910761832975e-14	8.648714173885527e-14	8.629833197580013e-14	8.616965354416817e-14	8.607914928120335e-14	8.599207161118453e-14	8.577110911469055e-14	8.561902570059627e-14	8.551784397016554e-14	8.517952637835203e-14	8.491363731740377e-14	8.457534279610128e-14	8.422814576982512e-14	8.392128969861359e-14	8.355836422064524e-14	8.310963497855263e-14	8.250875876439952e-14	8.228494274160979e-14	8.166785321262935e-14	8.107177218436858e-14	8.038699620997322e-14	7.969134414709845e-14	7.915717746304893e-14	7.84540111377971e-14	7.790298607394037e-14	7.706154543854042e-14	7.649044480761909e-14	7.566152911218172e-14	7.489906854790448e-14	7.408852551391578e-14
Pi	X	8	3	7.215689392989335e-17	7.225705093838905e-17	7.234768246958924e-17	7.243886059738935e-17	7.256126221583926e-17	7.264678944451751e-17	7.27502110946946e-17	7.289339561427106e-17	7.298673137699212e-17	7.309803870427029e-17	7.320845718053129e-17	7.333364829977704e-17	7.339623029344896e-17	7.344832988064596e-17	7.357038795390307e-17	7.363808490126478e-17	7.377774481536948e-17	7.379435149714368e-17	7.379548181861183e-17	7.385731748590544e-17	7.391917094278244e-17	7.40038321746603e-17	7.389156998351051e-17	7.390753118611155e-17	7.391443961816444e-17	7.387758568766399e-17	7.389665591670219e-17	7.374719725058562e-17	7.37099585194283e-17	7.364136380569009e-17	7.352809825153906e-17	7.343194063668262e-17	7.324223330133347e-17	7.311540142494237e-17	7.29649690977087e-17	7.281588953826917e-17	7.266396333627328e-17	7.238730207760054e-17	7.220657582960311e-17	7.199234963366286e-17	7.177583918326329e-17	7.154278773377786e-17	7.130348189773741e-17	7.099526265568484e-17	7.078389822412814e-17	7.049387598028092e-17	7.018386295372314e-17	6.991406724477346e-17	6.964536375018512e-17	6.941953755474043e-17	6.90811453179361e-17	6.876920930773188e-17	6.846532302562132e-17	6.812654640013883e-17	6.789626496148333e-17	6.759115084379794e-17	6.726501911312246e-17	6.694648274829322e-17	6.659982559906651e-17	6.635833808623446e-17	6.60341493496735e-17	6.577370943670558e-17	6.54680914924439e-17	6.510029532646515e-17	6.480038734368923e-17	6.453261682272619e-17	6.426668916903417e-17	6.394723022279653e-17	6.36363647749511e-17	6.321279843095495e-17	6.28657299041865e-17	6.263586334679016e-17	6.234617525926715e-17	6.198698144331028e-17	6.158373860265999e-17	6.117073367643477e-17	6.090376538416921e-17	6.057295949759583e-17	6.023016141695944e-17	5.974635198759131e-17	5.936147344712259e-17	5.891466336345717e-17	5.86129835448358e-17	5.830230269125649e-17	5.777711336451284e-17	5.733601828082801e-17	5.691264875045948e-17	5.647735239609138e-17	5.619927217254558e-17	5.574432635714943e-17	5.527636357705956e-17	5.4842843095126325e-17	5.440978396221377e-17	5.396581349771399e-17	5.3602578084993205e-17	5.321324564027109e-17	5.281867092787412e-17	5.239971629557567e-17	5.197926180172369e-17	5.1603988392480916e-17	5.121447556439865e-17
Pi	X	5	1	2.1996400317718064e-14	2.201486496353356e-14	2.2150388354912625e-14	2.2272162543735617e-14	2.2392197930013524e-14	2.2439653544503837e-14	2.2520019425040532e-14	2.271851721548844e-14	2.2830684687865687e-14	2.2842199531260083e-14	2.282693669729225e-14	2.293241295220502e-14	2.2947154276983128e-14	2.2912368530537837e-14	2.304962124695892e-14	2.308391791323699e-14	2.312330019879002e-14	2.3130200930071678e-14	2.305039247655528e-14	2.3061976256324488e-14	2.305438178159986e-14	2.322363845967741e-14	2.3098377972159602e-14	2.3129150846991923e-14	2.3247691183425945e-14	2.3248487118063122e-14	2.315421538817826e-14	2.3166612965844798e-14	2.3356711638934384e-14	2.3450774467753007e-14	2.3358258571790017e-14	2.3537798508037185e-14	2.3613723513093846e-14	2.3809198894764094e-14	2.3722908774171323e-14	2.3876364382969815e-14	2.4074254694585365e-14	2.4276568186803497e-14	2.434545040067604e-14	2.4471038402462273e-14	2.4751421101262763e-14	2.4997290588370454e-14	2.52760404802473e-14	2.5134266090335108e-14	2.5400765712655524e-14	2.5766766109576562e-14	2.6037299785238423e-14	2.597376272506421e-14	2.6241439384523445e-14	2.646308269221858e-14	2.6691736132240598e-14	2.6703211613506786e-14	2.6873932509710293e-14	2.708578884983231e-14	2.72917884751466e-14	2.730902697767324e-14	2.7354087116079315e-14	2.7440419619431258e-14	2.7509685469270688e-14	2.7486565748298512e-14	2.7482498342124142e-14	2.7473975347168132e-14	2.7443353550544192e-14	2.7358227587995708e-14	2.7285098280279618e-14	2.714363805795148e-14	2.6930820210648362e-14	2.670372797100136e-14	2.6586267741460813e-14	2.6298137021613612e-14	2.5995963946515073e-14	2.582656531198271e-14	2.5578552424165768e-14	2.52117719420468e-14	2.4828038044436737e-14	2.4417923111669594e-14	2.416262370484851e-14	2.3752450497543402e-14	2.3497505804924535e-14	2.3039849671072878e-14	2.273528934707873e-14	2.2288637661677896e-14	2.184565049694276e-14	2.1418566287415054e-14	2.1066694812452826e-14	2.0815260600432985e-14	2.0411991020024483e-14	1.9930741016667756e-14	1.9553935201486663e-14	1.924668371762794e-14	1.883953577776289e-14	1.8444179650394738e-14	1.81762561007215e-14	1.7915384653447524e-14	1.7540311313679767e-14	1.7270484120023287e-14	1.69067805976854e-14	1.6652631663225075e-14	1.6380478469763306e-14	1.612148029352789e-14	1.582941134015643e-14
Pi	X	6	2	2.776203257668152e-14	2.7657494218720028e-14	2.7348045911500592e-14	2.700128439690743e-14	2.6687078594846233e-14	2.6616877402545406e-14	2.6251896805305084e-14	2.601442826705491e-14	2.566852911937544e-14	2.5518714827904534e-14	2.5090561722260538e-14	2.479276183531357e-14	2.436407536092163e-14	2.423362355851065e-14	2.4001786653073456e-14	2.3622823064689587e-14	2.3252518241617966e-14	2.3081934495575834e-14	2.274150233293973e-14	2.2408507071346694e-14	2.2058823661553756e-14	2.2027448852970007e-14	2.16914513488021e-14	2.1360064382327718e-14	2.1107101045194342e-14	2.0959461775790088e-14	2.0696345622321594e-14	2.0375103958375674e-14	2.0161032449460745e-14	2.008199680527219e-14	1.9823251921700913e-14	1.9624445660979762e-14	1.9361540797938797e-14	1.9310059975798117e-14	1.9055857680717896e-14	1.8873184857410937e-14	1.865706288929256e-14	1.8584678786693594e-14	1.8446914834232483e-14	1.823600447440823e-14	1.8061745029045965e-14	1.801227388960946e-14	1.7827530451616858e-14	1.7621930565203564e-14	1.75338806918548e-14	1.7430181481273367e-14	1.725310327755448e-14	1.7101824259274198e-14	1.7048132541997796e-14	1.6870107981317074e-14	1.669321868330943e-14	1.6515487652915745e-14	1.6460311505594394e-14	1.6313073577266664e-14	1.6176485834570484e-14	1.603447373110467e-14	1.594413616364416e-14	1.579191974477073e-14	1.562583577896069e-14	1.5475182004558184e-14	1.539838006761708e-14	1.5282145733059132e-14	1.5152500232746915e-14	1.5007251008789965e-14	1.4936277763780037e-14	1.4794452178697192e-14	1.4654841934866215e-14	1.452976667004681e-14	1.4478838598610027e-14	1.4335003437796938e-14	1.4240012524693033e-14	1.414964751113195e-14	1.4064942545948334e-14	1.3954595583564365e-14	1.3861049822824503e-14	1.3752090487743705e-14	1.371365088520941e-14	1.3629109532521952e-14	1.3575436296940641e-14	1.3493309476939105e-14	1.3436831795327253e-14	1.3360560905490339e-14	1.3297417255033968e-14	1.3258957944473963e-14	1.3207144494226816e-14	1.3184215876582183e-14	1.3144567834886718e-14	1.3097547219896322e-14	1.3068649952115884e-14	1.3028425237909847e-14	1.3013821233126953e-14	1.2970818136279353e-14	1.2980159403169113e-14	1.2965844476229138e-14	1.2942227718326185e-14	1.2924634617949868e-14	1.2916504971356703e-14	1.2904634358319658e-14	1.2902388293877556e-14	1.2875355686132891e-14	1.2861546886313277e-14
