Upper State	Lower State	Upper Vib	Lower Vib	v = -50.0 km/s	v = -49.0 km/s	v = -48.0 km/s	v = -47.0 km/s	v = -46.0 km/s	v = -45.0 km/s	v = -44.0 km/s	v = -43.0 km/s	v = -42.0 km/s	v = -41.0 km/s	v = -40.0 km/s	v = -39.0 km/s	v = -38.0 km/s	v = -37.0 km/s	v = -36.0 km/s	v = -35.0 km/s	v = -34.0 km/s	v = -33.0 km/s	v = -32.0 km/s	v = -31.0 km/s	v = -30.0 km/s	v = -29.0 km/s	v = -28.0 km/s	v = -27.0 km/s	v = -26.0 km/s	v = -25.0 km/s	v = -24.0 km/s	v = -23.0 km/s	v = -22.0 km/s	v = -21.0 km/s	v = -20.0 km/s	v = -19.0 km/s	v = -18.0 km/s	v = -17.0 km/s	v = -16.0 km/s	v = -15.0 km/s	v = -14.0 km/s	v = -13.0 km/s	v = -12.0 km/s	v = -11.0 km/s	v = -10.0 km/s	v = -9.0 km/s	v = -8.0 km/s	v = -7.0 km/s	v = -6.0 km/s	v = -5.0 km/s	v = -4.0 km/s	v = -3.0 km/s	v = -2.0 km/s	v = -1.0 km/s	v = 0.0 km/s	v = 1.0 km/s	v = 2.0 km/s	v = 3.0 km/s	v = 4.0 km/s	v = 5.0 km/s	v = 6.0 km/s	v = 7.0 km/s	v = 8.0 km/s	v = 9.0 km/s	v = 10.0 km/s	v = 11.0 km/s	v = 12.0 km/s	v = 13.0 km/s	v = 14.0 km/s	v = 15.0 km/s	v = 16.0 km/s	v = 17.0 km/s	v = 18.0 km/s	v = 19.0 km/s	v = 20.0 km/s	v = 21.0 km/s	v = 22.0 km/s	v = 23.0 km/s	v = 24.0 km/s	v = 25.0 km/s	v = 26.0 km/s	v = 27.0 km/s	v = 28.0 km/s	v = 29.0 km/s	v = 30.0 km/s	v = 31.0 km/s	v = 32.0 km/s	v = 33.0 km/s	v = 34.0 km/s	v = 35.0 km/s	v = 36.0 km/s	v = 37.0 km/s	v = 38.0 km/s	v = 39.0 km/s	v = 40.0 km/s	v = 41.0 km/s	v = 42.0 km/s	v = 43.0 km/s	v = 44.0 km/s	v = 45.0 km/s	v = 46.0 km/s	v = 47.0 km/s	v = 48.0 km/s	v = 49.0 km/s	v = 50.0 km/s
X	X	4	1	3.7242684272437106e-43	6.4501714137483105e-43	2.8219568541232315e-43	2.1276976162135136e-44	1.4647510354766433e-44	1.2828566915626657e-42	2.1615510560522275e-44	5.337769441336764e-44	3.3089529202217692e-43	1.8503663162402432e-44	9.980161957539659e-44	4.419159256873044e-43	5.966864752018281e-44	5.150616620643167e-44	3.865158863981929e-44	6.661045119811134e-44	4.440375984705969e-43	2.758385128795592e-43	1.2791922484775066e-44	1.3286202088128789e-43	4.232611128248164e-45	4.099829512756015e-44	4.238462311254148e-44	7.541957017352778e-43	1.4912837435469567e-43	2.1658723847852394e-43	2.7819413035341364e-44	6.989805193294405e-44	4.440037226270577e-44	2.9705163496694958e-43	4.274243480852783e-44	2.2528906395613222e-43	1.6875567482730492e-43	6.0145584613873645e-43	4.9184081997098695e-45	1.6300784399268323e-43	7.761239167895232e-43	2.6046989429072374e-43	2.1402133224290198e-44	3.526543195414031e-44	1.3335867693643867e-43	2.943369056615508e-46	4.1174592767326074e-44	3.658055670477069e-43	4.384328997144988e-44	2.1192205120190043e-44	5.82054901992907e-43	2.0073950121309256e-43	6.402683719968731e-43	6.683332275890115e-44	3.5467516840889172e-43	5.350970934164641e-43	2.8896191313038685e-44	2.6167007943354358e-43	5.374100144736291e-44	8.762411577742888e-44	3.5512986692453013e-44	1.5000829019139562e-43	1.550044265348577e-44	4.93073840798343e-43	5.616344614358534e-44	1.626744367765499e-43	7.185876869296958e-44	1.4189807418629352e-43	3.826116622511927e-43	9.5494916464569e-44	4.807245663363965e-43	1.0009114194467798e-43	2.3736836436179307e-43	5.819165819842026e-44	6.156675586957258e-44	3.001269845572682e-45	9.853840674089357e-44	2.4328706222748574e-45	3.858698578061324e-43	4.0668628249106896e-44	6.568961256794025e-44	2.665806834827182e-44	2.2393287348297525e-43	1.738636838450825e-43	8.853980531744381e-44	3.157393556918215e-44	4.732113927053516e-43	6.493491475145468e-44	7.557879067512004e-44	1.799089486069877e-45	2.6932981720162264e-43	2.9891793541803293e-46	7.579675032735498e-45	2.0675476675208274e-43	6.792052502187346e-44	7.111798185154131e-45	9.80654756429537e-44	4.463285885031251e-45	1.249856212965915e-43	1.952719596278451e-43	2.187869213878174e-43	7.768281949419343e-45	1.0753711004082793e-44	1.7347729768130818e-43	2.3841847790066137e-44
X	X	5	2	3.926166001215403e-35	3.9212806378162824e-35	3.9081154234597864e-35	3.900668923721647e-35	3.9017905198413315e-35	3.9054663836666153e-35	3.8889432493899535e-35	3.904996541284744e-35	3.8907970375270137e-35	3.878125539580453e-35	3.846816972494673e-35	3.851669788859265e-35	3.813151458577206e-35	3.7953508499955784e-35	3.7937997281530806e-35	3.7599167223040805e-35	3.722353812326667e-35	3.6767557474201554e-35	3.637659907659481e-35	3.6012916959250894e-35	3.542777754362299e-35	3.5185191532898937e-35	3.452216282437171e-35	3.3864746900098506e-35	3.3418187393709827e-35	3.2620642988241874e-35	3.206254222835725e-35	3.124518453571668e-35	3.0700480402247814e-35	2.9864371525349665e-35	2.899488470291795e-35	2.848131514282213e-35	2.7558606753278437e-35	2.689704474921055e-35	2.606450750792454e-35	2.5339208544731e-35	2.4439374038113934e-35	2.3567721473665115e-35	2.2861428702402174e-35	2.220602620721295e-35	2.1582580210720997e-35	2.0902260755041875e-35	2.0102909658301432e-35	1.9267571255892888e-35	1.8527198709825797e-35	1.793126046775318e-35	1.7451293111564932e-35	1.6945253160645774e-35	1.6347057862018746e-35	1.5668695583798941e-35	1.504708238246499e-35	1.4485759961271027e-35	1.3999701347079994e-35	1.3647427548969888e-35	1.3169547405439021e-35	1.2801495379440576e-35	1.229158661085908e-35	1.1873573770890715e-35	1.1488187319131061e-35	1.1080925544789397e-35	1.0789880124422651e-35	1.0447933019778499e-35	1.0169146308070693e-35	9.85032409094932e-36	9.588225660217323e-36	9.277135901919503e-36	8.971169512746501e-36	8.695648763679952e-36	8.505373949142394e-36	8.204466799792458e-36	8.039679674225524e-36	7.857932474092508e-36	7.62130339874343e-36	7.413138651231876e-36	7.192312103321382e-36	6.96799230726169e-36	6.812240156911888e-36	6.654527042058366e-36	6.575033264069971e-36	6.386798376076849e-36	6.214657949231636e-36	6.019902737644203e-36	5.8922050732073476e-36	5.7307977034824856e-36	5.6042897647406323e-36	5.5544723211706975e-36	5.423997020397683e-36	5.3103594365765255e-36	5.190073034054354e-36	5.0581709266899535e-36	4.932354717746612e-36	4.82513724486862e-36	4.819625214388601e-36	4.747045248950926e-36	4.667764457176715e-36	4.638577839873745e-36	4.525760603779272e-36	4.446997457897689e-36	4.3885861690131615e-36	4.389190739431685e-36	4.3584793118634404e-36
X	X	6	3	4.2257200732872414e-32	4.2157007316243905e-32	4.1942954892690345e-32	4.1754047108460067e-32	4.1654920681486247e-32	4.1580488098101473e-32	4.13377986965925e-32	4.142111356559e-32	4.122525887740476e-32	4.0994577487421545e-32	4.0608481115488737e-32	4.053925478357177e-32	4.013223752274739e-32	3.986792202954721e-32	3.994398033594084e-32	3.9641676660174484e-32	3.933516876364909e-32	3.8978882366469444e-32	3.8703451227722186e-32	3.8407155023308756e-32	3.805616900248834e-32	3.809638979696508e-32	3.777051147359688e-32	3.742991308106769e-32	3.731743835910814e-32	3.6892681150272584e-32	3.666096048474181e-32	3.6316806911413647e-32	3.6268971479838524e-32	3.5999747098573845e-32	3.570728499412682e-32	3.5692364230089606e-32	3.537139054079606e-32	3.5155482658826085e-32	3.4867316796662204e-32	3.4763217289130104e-32	3.4533852390644196e-32	3.4302519106675615e-32	3.433831199868239e-32	3.4106229286546047e-32	3.3954558683659427e-32	3.377439293184654e-32	3.355522547819122e-32	3.327104485331432e-32	3.3066561356389675e-32	3.306146877375927e-32	3.286561273208143e-32	3.2720551264257926e-32	3.250197742641352e-32	3.217333811425083e-32	3.191035035795122e-32	3.165661255332234e-32	3.145877808100234e-32	3.124973655488742e-32	3.101761791011286e-32	3.074232311864511e-32	3.034642786656264e-32	3.002623511748891e-32	2.9666789043832887e-32	2.9265490529975613e-32	2.890499941654368e-32	2.857286650175239e-32	2.817122658110214e-32	2.773641920822139e-32	2.739111833603169e-32	2.6870232325852527e-32	2.632557819926777e-32	2.5756045992450846e-32	2.536682966017664e-32	2.476999488764496e-32	2.429024921461681e-32	2.3931231649696643e-32	2.3316301234292718e-32	2.2674065392184048e-32	2.2051470286832132e-32	2.141417290806852e-32	2.097316586065217e-32	2.0378834557491244e-32	2.0008304101631072e-32	1.9348161429870665e-32	1.8751824449000098e-32	1.8145782236610938e-32	1.7543964470719248e-32	1.7023547211819977e-32	1.6445022594731031e-32	1.6123445142440418e-32	1.5600260369337193e-32	1.5014978519105232e-32	1.4561419813874715e-32	1.4039561658228487e-32	1.3568160315209533e-32	1.310486501126108e-32	1.2804974041428458e-32	1.2445497045107658e-32	1.2016757747945332e-32	1.1744538364961324e-32	1.1385455001778006e-32	1.101285133043514e-32	1.0726558551869906e-32	1.0514987815214866e-32	1.0256627535916305e-32
X	X	7	4	3.794955240616511e-32	3.79849678682466e-32	3.794157525401239e-32	3.7950661468043013e-32	3.794712305449849e-32	3.799104996082753e-32	3.7998210116016067e-32	3.8189427208272e-32	3.8237539130733095e-32	3.8211228337730926e-32	3.8053977632192293e-32	3.8146390000426527e-32	3.799633775213505e-32	3.7946241732296163e-32	3.81493247851832e-32	3.807208082727826e-32	3.801392789076326e-32	3.793335296056787e-32	3.783600907302715e-32	3.768933598729856e-32	3.7554388239362137e-32	3.770393029876324e-32	3.7588623492581554e-32	3.735815960168352e-32	3.741332521127959e-32	3.7167458471096155e-32	3.70351668987417e-32	3.684727295929109e-32	3.678328810721661e-32	3.66129873298543e-32	3.639850549086452e-32	3.647780198170539e-32	3.6230955630961226e-32	3.5999909669220426e-32	3.575672061612034e-32	3.5660630329559855e-32	3.546230934149944e-32	3.524974366648391e-32	3.52620187614057e-32	3.500057705815642e-32	3.4875649200696657e-32	3.468309307832827e-32	3.4493229688924623e-32	3.419135581474841e-32	3.399735097632304e-32	3.401827166361349e-32	3.380915497414865e-32	3.366153119177371e-32	3.343547440122427e-32	3.3208623409616175e-32	3.301147975551439e-32	3.2783628505505025e-32	3.264685789612931e-32	3.248533391871438e-32	3.233258263343632e-32	3.211960148120899e-32	3.1873094271713304e-32	3.1643013620902367e-32	3.1415544125305724e-32	3.1181688167005005e-32	3.096056181858164e-32	3.072011114097017e-32	3.048408975450079e-32	3.02545022611682e-32	3.0071150432968937e-32	2.9775055520677936e-32	2.945354652800595e-32	2.911331326158209e-32	2.887898787882848e-32	2.8552743132550307e-32	2.823523311183413e-32	2.807331332589206e-32	2.773744164390358e-32	2.736302710151669e-32	2.6971058514594705e-32	2.659960840869593e-32	2.6260805615704297e-32	2.587519998589572e-32	2.5702733010247095e-32	2.526137732186514e-32	2.484531436403948e-32	2.4445481470665228e-32	2.4005205901783643e-32	2.3582530754730344e-32	2.3123877395880997e-32	2.2876204126257017e-32	2.2447223005628147e-32	2.194278938092579e-32	2.158177503472193e-32	2.1092213504330733e-32	2.057921500324685e-32	2.0132994371157882e-32	1.9801502037568507e-32	1.9376140503446023e-32	1.8876097942485315e-32	1.8568016849903752e-32	1.8157496866563082e-32	1.7647277511468578e-32	1.723257051372264e-32	1.6889950611715122e-32	1.6467571025330414e-32
X	X	8	5	1.1886109278522049e-32	1.190022272129026e-32	1.1890637492525805e-32	1.1903284377534065e-32	1.1909856480116243e-32	1.1926070795588527e-32	1.1945131814059381e-32	1.1999920952866905e-32	1.2026175413048256e-32	1.2035415489049198e-32	1.2000619819509022e-32	1.2043053394127557e-32	1.2025680464968068e-32	1.2027671699605122e-32	1.2088647618508234e-32	1.2080963679131556e-32	1.2084766087700227e-32	1.2096319894045493e-32	1.2083177400785983e-32	1.2060841275261209e-32	1.20379900891071e-32	1.2081180332249605e-32	1.2059838030344611e-32	1.2014467830699446e-32	1.2051780925197444e-32	1.1998466667890686e-32	1.1973340189341119e-32	1.1927292742805378e-32	1.1905877732842623e-32	1.1868978588314156e-32	1.1806181974637302e-32	1.1846182310880143e-32	1.1776346488737424e-32	1.171428665802424e-32	1.1637426600547863e-32	1.1604756856701219e-32	1.1546784836716726e-32	1.1480440857546189e-32	1.1484142163211865e-32	1.1400346046504578e-32	1.1360443631594653e-32	1.1298680210912895e-32	1.1238041350644386e-32	1.1141774976208354e-32	1.1077409520468972e-32	1.1086009461387951e-32	1.1018223827442458e-32	1.096412863296715e-32	1.0891919133404707e-32	1.0833956268354417e-32	1.0772795034133843e-32	1.0702595931405244e-32	1.0669815013166752e-32	1.0617579356780043e-32	1.0577317048411457e-32	1.0513734290376838e-32	1.045529073973978e-32	1.0399292443476248e-32	1.0342066523878751e-32	1.0287822740702279e-32	1.0234422632126175e-32	1.0170410862561364e-32	1.012092764446759e-32	1.0075473024159596e-32	1.003720281875588e-32	9.974384777232354e-33	9.903774218136173e-33	9.828783421657372e-33	9.776904273160726e-33	9.711055984590793e-33	9.644207366221546e-33	9.615229015318398e-33	9.550751155667054e-33	9.472288314796811e-33	9.383080863006425e-33	9.306458851708473e-33	9.23210047551905e-33	9.15141471685709e-33	9.112469866481483e-33	9.01173629452593e-33	8.919950623622511e-33	8.83109968293191e-33	8.730494092727936e-33	8.623480889111195e-33	8.508506600261519e-33	8.436922918545556e-33	8.332237022389135e-33	8.198957470700614e-33	8.10994418509153e-33	7.975456703054719e-33	7.827369104529529e-33	7.708195812030149e-33	7.599626083050717e-33	7.464842779484584e-33	7.310821012575521e-33	7.220442235105977e-33	7.096530988000185e-33	6.937055156743992e-33	6.790634848310173e-33	6.66245117789277e-33	6.513705368533125e-33
X	X	2	0	2.2296858437563785e-26	2.2294193396830253e-26	2.229525591912029e-26	2.229066035181055e-26	2.227944251464145e-26	2.2264985835546804e-26	2.2243904921402678e-26	2.2248837253033414e-26	2.2261551909967235e-26	2.2256515878464154e-26	2.2250541802714777e-26	2.224436164346145e-26	2.2230134374024272e-26	2.2233859028184438e-26	2.2248498540353657e-26	2.2245824516439226e-26	2.225085336245911e-26	2.2247840565123425e-26	2.2242665142439856e-26	2.2249391961147932e-26	2.2264375704445482e-26	2.2263239956720384e-26	2.2265745913923594e-26	2.227264498899281e-26	2.2282442637474798e-26	2.2282312913323363e-26	2.229758029593133e-26	2.229015910920342e-26	2.230011135295352e-26	2.2305061075327657e-26	2.2319490543562214e-26	2.2323417640315234e-26	2.2331274171742338e-26	2.2332286562589506e-26	2.2336614722919975e-26	2.2342361875805162e-26	2.2357830871541858e-26	2.2361285356507575e-26	2.2371779756381554e-26	2.2377700990403303e-26	2.2376290018793385e-26	2.2380446806678336e-26	2.23965133831732e-26	2.2401220845255697e-26	2.2409094445786747e-26	2.24190736614799e-26	2.241847876933723e-26	2.242724912239882e-26	2.2443541107221262e-26	2.2456297205184736e-26	2.2465581460543318e-26	2.2476183607023325e-26	2.2479833797288282e-26	2.2496249122218991e-26	2.2518482469870148e-26	2.254334108895046e-26	2.255772806201833e-26	2.2565556735603268e-26	2.2574012579632938e-26	2.259540881713419e-26	2.2618936769654566e-26	2.2654606040593502e-26	2.266511711004765e-26	2.267096794647541e-26	2.268311486083267e-26	2.269726759137823e-26	2.2714287597347203e-26	2.2746103795354223e-26	2.2745862924023135e-26	2.2736605753711874e-26	2.2744389281206126e-26	2.2741881583111777e-26	2.273958229503711e-26	2.2736765436283526e-26	2.2743832124797947e-26	2.2714847608807902e-26	2.2718542306750376e-26	2.2688104696073584e-26	2.266170018471805e-26	2.2637218945245218e-26	2.263237898062254e-26	2.2588756903422167e-26	2.255531793917653e-26	2.2523441973923875e-26	2.248305090497971e-26	2.2445993134692726e-26	2.2423904638574905e-26	2.237051882931518e-26	2.233156318889632e-26	2.2293944169645298e-26	2.225404982312012e-26	2.2207849101110587e-26	2.218384202216214e-26	2.212776027129695e-26	2.208993440169804e-26	2.205570859385339e-26	2.2021978388871245e-26	2.1975576969453944e-26	2.1946528194750333e-26	2.189144486943441e-26	2.1853063657643779e-26
X	X	3	1	9.677886211528262e-27	9.679124847791233e-27	9.682427235513898e-27	9.683345042631137e-27	9.681589222342961e-27	9.680615535809334e-27	9.677375193985236e-27	9.686560477283513e-27	9.699746357028613e-27	9.703424696701384e-27	9.709177351634485e-27	9.716936984682399e-27	9.719201478107724e-27	9.730834564564749e-27	9.74435283978377e-27	9.752657334465104e-27	9.765520940427134e-27	9.773529351409296e-27	9.782390491530182e-27	9.795515603691048e-27	9.81082586106949e-27	9.819222115264207e-27	9.827274736110804e-27	9.837964591473613e-27	9.851063758949503e-27	9.859378784592399e-27	9.873485558311975e-27	9.874962952569676e-27	9.883361135857049e-27	9.890814149330285e-27	9.902396578420045e-27	9.907824667145678e-27	9.914471446411123e-27	9.916842448446333e-27	9.919804429869285e-27	9.923503879573001e-27	9.93203603999402e-27	9.93407733941014e-27	9.936828077446638e-27	9.938430863564352e-27	9.936212634847193e-27	9.936451442976528e-27	9.941172335638598e-27	9.94140993052487e-27	9.942804190206629e-27	9.942796902012392e-27	9.938769030489894e-27	9.939504449434065e-27	9.943944117415955e-27	9.946120623881721e-27	9.94722814510443e-27	9.948932906004524e-27	9.946514424795825e-27	9.951060910621665e-27	9.958526128533597e-27	9.967005682625834e-27	9.971147447592875e-27	9.971728199194707e-27	9.974155754976106e-27	9.982553672435343e-27	9.992251016086837e-27	1.00076529464694e-26	1.001254859519301e-26	1.0013810203470882e-26	1.0019617257665454e-26	1.002622358141201e-26	1.0036018360995363e-26	1.0051221677275943e-26	1.0052778978628965e-26	1.005090157100247e-26	1.0055763868975699e-26	1.0056716530394798e-26	1.0059368160280706e-26	1.0060517908176434e-26	1.0066292553113581e-26	1.0057741739231989e-26	1.0062720633103856e-26	1.00529913062656e-26	1.0043460962463312e-26	1.0036367834395501e-26	1.0036584384021206e-26	1.0021630677600496e-26	1.0011099732807894e-26	1.0000567793929434e-26	9.98539596514031e-27	9.97210052270161e-27	9.964413771466282e-27	9.944516386099322e-27	9.930338649584412e-27	9.916719366296675e-27	9.902291141294434e-27	9.883583362044549e-27	9.874946558172953e-27	9.85350915151866e-27	9.837729181372045e-27	9.824482296202609e-27	9.812612489229605e-27	9.79267498872603e-27	9.781911921296663e-27	9.757644095239426e-27	9.741996244979896e-27
X	X	4	2	1.7055104216289356e-27	1.7070599214737335e-27	1.7089577207469436e-27	1.7103071134935877e-27	1.7120135116118925e-27	1.7137506301759187e-27	1.715396173358268e-27	1.7187423311343964e-27	1.7224530445305527e-27	1.7250040013232373e-27	1.7280317840764787e-27	1.731820396046295e-27	1.7343641265145544e-27	1.7379963215404025e-27	1.7421406113587604e-27	1.7456836372299944e-27	1.7502907134065933e-27	1.7531474667471834e-27	1.7564730734899005e-27	1.7609922053342067e-27	1.7651418084493038e-27	1.768966650420317e-27	1.770937870023646e-27	1.774249040297651e-27	1.7780676939525158e-27	1.7812123052095357e-27	1.7849735760549935e-27	1.785895980856528e-27	1.7880566561125985e-27	1.7902750492476388e-27	1.7930468022274275e-27	1.794721227648479e-27	1.795962919939676e-27	1.7965275850700953e-27	1.797111555587858e-27	1.7979574293719116e-27	1.7993537768702847e-27	1.7995200951981765e-27	1.7993555681452142e-27	1.799251819871258e-27	1.7984842601086483e-27	1.798076752572006e-27	1.798051962193738e-27	1.7973152650687037e-27	1.796841745019745e-27	1.7957251094439878e-27	1.7942484137734602e-27	1.7935852792449234e-27	1.793064252092169e-27	1.7924457674193245e-27	1.7915338887783168e-27	1.7907415141096143e-27	1.7894058494088655e-27	1.7890383918843736e-27	1.7891430158701074e-27	1.7891015160544917e-27	1.788835991139213e-27	1.7880331294874167e-27	1.7874186295431968e-27	1.7879254373299637e-27	1.788335314414165e-27	1.7897801817349844e-27	1.789936753141713e-27	1.7893239267852728e-27	1.7898299681967104e-27	1.7900600308008667e-27	1.791319958743378e-27	1.7929398872639847e-27	1.792774391411722e-27	1.7923804252184478e-27	1.7927162550578096e-27	1.7929139252736244e-27	1.7935044004717406e-27	1.793561041257714e-27	1.7940649507084338e-27	1.79306471284056e-27	1.793778543543691e-27	1.79292414551467e-27	1.7917202762443404e-27	1.7908060499561864e-27	1.7906734723432624e-27	1.7890217486048825e-27	1.7878609040468367e-27	1.7865825340283726e-27	1.784485626748227e-27	1.7828888455408372e-27	1.7816839435166522e-27	1.7792873349940634e-27	1.7774216963087974e-27	1.7754031880370818e-27	1.7734418680180204e-27	1.7708789092087836e-27	1.7696060165034963e-27	1.766789714289969e-27	1.764147623135636e-27	1.76210716534631e-27	1.760648451171898e-27	1.757565361981958e-27	1.7557384168400163e-27	1.7519279224246785e-27	1.7492538034738384e-27
X	X	5	3	3.832405294510499e-28	3.8379355992777517e-28	3.8434527096893713e-28	3.848248010571716e-28	3.856198860318724e-28	3.8629360987872046e-28	3.8707110018174116e-28	3.8796014693613986e-28	3.8883652439645655e-28	3.8985883226977574e-28	3.9079740769564663e-28	3.920420130689939e-28	3.9295000985400415e-28	3.938129075253573e-28	3.951517645330256e-28	3.962573438552117e-28	3.977525051877929e-28	3.9856573622186707e-28	3.9947804555687874e-28	4.009300772542533e-28	4.0215077798767263e-28	4.0351922552305117e-28	4.039979280552891e-28	4.050621000963661e-28	4.062487628724868e-28	4.073645135832772e-28	4.08562949824574e-28	4.089050319198463e-28	4.096567858866279e-28	4.104861087229823e-28	4.1136770084048555e-28	4.120664887422096e-28	4.1241340285022505e-28	4.1271853936729724e-28	4.130498559517478e-28	4.135077056273077e-28	4.13922059794946e-28	4.140294405748085e-28	4.1403228627182555e-28	4.141115512981886e-28	4.140742935008067e-28	4.14054864972549e-28	4.140113528419495e-28	4.137598181279417e-28	4.136493079331326e-28	4.133229052558732e-28	4.130144732334346e-28	4.128010560521586e-28	4.124559463298704e-28	4.122316243429533e-28	4.118241402824672e-28	4.115137811591027e-28	4.111694517407811e-28	4.1082362850041006e-28	4.106444647069513e-28	4.102854942475496e-28	4.100682829739187e-28	4.098074402150697e-28	4.094706940365121e-28	4.093773701659703e-28	4.091256837626442e-28	4.091685132584348e-28	4.090937987877395e-28	4.08860539003174e-28	4.088460459119103e-28	4.086321753235847e-28	4.087955167324361e-28	4.0898596780483535e-28	4.088958857545427e-28	4.088195950430803e-28	4.087589934447078e-28	4.08822366733478e-28	4.0900785061105925e-28	4.0902754313246965e-28	4.090817854707586e-28	4.089801497452182e-28	4.091365214908078e-28	4.091740328754806e-28	4.090832584506641e-28	4.089753800062548e-28	4.0901465812406505e-28	4.088815871081931e-28	4.088520313247725e-28	4.087609135170968e-28	4.084878782664726e-28	4.082829691774243e-28	4.082160544899735e-28	4.079562548706551e-28	4.077079903788064e-28	4.074183934906865e-28	4.070807812541766e-28	4.0680246171105395e-28	4.065975022093144e-28	4.061488195057571e-28	4.056799546583383e-28	4.052290364940216e-28	4.050354978662554e-28	4.045343602973974e-28	4.040850935999051e-28	4.033516122324442e-28	4.027379190687713e-28
X	X	6	4	5.798658970559113e-29	5.809366309493745e-29	5.818940073862036e-29	5.828442385183519e-29	5.844608380398141e-29	5.858032438781416e-29	5.873954695044416e-29	5.889751619593342e-29	5.903692351026077e-29	5.923503062116282e-29	5.939217178101351e-29	5.962284600343318e-29	5.977933789505661e-29	5.991025174252606e-29	6.015549659648131e-29	6.034446999103708e-29	6.060319235756553e-29	6.073493809049452e-29	6.088411199676211e-29	6.11264178550321e-29	6.132137518519242e-29	6.156701183099978e-29	6.162723818318864e-29	6.179802308404636e-29	6.200500088039854e-29	6.218617535628215e-29	6.238117295519594e-29	6.241995379633346e-29	6.253931302997179e-29	6.267061260372255e-29	6.280023460327049e-29	6.293205736799535e-29	6.295952787375538e-29	6.299843521859034e-29	6.303667391964841e-29	6.310597289646898e-29	6.314786815017843e-29	6.313824275842389e-29	6.313793100700339e-29	6.312700680870399e-29	6.310911927164472e-29	6.308303578059109e-29	6.304734007909925e-29	6.29682911732694e-29	6.292231407076818e-29	6.285770900292988e-29	6.278374927814222e-29	6.272005339364927e-29	6.261863449907778e-29	6.25537439693264e-29	6.2448081604236e-29	6.236063470355635e-29	6.228947815458315e-29	6.218850310715431e-29	6.21165321528796e-29	6.200457666120498e-29	6.193975104732079e-29	6.18719812042664e-29	6.178016885882785e-29	6.172195938287037e-29	6.163077307869889e-29	6.158695308932303e-29	6.15478753575237e-29	6.148921184904725e-29	6.145891018931852e-29	6.138025272512165e-29	6.137206363153724e-29	6.136275687225599e-29	6.132610197822205e-29	6.12959659973954e-29	6.125485403837225e-29	6.125697195688164e-29	6.126993457618802e-29	6.125085946162524e-29	6.123670289623715e-29	6.121288703586135e-29	6.121684202450196e-29	6.121844957279684e-29	6.120981009218609e-29	6.117899388984349e-29	6.117303622245192e-29	6.115232628301443e-29	6.114475473927248e-29	6.112331860667363e-29	6.10717042611392e-29	6.103419280203838e-29	6.101907468372502e-29	6.097522929514882e-29	6.093319789889796e-29	6.087402270423171e-29	6.079767539989296e-29	6.074563801936908e-29	6.069858566943358e-29	6.061673121232599e-29	6.052286045020077e-29	6.043950413508679e-29	6.038224167577252e-29	6.028503685352805e-29	6.018000740325541e-29	6.005411432496142e-29	5.992840894673695e-29
