Upper State	Lower State	Upper Vib	Lower Vib	v = -50.0 km/s	v = -49.0 km/s	v = -48.0 km/s	v = -47.0 km/s	v = -46.0 km/s	v = -45.0 km/s	v = -44.0 km/s	v = -43.0 km/s	v = -42.0 km/s	v = -41.0 km/s	v = -40.0 km/s	v = -39.0 km/s	v = -38.0 km/s	v = -37.0 km/s	v = -36.0 km/s	v = -35.0 km/s	v = -34.0 km/s	v = -33.0 km/s	v = -32.0 km/s	v = -31.0 km/s	v = -30.0 km/s	v = -29.0 km/s	v = -28.0 km/s	v = -27.0 km/s	v = -26.0 km/s	v = -25.0 km/s	v = -24.0 km/s	v = -23.0 km/s	v = -22.0 km/s	v = -21.0 km/s	v = -20.0 km/s	v = -19.0 km/s	v = -18.0 km/s	v = -17.0 km/s	v = -16.0 km/s	v = -15.0 km/s	v = -14.0 km/s	v = -13.0 km/s	v = -12.0 km/s	v = -11.0 km/s	v = -10.0 km/s	v = -9.0 km/s	v = -8.0 km/s	v = -7.0 km/s	v = -6.0 km/s	v = -5.0 km/s	v = -4.0 km/s	v = -3.0 km/s	v = -2.0 km/s	v = -1.0 km/s	v = 0.0 km/s	v = 1.0 km/s	v = 2.0 km/s	v = 3.0 km/s	v = 4.0 km/s	v = 5.0 km/s	v = 6.0 km/s	v = 7.0 km/s	v = 8.0 km/s	v = 9.0 km/s	v = 10.0 km/s	v = 11.0 km/s	v = 12.0 km/s	v = 13.0 km/s	v = 14.0 km/s	v = 15.0 km/s	v = 16.0 km/s	v = 17.0 km/s	v = 18.0 km/s	v = 19.0 km/s	v = 20.0 km/s	v = 21.0 km/s	v = 22.0 km/s	v = 23.0 km/s	v = 24.0 km/s	v = 25.0 km/s	v = 26.0 km/s	v = 27.0 km/s	v = 28.0 km/s	v = 29.0 km/s	v = 30.0 km/s	v = 31.0 km/s	v = 32.0 km/s	v = 33.0 km/s	v = 34.0 km/s	v = 35.0 km/s	v = 36.0 km/s	v = 37.0 km/s	v = 38.0 km/s	v = 39.0 km/s	v = 40.0 km/s	v = 41.0 km/s	v = 42.0 km/s	v = 43.0 km/s	v = 44.0 km/s	v = 45.0 km/s	v = 46.0 km/s	v = 47.0 km/s	v = 48.0 km/s	v = 49.0 km/s	v = 50.0 km/s
X	X	4	1	5.052507484590304e-24	8.750829007216404e-24	3.828497319842228e-24	2.8884601271178686e-25	1.9842792693144458e-25	1.740428015162001e-23	2.9345369539060155e-25	7.251059257150108e-25	4.4913713821592935e-24	2.511864113497054e-25	1.3538676398515589e-24	6.000661781253502e-24	8.099571721252068e-25	6.9910222658541565e-25	5.247042871370482e-25	9.022702448922441e-25	6.0244890684834835e-24	3.74174496387171e-24	1.733388890085616e-25	1.8026515543556905e-24	5.744424215893461e-26	5.557056947983148e-25	5.73896467258255e-25	1.0232035319449332e-23	2.0238612028890394e-24	2.9387483398126682e-24	3.7751061051725993e-25	9.484994716858314e-25	6.015403729169108e-25	4.031021889346048e-24	5.798624317321961e-25	3.0573809567740645e-24	2.292298963350844e-24	8.162541829435964e-24	6.662515963970995e-26	2.2116127463773086e-24	1.0528967546720963e-23	3.533931029698576e-24	2.8986915375568e-25	4.790038931462048e-25	1.8100914209466024e-24	3.9870833214762e-27	5.574694853484891e-25	4.963075217355525e-24	5.951814423089645e-25	2.874875266146044e-25	7.899246468984125e-24	2.723987937663248e-24	8.689279269018207e-24	9.066660870048994e-25	4.813350808981122e-24	7.260428333217431e-24	3.9178964870478574e-25	3.550748681545673e-24	7.3015493597133255e-25	1.1898509518390844e-24	4.811712841199122e-25	2.0353773096507156e-24	2.1050649439172834e-25	6.69023836615688e-24	7.61958933267863e-25	2.2069673953981337e-24	9.763343758899067e-25	1.925542686714073e-24	5.1905434913472135e-24	1.296030544038115e-24	6.521643053654276e-24	1.3580419294952457e-24	3.2203753169855517e-24	7.905850540588701e-25	8.358342198521837e-25	4.074003273827035e-26	1.3376748594190656e-24	3.3023829597729544e-26	5.236759109653838e-24	5.517128997659382e-25	8.916169143113972e-25	3.6212008627865343e-25	3.037915596610717e-24	2.3595047020460333e-24	1.2025170905228208e-24	4.289504856552241e-25	6.4199068614232344e-24	8.816465607741012e-25	1.0260713072917242e-24	2.4371227865362425e-26	3.655664014129843e-24	4.063587550528932e-27	1.02743102516443e-25	2.805150101140388e-24	9.21807859040746e-25	9.633771477725208e-26	1.3312582132427147e-24	6.046061286793504e-26	1.696218255818618e-24	2.6490967169308465e-24	2.9680823304251996e-24	1.0537861427683021e-25	1.4587831658520166e-25	2.354990218648406e-24	3.234963415491631e-25
X	X	5	2	5.349067969391919e-16	5.342412014040725e-16	5.324475504254995e-16	5.314330322786314e-16	5.315858333760404e-16	5.320866348610695e-16	5.298354876670331e-16	5.32022609828797e-16	5.300880370806611e-16	5.283616396130751e-16	5.240960940837562e-16	5.247572302924813e-16	5.195094199665563e-16	5.17084232525369e-16	5.168728867649698e-16	5.122565807189375e-16	5.071389295639835e-16	5.009265473251029e-16	4.95600044520406e-16	4.906451765952678e-16	4.826731272812089e-16	4.793680632995179e-16	4.703348292073304e-16	4.613780604153896e-16	4.552940270513293e-16	4.444281557280437e-16	4.3682447827077977e-16	4.256886593515061e-16	4.1826749006927397e-16	4.0687619490312395e-16	3.950301490087707e-16	3.8803317830423564e-16	3.7546204728007255e-16	3.664488143395659e-16	3.5510618224932807e-16	3.4522458990934684e-16	3.3296509838691317e-16	3.210895663307139e-16	3.11466920851312e-16	3.0253761304036007e-16	2.940436790546813e-16	2.847749106589775e-16	2.738844315501385e-16	2.625036613826693e-16	2.5241672614829834e-16	2.442975783405665e-16	2.3775843151979953e-16	2.30864070938465e-16	2.2271418105191837e-16	2.1347208499696186e-16	2.0500315106507659e-16	1.973556231536082e-16	1.9073349647160792e-16	1.8593407977247622e-16	1.794233817375394e-16	1.7440899678051102e-16	1.6746194176563586e-16	1.617668861331657e-16	1.5651633570386114e-16	1.5096775780505458e-16	1.4700252905370567e-16	1.4234380299749616e-16	1.3854558283010946e-16	1.3420190966484516e-16	1.3063105785964918e-16	1.2639273948032634e-16	1.2222422327309478e-16	1.1847050391064858e-16	1.1587817555197044e-16	1.1177858662782158e-16	1.0953350968945568e-16	1.0705736879034039e-16	1.0383351380377085e-16	1.0099745150285603e-16	9.798889217219923e-17	9.493273463933058e-17	9.281075060535665e-17	9.066205099087942e-17	8.95790183960404e-17	8.701449101440709e-17	8.466923249944947e-17	8.201586793359963e-17	8.027609713030511e-17	7.807706544933585e-17	7.635351091255847e-17	7.567479509480988e-17	7.389718645409449e-17	7.23489744160546e-17	7.071018036806249e-17	6.89131332012042e-17	6.719899945495251e-17	6.573825656087524e-17	6.566316095555406e-17	6.467432418955343e-17	6.359419617064433e-17	6.319655588519564e-17	6.165952115037891e-17	6.058644191305632e-17	5.979064040839775e-17	5.979887847201968e-17	5.938046297142286e-17
X	X	6	3	5.825698044382665e-13	5.811899014792707e-13	5.782405080070189e-13	5.756372889131215e-13	5.742719118724031e-13	5.732465613896862e-13	5.699027546705768e-13	5.710528260570629e-13	5.683540137875252e-13	5.651751967048185e-13	5.598536126441372e-13	5.588999804437397e-13	5.532901714246863e-13	5.496471728206616e-13	5.506968733974346e-13	5.465303805622117e-13	5.423059078673985e-13	5.373953204705359e-13	5.33598862679147e-13	5.295146124286226e-13	5.246767741717199e-13	5.252323474771936e-13	5.207408521860082e-13	5.160458008017043e-13	5.144961306664006e-13	5.086411516012035e-13	5.054471838032016e-13	5.007036341111899e-13	5.000446701732213e-13	4.963336850098794e-13	4.923026646261064e-13	4.920980485723751e-13	4.87673696158982e-13	4.846974172871872e-13	4.807255343859967e-13	4.792910117769121e-13	4.761299222259626e-13	4.729415532714131e-13	4.734358257390794e-13	4.702367054478275e-13	4.681465254393156e-13	4.65663404736256e-13	4.626428508936397e-13	4.587256634262898e-13	4.559075934148692e-13	4.558385814356393e-13	4.5313908544450086e-13	4.5114010347141227e-13	4.481268933436396e-13	4.435971512371881e-13	4.3997265917481837e-13	4.364754231790681e-13	4.3374942608626794e-13	4.3086780030000267e-13	4.2766830753209276e-13	4.238733533534912e-13	4.1841641498353946e-13	4.1400310598986283e-13	4.0904866769254596e-13	4.035168740311638e-13	3.985476993467441e-13	3.9396915905634604e-13	3.8843223543986364e-13	3.824386430017608e-13	3.776792641625559e-13	3.704989174433429e-13	3.6299070796046244e-13	3.551392366388192e-13	3.497737796746978e-13	3.4154638563817126e-13	3.349324223529893e-13	3.299835932638209e-13	3.215063831105311e-13	3.1265281884825935e-13	3.0406962087114607e-13	2.9528405527362607e-13	2.8920349034642695e-13	2.8100938745152025e-13	2.759020585944752e-13	2.668009010545697e-13	2.585790419535586e-13	2.5022350488761795e-13	2.4192613330552534e-13	2.3475106908571375e-13	2.2677447447094018e-13	2.2234058447800085e-13	2.151267558612346e-13	2.0705682667875953e-13	2.00803485689387e-13	1.9360788649691468e-13	1.8710724936279858e-13	1.8071872446607444e-13	1.765833295211769e-13	1.716267393030205e-13	1.6571450299781652e-13	1.6196036715531282e-13	1.570083926455689e-13	1.5186999315311677e-13	1.4792229825701199e-13	1.4500431049485094e-13	1.4144095855072338e-13
X	X	7	4	5.282437071162493e-13	5.287375125405838e-13	5.281343352208502e-13	5.282622109639445e-13	5.282135868421549e-13	5.288255656249198e-13	5.28926879747488e-13	5.31589041578585e-13	5.32260357711307e-13	5.318954392562804e-13	5.29707783446336e-13	5.309954347853312e-13	5.289085003020052e-13	5.282127733674206e-13	5.310402502526415e-13	5.2996628118614e-13	5.291584739088886e-13	5.280388446926255e-13	5.266853711126467e-13	5.246448318832482e-13	5.227675689813304e-13	5.248493868336413e-13	5.232456681519957e-13	5.20038641651649e-13	5.208077167353394e-13	5.173862003698097e-13	5.155452995299689e-13	5.12930630109425e-13	5.120396185051654e-13	5.09669459436111e-13	5.066838485210466e-13	5.077881437439251e-13	5.043521991981472e-13	5.011357079518688e-13	4.977501760533407e-13	4.964121590180087e-13	4.936511198199682e-13	4.906916206755938e-13	4.908620547248514e-13	4.872220126634298e-13	4.85482503835313e-13	4.828012642530325e-13	4.801577286442555e-13	4.759551291637824e-13	4.732537429292769e-13	4.735444999723289e-13	4.706327455378564e-13	4.68577054328535e-13	4.65429691618605e-13	4.622720415128479e-13	4.595273932542624e-13	4.56355289611746e-13	4.544512496295664e-13	4.5220257122093924e-13	4.5007633975825047e-13	4.4711151644746973e-13	4.4368069426104624e-13	4.4047824988872336e-13	4.373123975414455e-13	4.340581239696724e-13	4.309806190266929e-13	4.276339229487625e-13	4.243495700311483e-13	4.2115511248998694e-13	4.186039781357945e-13	4.144839058939424e-13	4.1001018567930095e-13	4.0527588013618774e-13	4.020151816029741e-13	3.9747609010420787e-13	3.9305825395212053e-13	3.9080575785863976e-13	3.861328110797057e-13	3.80923368471075e-13	3.754693893134283e-13	3.7030129757007586e-13	3.6558685158861133e-13	3.602215845934047e-13	3.5782229456044535e-13	3.5168108897325905e-13	3.458916749937711e-13	3.4032836929220694e-13	3.3420198038757224e-13	3.2831973027162447e-13	3.2193712019504837e-13	3.1849042293554827e-13	3.1252060777940214e-13	3.055004118927543e-13	3.0047649476802577e-13	2.9366287856789966e-13	2.865225192189419e-13	2.803121446450459e-13	2.7569789702006506e-13	2.6977658458124897e-13	2.6281609522777947e-13	2.585280332161105e-13	2.5281388467922705e-13	2.4571108929818694e-13	2.399373549301065e-13	2.351671966519832e-13	2.2928669747271623e-13
X	X	8	5	1.6717296765744916e-13	1.673714898784749e-13	1.6723672589508352e-13	1.674146629741575e-13	1.6750727725913274e-13	1.6773535539586886e-13	1.680036571349268e-13	1.6877416318345947e-13	1.6914349477804825e-13	1.692737422009826e-13	1.6878462694857157e-13	1.6938165437059107e-13	1.69137722506493e-13	1.691659439529498e-13	1.700235209431871e-13	1.6991570820666143e-13	1.6996951892129233e-13	1.7013242971935144e-13	1.6994792808884605e-13	1.6963417952684818e-13	1.693130514958952e-13	1.6992036863329706e-13	1.6962039018715457e-13	1.6898273930208008e-13	1.6950779771171527e-13	1.6875825900797936e-13	1.6840513189261635e-13	1.677576214974247e-13	1.6745642647984705e-13	1.6693760978606456e-13	1.6605450917467877e-13	1.6661718012471172e-13	1.656350413146612e-13	1.6476232586505288e-13	1.6368133004143483e-13	1.632217126515286e-13	1.6240629805345757e-13	1.6147306744437679e-13	1.6152513262310021e-13	1.6034650675675874e-13	1.5978512202441773e-13	1.5891623689249998e-13	1.5806321429105342e-13	1.5670928787706656e-13	1.558038240717613e-13	1.5592459258942517e-13	1.5497101450118416e-13	1.5420999854410033e-13	1.5319425903491036e-13	1.5237904793242796e-13	1.515187281343618e-13	1.5053131559580944e-13	1.5007027271588578e-13	1.4933545649750929e-13	1.487691017242784e-13	1.4787484297563856e-13	1.4705300427897005e-13	1.46265559180628e-13	1.4546078304550502e-13	1.4469809159595183e-13	1.4394718878530137e-13	1.4304705468402532e-13	1.4235141121553586e-13	1.4171242196066918e-13	1.411744605356967e-13	1.4029139138172132e-13	1.392987795142165e-13	1.3824457019397986e-13	1.3751526820586712e-13	1.3658976607254383e-13	1.3565017068860197e-13	1.352429972438185e-13	1.3433681650282363e-13	1.3323400907282283e-13	1.31980024896339e-13	1.3090312816207708e-13	1.2985798395980134e-13	1.287239241883125e-13	1.2817658487518912e-13	1.2676063016240562e-13	1.2547047751909345e-13	1.2422157404401847e-13	1.2280737483351837e-13	1.213029769388166e-13	1.1968661315867703e-13	1.1868015943962363e-13	1.1720841597671537e-13	1.1533458499813238e-13	1.1408323614834117e-13	1.1219229284719984e-13	1.1011003457783186e-13	1.0843435230285472e-13	1.0690756424049792e-13	1.0501209308912612e-13	1.0284617254206605e-13	1.0157537725300091e-13	9.983282921024348e-14	9.759008212198474e-14	9.553069774438989e-14	9.372773318817577e-14	9.163564318260114e-14
X	X	2	0	4.437384880462891e-07	4.436854882119952e-07	4.4370663255776596e-07	4.4361519527955034e-07	4.433919725253768e-07	4.43104302985461e-07	4.426847837940147e-07	4.427830184327241e-07	4.4303606484164083e-07	4.4293585022707053e-07	4.428169063808242e-07	4.42693948584656e-07	4.4241073515060274e-07	4.424848339651985e-07	4.427762281231683e-07	4.4272296551442444e-07	4.4282299328573375e-07	4.4276298015992515e-07	4.426599497078212e-07	4.4279372816430436e-07	4.430918302765959e-07	4.430692068483065e-07	4.431189768831409e-07	4.432561665623165e-07	4.4345113254298893e-07	4.434484056819368e-07	4.4375213499926123e-07	4.436042993835376e-07	4.43802272760413e-07	4.4390063723902527e-07	4.441876482616492e-07	4.442657755458516e-07	4.444219518941161e-07	4.444419633416072e-07	4.445279330002294e-07	4.4464217794804554e-07	4.4494986087153247e-07	4.450184316588014e-07	4.452272540952238e-07	4.4534491552159106e-07	4.4531669973552763e-07	4.4539926062151426e-07	4.4571885422025935e-07	4.458123582197298e-07	4.45968891519353e-07	4.461674390817875e-07	4.4615544178233196e-07	4.4632985030416496e-07	4.4665392212041773e-07	4.4690764003423425e-07	4.4709226068509794e-07	4.4730310671550867e-07	4.473756615746445e-07	4.4770221240540235e-07	4.481445475802489e-07	4.4863912434442104e-07	4.489253196508403e-07	4.490810019435033e-07	4.4924915536385585e-07	4.4967483130436644e-07	4.5014294010135295e-07	4.508526722506276e-07	4.510617461964803e-07	4.5117808612110235e-07	4.514197465892761e-07	4.517012726833557e-07	4.52039864058191e-07	4.526729148250851e-07	4.526680176909162e-07	4.5248367210053743e-07	4.5263848113854193e-07	4.5258851655223284e-07	4.5254263751352387e-07	4.5248645231551696e-07	4.5262698262426525e-07	4.5205004348841135e-07	4.521234716162087e-07	4.515176001066159e-07	4.509920617013129e-07	4.505047225846342e-07	4.504082995720859e-07	4.495400451110553e-07	4.488744421860152e-07	4.48239945094042e-07	4.47435972115449e-07	4.4669839018372106e-07	4.462586778314308e-07	4.4519608435312086e-07	4.444207132454736e-07	4.4367190698231743e-07	4.428777962647754e-07	4.41958173001522e-07	4.414803051988771e-07	4.4036406285618463e-07	4.3961111064773145e-07	4.3892991158350434e-07	4.3825846380261554e-07	4.3733483913911536e-07	4.367565853402151e-07	4.35660246231374e-07	4.3489625931866406e-07
X	X	3	1	1.9459563358046784e-07	1.9462055055352053e-07	1.9468694728162876e-07	1.9470540842341887e-07	1.9467011145163541e-07	1.9465054668540962e-07	1.9458539782453028e-07	1.9477011736873906e-07	1.9503524968918362e-07	1.9510921520252557e-07	1.9522485980252324e-07	1.9538089771479558e-07	1.9542639597097372e-07	1.9566029239167912e-07	1.9593212974623306e-07	1.9609909068384887e-07	1.9635771724052305e-07	1.965187193702232e-07	1.9669687840885032e-07	1.9696074696183518e-07	1.972685528259372e-07	1.9743737031576056e-07	1.975992422570324e-07	1.978141373667466e-07	1.9807751888587672e-07	1.9824464781860528e-07	1.9852824717942382e-07	1.9855789121895124e-07	1.987267161923242e-07	1.9887651509790007e-07	1.9910933785836023e-07	1.99218471310081e-07	1.9935204143955236e-07	1.9939965566050525e-07	1.9945914078582345e-07	1.9953346811744466e-07	1.9970494907479327e-07	1.997459151128262e-07	1.9980121265457812e-07	1.9983336099109353e-07	1.9978869842684455e-07	1.9979342551468697e-07	1.9988827993989468e-07	1.9989297596451972e-07	1.999209374886341e-07	1.9992076822903807e-07	1.9983970644891662e-07	1.998544312243214e-07	1.9994362699000274e-07	1.999873237410433e-07	2.00009525501725e-07	2.000437325035633e-07	1.999950618923685e-07	2.0008641642670606e-07	2.0023645619055976e-07	2.0040688940543663e-07	2.004901101301999e-07	2.0050173121085102e-07	2.005504828808487e-07	2.007192774144659e-07	2.0091420242416526e-07	2.0122382856727958e-07	2.0132221354871105e-07	2.0134753495236042e-07	2.0146426087709288e-07	2.0159703369790643e-07	2.0179391792387136e-07	2.0209955087952426e-07	2.0213081609529115e-07	2.0209301357558332e-07	2.021907367506901e-07	2.022098642871615e-07	2.0226312681482714e-07	2.0228618911841752e-07	2.0240225298424157e-07	2.0223027219963305e-07	2.0233033785233968e-07	2.0213465399898607e-07	2.0194300329309273e-07	2.018003246813889e-07	2.0180463565141934e-07	2.0150390759687337e-07	2.012921064094266e-07	2.0108028596841716e-07	2.0077516585960783e-07	2.0050779663877736e-07	2.003531851332542e-07	1.9995304330349515e-07	1.9966792638595414e-07	1.9939402253501586e-07	1.991038416461397e-07	1.9872760732716807e-07	1.985539055747503e-07	1.9812279882365435e-07	1.9780543653804264e-07	1.975390556499584e-07	1.9730031200036207e-07	1.9689934633911825e-07	1.9668286819131638e-07	1.961948643468702e-07	1.9588016444582954e-07
X	X	4	2	3.4651022222765024e-08	3.468250380716082e-08	3.4721058508939405e-08	3.474847407292759e-08	3.478314260785858e-08	3.481843653204962e-08	3.485186865345595e-08	3.4919856585902204e-08	3.499524651797319e-08	3.504707397198588e-08	3.510858395104447e-08	3.518555861691074e-08	3.5237232703776046e-08	3.5311025294760864e-08	3.539522859863253e-08	3.546720844726126e-08	3.556080543217728e-08	3.561884180671832e-08	3.5686405470239585e-08	3.57782132201132e-08	3.586251347894524e-08	3.594022144975393e-08	3.598026329079748e-08	3.6047527475572185e-08	3.612511060418193e-08	3.618898836282797e-08	3.6265397861039284e-08	3.628412760646641e-08	3.6328019054425456e-08	3.637307973211523e-08	3.642938139684765e-08	3.6463399610955453e-08	3.648861361415207e-08	3.650007531625941e-08	3.651192717419276e-08	3.652910257219263e-08	3.6557458638143976e-08	3.65608241820445e-08	3.655747992212528e-08	3.6555358106548487e-08	3.6539753204531873e-08	3.653146059951613e-08	3.6530944867406386e-08	3.651596324631123e-08	3.65063300283382e-08	3.648364013970282e-08	3.6453625325611727e-08	3.644014144004692e-08	3.642954319551783e-08	3.6416966092348723e-08	3.639842814771306e-08	3.6382317247821604e-08	3.635517343984742e-08	3.6347697440034227e-08	3.634981232520106e-08	3.634895821011581e-08	3.6343553751783746e-08	3.632723242551817e-08	3.631473751264508e-08	3.6325024001340175e-08	3.6333341591320435e-08	3.636268635040428e-08	3.6365858694870576e-08	3.635340059206149e-08	3.6363675945582094e-08	3.6368340229210644e-08	3.639392794100374e-08	3.642682935159432e-08	3.642345934911308e-08	3.6415446533076674e-08	3.6422262365082084e-08	3.642627447379678e-08	3.643826230945329e-08	3.643940408106877e-08	3.64496336014437e-08	3.642930398031839e-08	3.644379934317094e-08	3.642643136719392e-08	3.640196931658242e-08	3.638338574982562e-08	3.6380684559863697e-08	3.634711786881136e-08	3.6323523780346915e-08	3.6297542251703495e-08	3.625492963402747e-08	3.622248212002107e-08	3.619799261956361e-08	3.6149289704247946e-08	3.6111378577408437e-08	3.607035807254051e-08	3.603049749618263e-08	3.5978412795036095e-08	3.595254391978531e-08	3.589531381161426e-08	3.58416216410441e-08	3.580016133696976e-08	3.577051132571219e-08	3.5707857246139935e-08	3.5670727100792035e-08	3.559330019698704e-08	3.553895773225049e-08
X	X	5	3	7.868354670636123e-09	7.879708682132197e-09	7.891034764018218e-09	7.900879651776914e-09	7.917202968425566e-09	7.931035030824538e-09	7.946997302516334e-09	7.965250966848874e-09	7.983243551128958e-09	8.004231970833171e-09	8.023500295252366e-09	8.049053394198357e-09	8.067693781804308e-09	8.085409148020343e-09	8.112897789262809e-09	8.135595386240829e-09	8.166291224902245e-09	8.182986821419237e-09	8.201716624156493e-09	8.231526422610866e-09	8.256586894270532e-09	8.284682080872392e-09	8.294508805129826e-09	8.316355122997102e-09	8.340718478010429e-09	8.363623266851755e-09	8.388226547836028e-09	8.395247529990209e-09	8.410680140377193e-09	8.42770464892663e-09	8.445801850502409e-09	8.460148655246447e-09	8.467268237325481e-09	8.473530600272465e-09	8.480329991349563e-09	8.489727875965273e-09	8.498232121698885e-09	8.500433889834022e-09	8.50049213393694e-09	8.50211641128653e-09	8.501349302195281e-09	8.500947597035994e-09	8.500051738090213e-09	8.494884443534773e-09	8.492612832981115e-09	8.485911067181611e-09	8.479575957144425e-09	8.475192063469375e-09	8.468104014129426e-09	8.463496140294676e-09	8.455127807388427e-09	8.448753340011771e-09	8.441682553276925e-09	8.434580407958713e-09	8.430899887257623e-09	8.423527743438812e-09	8.419066240166291e-09	8.413708923515841e-09	8.406793152648427e-09	8.404875068390581e-09	8.399705851061918e-09	8.400582984598821e-09	8.399047276478623e-09	8.39425679604038e-09	8.393958053850279e-09	8.389565156072633e-09	8.392916525667885e-09	8.396824377253504e-09	8.394973315597175e-09	8.393405145495085e-09	8.392159340717542e-09	8.39345972710103e-09	8.397265964456909e-09	8.397668267634622e-09	8.398779853156276e-09	8.396691378646724e-09	8.399900106776047e-09	8.400668121685869e-09	8.398803701529518e-09	8.396586632105486e-09	8.397391058990186e-09	8.394656919019268e-09	8.394047818997279e-09	8.39217485371122e-09	8.386566668472304e-09	8.38235820477418e-09	8.380981948796532e-09	8.37564510955384e-09	8.370546252909402e-09	8.364597726828008e-09	8.357663060673355e-09	8.351945730274554e-09	8.347735501668959e-09	8.338520622377345e-09	8.328891009373124e-09	8.319631843283886e-09	8.315655064143046e-09	8.305362355859184e-09	8.296135214338483e-09	8.281073495199026e-09	8.268470455656455e-09
X	X	6	4	1.2031779808475697e-09	1.2053995903827557e-09	1.2073858519427896e-09	1.209357404022301e-09	1.2127115616740698e-09	1.2154968685192176e-09	1.2188004926568928e-09	1.2220782876932783e-09	1.2249707910028382e-09	1.2290811838786682e-09	1.2323414324394624e-09	1.2371276946129905e-09	1.2403744655698063e-09	1.2430906601766191e-09	1.248179327239603e-09	1.2521001564386354e-09	1.2574681709910733e-09	1.260201635561761e-09	1.2632966905614971e-09	1.2683239940471766e-09	1.2723688899461744e-09	1.2774655519326386e-09	1.2787149630068964e-09	1.2822582237132977e-09	1.28655281310993e-09	1.2903115733721956e-09	1.2943573050453383e-09	1.2951616210360264e-09	1.297637962250241e-09	1.3003619464681917e-09	1.303051048068092e-09	1.3057862609323732e-09	1.3063558086606843e-09	1.307162730240987e-09	1.307955705530569e-09	1.309393267294581e-09	1.3102621359129192e-09	1.3100619974470976e-09	1.3100555194446022e-09	1.3098283822484362e-09	1.3094569231393676e-09	1.3089153060889476e-09	1.3081742917887588e-09	1.306533653126338e-09	1.3055792724062684e-09	1.304238754921018e-09	1.3027037729824984e-09	1.3013818355279252e-09	1.2992771176082274e-09	1.2979303654197825e-09	1.2957376482934954e-09	1.2939228576214247e-09	1.2924462427435966e-09	1.2903508253698172e-09	1.288857210845214e-09	1.286533951726309e-09	1.2851885984525078e-09	1.2837821556329674e-09	1.2818768476530338e-09	1.2806687643369517e-09	1.2787764832589018e-09	1.2778669449033566e-09	1.2770558627701676e-09	1.2758384379156865e-09	1.2752095337581416e-09	1.2735771883271554e-09	1.2734069327307658e-09	1.273213476145016e-09	1.2724526785758403e-09	1.2718270901537894e-09	1.270973805137331e-09	1.2710176349182257e-09	1.2712862854813126e-09	1.270890170100816e-09	1.27059608714615e-09	1.2701016280481578e-09	1.2701834042616741e-09	1.2702164063723642e-09	1.2700370137358258e-09	1.2693972311966628e-09	1.2692732701972946e-09	1.268843207007651e-09	1.268685715150838e-09	1.2682405527539807e-09	1.2671691770051307e-09	1.2663906009660032e-09	1.2660765036621111e-09	1.2651662546747245e-09	1.26429384307134e-09	1.2630655289555354e-09	1.2614808707120483e-09	1.260400636297563e-09	1.2594239643930593e-09	1.2577250610904762e-09	1.2557767709492862e-09	1.2540469533498737e-09	1.252858295831277e-09	1.2508407572670729e-09	1.2486609582691625e-09	1.2460483486112876e-09	1.2434395304748496e-09
