ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
204.28063415350357	1149134.20320959	110.18976948	49062.45605472	A	X	F1e	0	7	7.5	B	F1e	2	8	8.5	rR1(7.5)
204.28080048287399	1139555.30130122	82.64945952	49034.87588688	A	X	F1e	0	6	6.5	B	F1e	2	7	7.5	rR1(6.5)
204.28103716735077	1139551.34036473	110.12144448	49062.29115472	A	X	F2f	0	7	6.5	B	F2f	2	8	7.5	rR2(6.5)
204.2811605563829	1127026.75593483	82.59024452	49034.73038688	A	X	F2f	0	6	5.5	B	F2f	2	7	6.5	rR2(5.5)
204.28132229304444	9576.02158642358	110.18976948	49062.29115472	A	X	F1e	0	7	7.5	B	F2f	2	8	7.5	rQ21(7.5)
204.28140766556996	12522.4740668112	82.64945952	49034.73038688	A	X	F1e	0	6	6.5	B	F2f	2	7	6.5	rQ21(6.5)
204.28251051254225	1156662.42382244	141.66072512	49093.477378	A	X	F1e	0	8	8.5	B	F1e	2	9	9.5	rR1(8.5)
204.28295647552454	1149095.01301908	141.58329012	49093.293078	A	X	F2f	0	8	7.5	B	F2f	2	9	8.5	rR2(7.5)
204.2830071950327	1126996.19256518	59.040857	49010.73849112	A	X	F1e	0	5	5.5	B	F1e	2	6	6.5	rR1(5.5)
204.28327962410967	7559.79973610462	141.66072512	49093.293078	A	X	F1e	0	8	8.5	B	F2f	2	9	8.5	rQ21(8.5)
204.28332433441668	1109915.32340194	58.990752	49010.61239112	A	X	F2f	0	5	4.5	B	F2f	2	6	5.5	rR2(4.5)
204.2835334311963	17075.5679262357	59.040857	49010.61239112	A	X	F1e	0	5	5.5	B	F2f	2	6	5.5	rQ21(5.5)
204.28643219857906	1162715.36632539	177.061113	49127.938038	A	X	F1e	0	9	9.5	B	F1e	2	10	10.5	rR1(9.5)
204.2869211220825	1156587.50748199	176.974568	49127.734338	A	X	F2f	0	9	8.5	B	F2f	2	10	9.5	rR2(8.5)
204.28725231686724	1109851.30113865	39.364872	48990.045282	A	X	F1e	0	4	4.5	B	F1e	2	5	5.5	rR1(4.5)
204.28728230223436	6119.4781637496	177.061113	49127.734338	A	X	F1e	0	9	9.5	B	F2f	2	10	9.5	rQ21(9.5)
204.28752652576114	1085183.56905332	39.323877	48989.938582	A	X	F2f	0	4	3.5	B	F2f	2	5	4.5	rR2(3.5)
204.28769761195102	24663.2009683567	39.364872	48989.938582	A	X	F1e	0	4	4.5	B	F2f	2	5	4.5	rQ21(4.5)
204.2924021837128	1167668.27712052	216.389568	49165.83601392	A	X	F1e	0	10	10.5	B	F1e	2	11	11.5	rR1(10.5)
204.29293408171932	1162604.35516088	216.293913	49165.61291392	A	X	F2f	0	10	9.5	B	F2f	2	11	10.5	rR2(9.5)
204.29333330440915	5054.7719105011	216.389568	49165.61291392	A	X	F1e	0	10	10.5	B	F2f	2	11	10.5	rQ21(10.5)
204.29353420739588	1085087.83554359	23.62226292	48972.797472	A	X	F1e	0	3	3.5	B	F1e	2	4	4.5	rR1(3.5)
204.29376548686008	1046331.14492054	23.59037792	48972.710172	A	X	F2f	0	3	2.5	B	F2f	2	4	3.5	rR2(2.5)
204.29389856199978	38752.9296374381	23.62226292	48972.710172	A	X	F1e	0	3	3.5	B	F2f	2	4	3.5	rQ21(3.5)
204.30042377417655	1171776.30792454	259.64457332	49207.16908288	A	X	F1e	0	11	11.5	B	F1e	2	12	12.5	rR1(11.5)
204.30099866327117	1167520.88556327	259.53980832	49206.92658288	A	X	F2f	0	11	10.5	B	F2f	2	12	11.5	rR2(10.5)
204.3014359417726	4245.50323213222	259.64457332	49206.92658288	A	X	F1e	0	11	11.5	B	F2f	2	12	11.5	rQ21(11.5)
204.30185155747114	1046206.91149935	11.81363648	48958.99607152	A	X	F1e	0	2	2.5	B	F1e	2	3	3.5	rR1(2.5)
204.30203990599483	976457.083438262	11.79086148	48958.92817152	A	X	F2f	0	2	1.5	B	F2f	2	3	2.5	rR2(1.5)
204.30213496734837	69746.8371720441	11.81363648	48958.92817152	A	X	F1e	0	2	2.5	B	F2f	2	3	2.5	rQ21(2.5)
204.31050061104435	1175218.99471785	306.82446048	49251.93481992	A	X	F1e	0	12	12.5	B	F1e	2	13	13.5	rR1(12.5)
204.31111851042382	1171592.30644669	306.71058548	49251.67291992	A	X	F2f	0	12	11.5	B	F2f	2	13	12.5	rR2(11.5)
204.3115938603197	3616.00039818156	306.82446048	49251.67291992	A	X	F1e	0	12	12.5	B	F2f	2	13	12.5	rQ21(12.5)
204.31220338956456	976311.369501121	3.93944772	48948.64188888	A	X	F1e	0	1	1.5	B	F1e	2	2	2.5	rR1(1.5)
204.3123488030683	813591.070764209	3.92578272	48948.59338888	A	X	F2f	0	1	0.5	B	F2f	2	2	1.5	rR2(0.5)
204.312405845626	162718.077863606	3.93944772	48948.59338888	A	X	F1e	0	1	1.5	B	F2f	2	2	1.5	rQ21(1.5)
204.32263667102202	1178126.33161693	357.92740932	49300.130598	A	X	F1e	0	13	13.5	B	F1e	2	14	14.5	rR1(13.5)
204.3232976025035	1174998.19279695	357.80442432	49299.849298	A	X	F2f	0	13	12.5	B	F2f	2	14	13.5	rR2(12.5)
204.323811041694	3116.68258611622	357.92740932	49299.849298	A	X	F1e	0	13	13.5	B	F2f	2	14	13.5	rQ21(13.5)
204.3245890576332	813444.86273366	0	48941.73553032	A	X	F1e	0	0	0.5	B	F1e	2	1	1.5	rR1(0.5)
204.32471054595013	813443.41174927	0	48941.70643032	A	X	F1e	0	0	0.5	B	F2f	2	1	0.5	rQ21(0.5)
204.33683626732102	1180594.75164064	412.951448	49351.753588	A	X	F1e	0	14	14.5	B	F1e	2	15	15.5	rR1(14.5)
204.33754025535237	1177868.56658007	412.819353	49351.452888	A	X	F2f	0	14	13.5	B	F2f	2	15	14.5	rR2(13.5)
204.33809180406323	2713.96089564249	412.951448	49351.452888	A	X	F1e	0	14	14.5	B	F2f	2	15	14.5	rQ21(14.5)
204.35310405061716	1182697.29629468	471.894453	49406.80075872	A	X	F1e	0	15	15.5	B	F1e	2	16	16.5	rR1(15.5)
204.35385112228758	1180299.88111272	471.753248	49406.48065872	A	X	F2f	0	15	14.5	B	F2f	2	16	15.5	rR2(14.5)
204.35444080307954	2384.4235628245	471.894453	49406.48065872	A	X	F1e	0	15	15.5	B	F2f	2	16	15.5	rQ21(15.5)
204.35542046640174	813076.741339052	3.92578272	48938.2774	A	X	F2f	0	1	0.5	B	F1e	2	0	0.5	pQ12(0.5)
204.35547753301256	1626152.1203602	3.93944772	48938.2774	A	X	F1e	0	1	1.5	B	F1e	2	0	0.5	pP1(1.5)
204.37144501009408	1184490.2984474	534.75414912	49465.26887688	A	X	F1e	0	16	16.5	B	F1e	2	17	17.5	rR1(16.5)
204.37223519514586	1182365.19294048	534.60383412	49464.92937688	A	X	F2f	0	16	15.5	B	F2f	2	17	16.5	rR2(15.5)
204.37286303292473	2111.34695753741	534.75414912	49464.92937688	A	X	F1e	0	16	16.5	B	F2f	2	17	16.5	rQ21(16.5)
204.3738260421187	162571.417599818	11.79086148	48941.73553032	A	X	F2f	0	2	1.5	B	F1e	2	1	1.5	pQ12(1.5)
204.3739211702879	1463140.71528994	11.81363648	48941.73553032	A	X	F1e	0	2	2.5	B	F1e	2	1	1.5	pP1(2.5)
204.37394758899384	1625711.2754275	11.79086148	48941.70643032	A	X	F2f	0	2	1.5	B	F2f	2	1	0.5	pP2(1.5)
204.39186447457246	1186017.89779243	601.52810948	49527.15450712	A	X	F1e	0	17	17.5	B	F1e	2	18	18.5	rR1(17.5)
204.39269780541352	1184120.84622143	601.36868448	49526.79560712	A	X	F2f	0	17	16.5	B	F2f	2	18	17.5	rR2(16.5)
204.39336382744085	1882.52666260281	601.52810948	49526.79560712	A	X	F1e	0	17	17.5	B	F2f	2	18	17.5	rQ21(17.5)
204.39426615135682	69652.5640384317	23.59037792	48948.64188888	A	X	F2f	0	3	2.5	B	F1e	2	2	2.5	pQ12(2.5)
204.39439935745924	1393048.55716939	23.62226292	48948.64188888	A	X	F1e	0	3	3.5	B	F1e	2	2	2.5	pP1(3.5)
204.39446877008547	1462699.49482292	23.59037792	48948.59338888	A	X	F2f	0	3	2.5	B	F2f	2	2	1.5	pP2(2.5)
