State	Vibr.	J	Energy	Index
X	0	0.5	0	0
X	0	0.5	3.92578272	1
X	0	1.5	3.93944772	2
X	0	1.5	11.79086148	3
X	0	2.5	11.81363648	4
X	0	2.5	23.59037792	5
X	0	3.5	23.62226292	6
X	0	3.5	39.323877	7
X	0	4.5	39.364872	8
X	0	4.5	58.990752	9
X	0	5.5	59.040857	10
X	0	5.5	82.59024452	11
X	0	6.5	82.64945952	12
X	0	6.5	110.12144448	13
X	0	7.5	110.18976948	14
X	0	7.5	141.58329012	15
X	0	8.5	141.66072512	16
X	0	8.5	176.974568	17
X	0	9.5	177.061113	18
X	0	9.5	216.293913	19
X	0	10.5	216.389568	20
X	1	0.5	2183.9129	65
X	1	0.5	2187.8007226	66
X	1	1.5	2187.8142976	67
X	1	1.5	2195.5897904	68
X	1	2.5	2195.6124154	69
X	1	2.5	2207.2752736	72
X	1	3.5	2207.3069486	73
X	1	3.5	2222.856715	74
X	1	4.5	2222.89744	75
X	1	4.5	2242.333505	76
X	1	5.5	2242.38328	77
X	1	5.5	2265.7048816	78
X	1	6.5	2265.7637066	79
X	1	6.5	2292.9699304	80
X	1	7.5	2293.0378054	81
X	1	7.5	2324.1275846	82
X	1	8.5	2324.2045096	83
X	1	8.5	2359.176625	86
X	1	9.5	2359.2626	87
X	1	9.5	2398.11568	88
X	1	10.5	2398.210705	89
X	2	0.5	4337.5041	158
X	2	0.5	4341.35390252	159
X	2	1.5	4341.36735752	160
X	2	1.5	4349.06680968	161
X	2	2.5	4349.08923468	162
X	2	2.5	4360.63803072	163
X	2	3.5	4360.66942572	164
X	2	3.5	4376.067107	167
X	2	4.5	4376.107472	168
X	2	4.5	4395.353427	169
X	2	5.5	4395.402762	170
X	2	5.5	4418.49622632	173
X	2	6.5	4418.55453132	174
X	2	6.5	4445.49458768	175
X	2	7.5	4445.56186268	176
X	2	7.5	4476.34744092	177
X	2	8.5	4476.42368592	178
X	2	8.5	4511.053563	181
X	2	9.5	4511.138778	182
X	2	9.5	4549.611578	183
X	2	10.5	4549.705763	184
Pi	0	1.5	20349.8219211826	300
Pi	0	1.5	20349.8219675822	301
Pi	0	2.5	20357.6193686008	302
Pi	0	2.5	20357.6195538535	303
Pi	0	3.5	20368.5354924747	304
Pi	0	3.5	20368.5359544029	305
Pi	0	4.5	20382.5700059103	306
Pi	0	4.5	20382.5709266971	307
Pi	0	5.5	20399.7225423455	308
Pi	0	5.5	20399.724147223	309
Pi	0	6.5	20419.9926523138	310
Pi	0	6.5	20419.9952079743	311
Pi	0	7.5	20443.3797995934	312
Pi	0	7.5	20443.3836123567	313
Pi	0	8.5	20469.8833568244	314
Pi	0	8.5	20469.8887705937	315
Pi	0	0.5	20470.35409556	316
Pi	0	0.5	20470.36755156	317
Pi	0	1.5	20475.1459104174	318
Pi	0	1.5	20475.1727760178	319
Pi	0	2.5	20483.1363795992	320
Pi	0	2.5	20483.1765623465	321
Pi	0	3.5	20494.3249196853	322
Pi	0	3.5	20494.3782817571	323
Pi	0	9.5	20499.5026006797	324
Pi	0	9.5	20499.509994726	325
Pi	0	4.5	20508.7107070897	326
Pi	0	4.5	20508.7770663029	327
Pi	0	5.5	20526.2926806145	328
Pi	0	5.5	20526.371811737	329
Pi	0	10.5	20532.236706684	330
Pi	0	10.5	20532.2464932955	331
Pi	0	6.5	20547.0695446862	332
Pi	0	6.5	20547.1611810257	333
Pi	0	7.5	20571.0397732066	336
Pi	0	7.5	20571.1436084433	337
Pi	0	8.5	20598.2016139356	338
Pi	0	8.5	20598.3173041663	339
Pi	0	9.5	20628.5530933203	342
Pi	0	9.5	20628.680259274	343
Pi	1	1.5	21884.6811664032	418
Pi	1	1.5	21884.6812111469	419
Pi	1	2.5	21892.3840569793	420
Pi	1	2.5	21892.3842356299	421
Pi	1	3.5	21903.1677853794	424
Pi	1	3.5	21903.168230878	425
Pi	1	4.5	21917.0320483398	426
Pi	1	4.5	21917.0329364593	427
Pi	1	5.5	21933.9764582889	428
Pi	1	5.5	21933.9780064037	429
Pi	1	6.5	21954.0005403129	432
Pi	1	6.5	21954.0030059069	433
Pi	1	7.5	21977.1037285432	434
Pi	1	7.5	21977.1074074869	435
Pi	1	8.5	22003.2853620395	438
Pi	1	8.5	22003.2905866675	439
Pi	1	0.5	22005.15400032	440
Pi	1	0.5	22005.16655832	441
Pi	1	1.5	22009.8866757968	442
Pi	1	1.5	22009.9117470531	443
Pi	1	2.5	22017.7782824207	444
Pi	1	2.5	22017.8157777701	445
Pi	1	3.5	22028.8282411406	446
Pi	1	3.5	22028.878027642	447
