ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
204.27602327915005	1606070.89539793	110.18976948	49063.56099472	A	X	F1e	0	7	7.5	B	F1e	2	8	8.5	rR1(7.5)
204.27618960101202	1592683.08097118	82.64945952	49035.98082688	A	X	F1e	0	6	6.5	B	F1e	2	7	7.5	rR1(6.5)
204.27642627480432	1592677.54515021	110.12144448	49063.39609472	A	X	F2f	0	7	6.5	B	F2f	2	8	7.5	rR2(6.5)
204.27654965826645	1575172.7398783	82.59024452	49035.83532688	A	X	F2f	0	6	5.5	B	F2f	2	7	6.5	rR2(5.5)
204.27671138762682	13383.7888770597	110.18976948	49063.39609472	A	X	F1e	0	7	7.5	B	F2f	2	8	7.5	rQ21(7.5)
204.27679675629844	17501.8558198545	82.64945952	49035.83532688	A	X	F1e	0	6	6.5	B	F2f	2	7	6.5	rQ21(6.5)
204.27789955348564	1616592.60569259	141.66072512	49094.582318	A	X	F1e	0	8	8.5	B	F1e	2	9	9.5	rR1(8.5)
204.27834549633607	1606016.12302799	141.58329012	49094.398018	A	X	F2f	0	8	7.5	B	F2f	2	9	8.5	rR2(7.5)
204.27839621355457	1575130.02438835	59.040857	49011.84343112	A	X	F1e	0	5	5.5	B	F1e	2	6	6.5	rR1(5.5)
204.27866863033344	10565.8454059844	141.66072512	49094.398018	A	X	F1e	0	8	8.5	B	F2f	2	9	8.5	rQ21(8.5)
204.27871333862205	1551257.19335716	58.990752	49011.71733112	A	X	F2f	0	5	4.5	B	F2f	2	6	5.5	rR2(4.5)
204.27892242596252	23865.4220007336	59.040857	49011.71733112	A	X	F1e	0	5	5.5	B	F2f	2	6	5.5	rQ21(5.5)
204.28182106248624	1625052.41586264	177.061113	49129.042978	A	X	F1e	0	9	9.5	B	F1e	2	10	10.5	rR1(9.5)
204.282309963918	1616487.90230984	176.974568	49128.839278	A	X	F2f	0	9	8.5	B	F2f	2	10	9.5	rR2(8.5)
204.28264114375148	1551167.71558105	39.364872	48991.150222	A	X	F1e	0	4	4.5	B	F1e	2	5	5.5	rR1(4.5)
204.28267112776496	8552.80068074643	177.061113	49128.839278	A	X	F1e	0	9	9.5	B	F2f	2	10	9.5	rQ21(9.5)
204.2829153402666	1516691.21459835	39.323877	48991.043522	A	X	F2f	0	4	3.5	B	F2f	2	5	4.5	rR2(3.5)
204.28308641873306	34470.1682751552	39.364872	48991.043522	A	X	F1e	0	4	4.5	B	F2f	2	5	4.5	rQ21(4.5)
204.2889227506892	1516557.4170548	23.62226292	48973.902412	A	X	F1e	0	3	3.5	B	F1e	2	4	4.5	rR1(3.5)
204.28915401971233	1462389.68557914	23.59037792	48973.815112	A	X	F2f	0	3	2.5	B	F2f	2	4	3.5	rR2(2.5)
204.28928708884436	54162.4751068339	23.62226292	48973.815112	A	X	F1e	0	3	3.5	B	F2f	2	4	3.5	rQ21(3.5)
204.29723972527097	1462216.05644286	11.81363648	48960.10101152	A	X	F1e	0	2	2.5	B	F1e	2	3	3.5	rR1(2.5)
204.2974280652913	1364731.21160491	11.79086148	48960.03311152	A	X	F2f	0	2	1.5	B	F2f	2	3	2.5	rR2(1.5)
204.2975231223531	97480.6647592226	11.81363648	48960.03311152	A	X	F1e	0	2	2.5	B	F2f	2	3	2.5	rQ21(2.5)
204.30759109000118	1364527.56121149	3.93944772	48949.74682888	A	X	F1e	0	1	1.5	B	F1e	2	2	2.5	rR1(1.5)
204.30773649693964	1137103.8731569	3.92578272	48949.69832888	A	X	F2f	0	1	0.5	B	F2f	2	2	1.5	rR2(0.5)
204.30779353692193	227420.584152987	3.93944772	48949.69832888	A	X	F1e	0	1	1.5	B	F2f	2	2	1.5	rQ21(1.5)
204.31997619885215	1136899.532216	0	48942.84047032	A	X	F1e	0	0	0.5	B	F1e	2	1	1.5	rR1(0.5)
204.32009768168365	1136897.50431428	0	48942.81137032	A	X	F1e	0	0	0.5	B	F2f	2	1	0.5	rQ21(0.5)
204.3508062154235	1136385.0442483	3.92578272	48939.38234	A	X	F2f	0	1	0.5	B	F1e	2	0	0.5	pQ12(0.5)
204.3508632794573	2272768.18451552	3.93944772	48939.38234	A	X	F1e	0	1	1.5	B	F1e	2	0	0.5	pP1(1.5)
204.36921095993364	227215.611167949	11.79086148	48942.84047032	A	X	F2f	0	2	1.5	B	F1e	2	1	1.5	pQ12(1.5)
204.36930608380658	2044937.64505481	11.81363648	48942.84047032	A	X	F1e	0	2	2.5	B	F1e	2	1	1.5	pP1(2.5)
204.3693325013194	2272152.05783	11.79086148	48942.81137032	A	X	F2f	0	2	1.5	B	F2f	2	1	0.5	pP2(1.5)
204.38965014599643	97348.9082416215	23.59037792	48949.74682888	A	X	F2f	0	3	2.5	B	F1e	2	2	2.5	pQ12(2.5)
204.3897833460823	1946974.35831893	23.62226292	48949.74682888	A	X	F1e	0	3	3.5	B	F1e	2	2	2.5	pP1(3.5)
204.38985275557334	2044320.99351833	23.59037792	48949.69832888	A	X	F2f	0	3	2.5	B	F2f	2	2	1.5	pP2(2.5)
204.41212478089795	54064.8899543053	39.323877	48960.10101152	A	X	F2f	0	4	3.5	B	F1e	2	3	3.5	pQ12(3.5)
204.41229607584802	1892266.39130593	39.364872	48960.10101152	A	X	F1e	0	4	4.5	B	F1e	2	3	3.5	pP1(4.5)
204.4124084968025	1946327.9340663	39.323877	48960.03311152	A	X	F2f	0	4	3.5	B	F2f	2	3	2.5	pP2(3.5)
204.43663620428174	34392.5562685329	58.990752	48973.902412	A	X	F2f	0	5	4.5	B	F1e	2	4	4.5	pQ12(4.5)
204.43684561502792	1857192.33135693	59.040857	48973.902412	A	X	F1e	0	5	5.5	B	F1e	2	4	4.5	pP1(5.5)
204.43700106950564	1891580.46684153	58.990752	48973.815112	A	X	F2f	0	5	4.5	B	F2f	2	4	3.5	pP2(4.5)
204.46318608858064	23800.9570729787	82.59024452	48991.150222	A	X	F2f	0	6	5.5	B	F1e	2	5	5.5	pQ12(5.5)
204.46343363833938	1832667.03801519	82.64945952	48991.150222	A	X	F1e	0	6	6.5	B	F1e	2	5	5.5	pP1(6.5)
204.4636321509787	1856462.50133993	82.59024452	48991.043522	A	X	F2f	0	6	5.5	B	F2f	2	5	4.5	pP2(5.5)
204.49177643952925	17446.7153732874	110.12144448	49011.84343112	A	X	F2f	0	7	6.5	B	F1e	2	6	6.5	pQ12(6.5)
204.49206215380636	1814450.79340278	110.18976948	49011.84343112	A	X	F1e	0	7	7.5	B	F1e	2	6	6.5	pP1(7.5)
204.49230375182944	1831890.94275316	110.12144448	49011.71733112	A	X	F2f	0	7	6.5	B	F2f	2	6	5.5	pP2(6.5)
204.52240959675913	13335.6118953244	141.58329012	49035.98082688	A	X	F2f	0	8	7.5	B	F1e	2	7	7.5	pQ12(7.5)
204.5227335033551	1800299.05233676	141.66072512	49035.98082688	A	X	F1e	0	8	8.5	B	F1e	2	7	7.5	pP1(8.5)
204.52301821657346	1813627.02668808	141.58329012	49035.83532688	A	X	F2f	0	8	7.5	B	F2f	2	7	6.5	pP2(7.5)
204.55508823447505	10523.0697126996	176.974568	49063.56099472	A	X	F2f	0	9	8.5	B	F1e	2	8	8.5	pQ12(8.5)
204.55545036349133	1788912.35027256	177.061113	49063.56099472	A	X	F1e	0	9	9.5	B	F1e	2	8	8.5	pP1(9.5)
204.55577822431263	1799426.7117377	176.974568	49063.39609472	A	X	F2f	0	9	8.5	B	F2f	2	8	7.5	pP2(8.5)
204.5898153622141	8514.33833149729	216.293913	49094.582318	A	X	F2f	0	10	9.5	B	F1e	2	9	9.5	pQ12(9.5)
204.59021574605987	1779486.26385748	216.389568	49094.582318	A	X	F1e	0	10	10.5	B	F1e	2	9	9.5	pP1(10.5)
204.59058678949552	1787990.82411935	216.293913	49094.398018	A	X	F2f	0	10	9.5	B	F2f	2	9	8.5	pP2(9.5)
211.28568195766925	2195397.60505526	141.66072512	47470.944505	A	X	F1e	0	8	8.5	B	F1e	1	9	9.5	rR1(8.5)
211.28612047768883	2181035.02096361	110.18976948	47439.3753184	A	X	F1e	0	7	7.5	B	F1e	1	8	8.5	rR1(7.5)
211.28621415431388	2181032.11999002	141.58329012	47470.747855	A	X	F2f	0	8	7.5	B	F2f	1	9	8.5	rR2(7.5)
211.2865598391556	14348.8250979053	141.66072512	47470.747855	A	X	F1e	0	8	8.5	B	F2f	1	9	8.5	rQ21(8.5)
211.28660093641977	2162844.97434168	110.12144448	47439.1993684	A	X	F2f	0	7	6.5	B	F2f	1	8	7.5	rR2(6.5)
211.2869059535146	18175.0891378514	110.18976948	47439.1993684	A	X	F1e	0	7	7.5	B	F2f	1	8	7.5	rQ21(7.5)
211.28715897181158	2206967.18098736	177.061113	47506.014035	A	X	F1e	0	9	9.5	B	F1e	1	10	10.5	rR1(9.5)
211.28774291655375	2195333.36214175	176.974568	47505.796685	A	X	F2f	0	9	8.5	B	F2f	1	10	9.5	rR2(8.5)
211.2881292758657	11615.4567146634	177.061113	47505.796685	A	X	F1e	0	9	9.5	B	F2f	1	10	9.5	rQ21(9.5)
211.28847211394083	2162787.5121761	82.64945952	47411.3082356	A	X	F1e	0	6	6.5	B	F1e	1	7	7.5	rR1(6.5)
211.28890084211773	2139007.59554739	82.59024452	47411.1529856	A	X	F2f	0	6	5.5	B	F2f	1	7	6.5	rR2(5.5)
211.28916519597072	23766.6618546352	82.64945952	47411.1529856	A	X	F1e	0	6	6.5	B	F2f	1	7	6.5	rQ21(6.5)
211.29273474838377	2138891.16079399	59.040857	47386.7448214	A	X	F1e	0	5	5.5	B	F1e	1	6	6.5	rR1(5.5)
211.29311175054798	2106472.4434305	58.990752	47386.6102714	A	X	F2f	0	5	4.5	B	F2f	1	6	5.5	rR2(4.5)
211.29333544345033	32407.1654333954	59.040857	47386.6102714	A	X	F1e	0	5	5.5	B	F2f	1	6	5.5	rQ21(5.5)
211.2989065624967	2106299.13997441	39.364872	47365.686445	A	X	F1e	0	4	4.5	B	F1e	1	5	5.5	rR1(4.5)
211.29923184037645	2059482.98117349	39.323877	47365.572595	A	X	F2f	0	4	3.5	B	F2f	1	5	4.5	rR2(3.5)
211.29941487240933	46806.3097562423	39.364872	47365.572595	A	X	F1e	0	4	4.5	B	F2f	1	5	4.5	rQ21(4.5)
211.30698603697968	2059256.26292508	23.62226292	47348.13428	A	X	F1e	0	3	3.5	B	F1e	1	4	4.5	rR1(3.5)
