B2Sigma	A2Pi	"This file contains the original Badlet-Johnson band  transition rates of CO+ from Qin et al. 2017 cited in Bromley et al 2023, and those benchmarked by comparisons to calibrated electron impact spectra (see Appendix of the manuscript)."			
v'	v''	Transition Rate (Original)	Transition Rate (Benchmarked)	Per cent Change w.r.t. original:	How modified?
0	0	2.71E+05	4.21E+05	55.44408229	Manual Adjustment
0	1	1.54E+05	2.04E+05	32.48075195	Manual Adjustment
0	2	6.06E+04	3.68E+04	-39.27965536	Aval fixed w.r.t. FN (0-0)
0	3	2.05E+04	1.24E+04	-39.27965536	Aval fixed w.r.t. FN (0-0)
0	4	6.46E+03	3.92E+03	-39.27965536	Aval fixed w.r.t. FN (0-0)
0	5	1.96E+03	1.19E+03	-39.27965536	Aval fixed w.r.t. FN (0-0)
0	6	5.75E+02	3.49E+02	-39.27965536	Aval fixed w.r.t. FN (0-0)
0	7	1.62E+02	9.84E+01	-39.27965536	Aval fixed w.r.t. FN (0-0)
0	8	4.28E+01	2.60E+01	-39.27965536	Aval fixed w.r.t. FN (0-0)
1	0	3.92E+05	4.33E+05	10.46361555	Renormalization only
1	1	7.48E+03	8.26E+03	10.46361555	Renormalization only
1	2	7.98E+04	8.81E+04	10.46361555	Renormalization only
1	3	6.95E+04	7.68E+04	10.46361555	Renormalization only
1	4	3.69E+04	4.08E+04	10.46361555	Renormalization only
1	5	1.57E+04	1.73E+04	10.46361555	Renormalization only
1	6	5.93E+03	6.55E+03	10.46361555	Renormalization only
1	7	2.08E+03	2.30E+03	10.46361555	Renormalization only
1	8	6.89E+02	7.61E+02	10.46361555	Renormalization only
2	0	1.88E+05	3.38E+05	80.12625795	Renormalization only
2	1	3.46E+05	6.24E+05	80.24674375	Renormalization only
2	2	2.18E+04	3.92E+04	80.02311255	Renormalization only
2	3	1.93E+04	3.47E+04	80.10682865	Renormalization only
2	4	4.80E+04	8.64E+04	80.13071752	Renormalization only
2	5	3.96E+04	7.14E+04	80.13705123	Renormalization only
2	6	2.25E+04	4.05E+04	80.18097721	Renormalization only
2	7	1.05E+04	1.90E+04	80.32927431	Renormalization only
2	8	4.42E+03	7.96E+03	80.28613333	Renormalization only
3	0	3.07E+04	3.20E+04	4.362179916	Renormalization only
3	1	3.57E+05	3.73E+05	4.362179916	Renormalization only
3	2	2.22E+05	2.32E+05	4.362179916	Renormalization only
3	3	6.79E+04	7.09E+04	4.362179916	Renormalization only
3	4	2.71E+02	2.83E+02	4.362179916	Renormalization only
3	5	2.31E+04	2.41E+04	4.362179916	Renormalization only
3	6	3.24E+04	3.38E+04	4.362179916	Renormalization only
3	7	2.45E+04	2.56E+04	4.362179916	Renormalization only
3	8	1.40E+04	1.46E+04	4.362179916	Renormalization only
4	0	8.71E+02	NA	NA	NA
4	1	8.31E+04	NA	NA	NA
4	2	4.69E+05	NA	NA	NA
4	3	1.22E+05	NA	NA	NA
4	4	9.19E+04	NA	NA	NA
4	5	5.14E+03	NA	NA	NA
4	6	7.18E+03	NA	NA	NA
4	7	2.15E+04	NA	NA	NA
4	8	2.22E+04	NA	NA	NA
5	0	2.94E+01	NA	NA	NA
5	1	2.05E+03	NA	NA	NA
5	2	1.41E+05	NA	NA	NA
5	3	5.32E+05	NA	NA	NA
5	4	5.92E+04	NA	NA	NA
5	5	9.43E+04	NA	NA	NA
5	6	1.72E+04	NA	NA	NA
5	7	6.63E+02	NA	NA	NA
5	8	1.18E+04	NA	NA	NA
6	0	8.13E+00	NA	NA	NA
6	1	2.70E+02	NA	NA	NA
6	2	2.44E+03	NA	NA	NA
6	3	1.89E+05	NA	NA	NA
6	4	5.59E+05	NA	NA	NA
6	5	2.58E+04	NA	NA	NA
6	6	8.46E+04	NA	NA	NA
6	7	2.80E+04	NA	NA	NA
6	8	4.51E+02	NA	NA	NA
