State	Vibr.	J	Energy	Index
X	0	0.5	0	0
X	0	0.5	3.92578272	1
X	0	1.5	3.93944772	2
X	0	1.5	11.79086148	3
X	0	2.5	11.81363648	4
X	0	2.5	23.59037792	5
X	0	3.5	23.62226292	6
X	0	3.5	39.323877	7
X	0	4.5	39.364872	8
X	0	4.5	58.990752	9
X	0	5.5	59.040857	10
X	0	5.5	82.59024452	11
X	0	6.5	82.64945952	12
X	0	6.5	110.12144448	13
X	0	7.5	110.18976948	14
X	0	7.5	141.58329012	15
X	0	8.5	141.66072512	16
X	0	8.5	176.974568	17
X	0	9.5	177.061113	18
X	0	9.5	216.293913	19
X	0	10.5	216.389568	20
X	1	0.5	2183.9129	22
X	1	0.5	2187.8007226	23
X	1	1.5	2187.8142976	24
X	1	1.5	2195.5897904	25
X	1	2.5	2195.6124154	26
X	1	2.5	2207.2752736	27
X	1	3.5	2207.3069486	28
X	1	3.5	2222.856715	29
X	1	4.5	2222.89744	30
X	1	4.5	2242.333505	31
X	1	5.5	2242.38328	32
X	1	5.5	2265.7048816	33
X	1	6.5	2265.7637066	34
X	1	6.5	2292.9699304	35
X	1	7.5	2293.0378054	36
X	1	7.5	2324.1275846	37
X	1	8.5	2324.2045096	38
X	1	8.5	2359.176625	39
X	1	9.5	2359.2626	40
X	1	9.5	2398.11568	41
X	1	10.5	2398.210705	42
X	2	0.5	4337.5041	44
X	2	0.5	4341.35390252	45
X	2	1.5	4341.36735752	46
X	2	1.5	4349.06680968	47
X	2	2.5	4349.08923468	48
X	2	2.5	4360.63803072	49
X	2	3.5	4360.66942572	50
X	2	3.5	4376.067107	51
X	2	4.5	4376.107472	52
X	2	4.5	4395.353427	53
X	2	5.5	4395.402762	54
X	2	5.5	4418.49622632	55
X	2	6.5	4418.55453132	56
X	2	6.5	4445.49458768	57
X	2	7.5	4445.56186268	58
X	2	7.5	4476.34744092	59
X	2	8.5	4476.42368592	60
X	2	8.5	4511.053563	61
X	2	9.5	4511.138778	62
X	2	9.5	4549.611578	63
X	2	10.5	4549.705763	64
Pi	0	1.5	20349.8219211826	66
Pi	0	1.5	20349.8219675822	67
Pi	0	2.5	20357.6193686008	68
Pi	0	2.5	20357.6195538535	69
Pi	0	3.5	20368.5354924747	70
Pi	0	3.5	20368.5359544029	71
Pi	0	4.5	20382.5700059103	72
Pi	0	4.5	20382.5709266971	73
Pi	0	5.5	20399.7225423455	74
Pi	0	5.5	20399.724147223	75
Pi	0	6.5	20419.9926523138	76
Pi	0	6.5	20419.9952079743	77
Pi	0	7.5	20443.3797995934	78
Pi	0	7.5	20443.3836123567	79
Pi	0	8.5	20469.8833568244	80
Pi	0	8.5	20469.8887705937	81
Pi	0	0.5	20470.35409556	82
Pi	0	0.5	20470.36755156	83
Pi	0	1.5	20475.1459104174	84
Pi	0	1.5	20475.1727760178	85
Pi	0	2.5	20483.1363795992	86
Pi	0	2.5	20483.1765623465	87
Pi	0	3.5	20494.3249196853	88
Pi	0	3.5	20494.3782817571	89
Pi	0	9.5	20499.5026006797	90
Pi	0	9.5	20499.509994726	91
Pi	0	4.5	20508.7107070897	92
Pi	0	4.5	20508.7770663029	93
Pi	0	5.5	20526.2926806145	94
Pi	0	5.5	20526.371811737	95
Pi	0	10.5	20532.236706684	96
Pi	0	10.5	20532.2464932955	97
Pi	0	6.5	20547.0695446862	98
Pi	0	6.5	20547.1611810257	99
Pi	0	7.5	20571.0397732066	100
Pi	0	7.5	20571.1436084433	101
Pi	0	8.5	20598.2016139356	102
Pi	0	8.5	20598.3173041663	103
Pi	0	9.5	20628.5530933203	104
Pi	0	9.5	20628.680259274	105
Pi	1	1.5	21884.6811664032	108
Pi	1	1.5	21884.6812111469	109
Pi	1	2.5	21892.3840569793	110
Pi	1	2.5	21892.3842356299	111
Pi	1	3.5	21903.1677853794	112
Pi	1	3.5	21903.168230878	113
Pi	1	4.5	21917.0320483398	114
Pi	1	4.5	21917.0329364593	115
Pi	1	5.5	21933.9764582889	116
Pi	1	5.5	21933.9780064037	117
Pi	1	6.5	21954.0005403129	118
Pi	1	6.5	21954.0030059069	119
Pi	1	7.5	21977.1037285432	120
Pi	1	7.5	21977.1074074869	121
Pi	1	8.5	22003.2853620395	122
Pi	1	8.5	22003.2905866675	123
Pi	1	0.5	22005.15400032	124
Pi	1	0.5	22005.16655832	125
Pi	1	1.5	22009.8866757968	126
Pi	1	1.5	22009.9117470531	127
Pi	1	2.5	22017.7782824207	128
Pi	1	2.5	22017.8157777701	129
Pi	1	3.5	22028.8282411406	130
Pi	1	3.5	22028.878027642	131
