A2Pi	X2Sigma	"This file contains the original Comet Tail transition rates from Qin et al. 2017 cited in Bromley et al 2023, and those benchmarked by comparisons to calibrated electron impact spectra (see Appendix of the manuscript)."			
v'	v''	Transition Rate (Original)	Transition Rate (Benchmarked)	Per cent Change w.r.t. original:	How modified?
0	0	2.79E+04	3.36E+04	20.41953332	Integrated + Manual Rescale
0	1	6.98E+04	1.00E+05	43.69181961	Integrated + Manual Rescale
0	2	7.66E+04	1.27E+05	66.41460455	Integrated + Manual Rescale
0	3	4.88E+04	3.46E+02	-99.29108275	Integrated
0	4	2.00E+04	5.04E+01	-99.74806421	Aval Fixed w.r.t. (0-0)
0	5	5.39E+03	1.36E+01	-99.74806421	Aval Fixed w.r.t. (0-0)
0	6	9.48E+02	2.39E+00	-99.74806421	Aval Fixed w.r.t. (0-0)
0	7	1.02E+02	2.57E-01	-99.74806421	Aval Fixed w.r.t. (0-0)
0	8	5.59E+00	1.41E-02	-99.74806421	Aval Fixed w.r.t. (0-0)
0	9	8.61E-02	2.17E-04	-99.74806421	Aval Fixed w.r.t. (0-0)
1	0	9.33E+04	8.92E+04	-4.407494514	Aval Fixed w.r.t. (1-1)
1	1	1.16E+05	1.11E+05	-4.407494514	Integrated
1	2	3.36E+04	3.49E+04	3.781855579	Integrated + Manual Rescale
1	3	1.30E+02	1.24E+02	-4.407494514	Aval Fixed w.r.t. (1-1)
1	4	1.54E+04	1.47E+04	-4.407494514	Aval Fixed w.r.t. (1-1)
1	5	1.89E+04	1.81E+04	-4.407494514	Aval Fixed w.r.t. (1-1)
1	6	9.26E+03	8.85E+03	-4.407494514	Aval Fixed w.r.t. (1-1)
1	7	2.39E+03	2.28E+03	-4.407494514	Aval Fixed w.r.t. (1-1)
1	8	3.30E+02	3.15E+02	-4.407494514	Aval Fixed w.r.t. (1-1)
1	9	2.02E+01	1.93E+01	-4.407494514	Aval Fixed w.r.t. (1-1)
2	0	1.67E+05	1.94E+05	16.17229853	Integrated
2	1	7.79E+04	5.99E+04	-23.09306906	Integrated
2	2	1.37E+03	2.11E+03	53.81386188	Manual Rescale
2	3	3.97E+04	3.83E+04	-3.56667127	Integrated + Manual Rescale
2	4	2.07E+04	1.59E+04	-23.09306906	Aval Fixed w.r.t. (2-1)
2	5	8.36E+01	6.43E+01	-23.09306906	Aval Fixed w.r.t. (2-1)
2	6	6.06E+03	4.66E+03	-23.09306906	Manual Rescale
2	7	7.62E+03	5.86E+03	-23.09306906	Aval Fixed w.r.t. (2-1)
2	8	3.10E+03	2.38E+03	-23.09306906	Aval Fixed w.r.t. (2-1)
2	9	5.54E+02	4.26E+02	-23.09306906	Aval Fixed w.r.t. (2-1)
3	0	2.13E+05	2.55E+05	19.64521496	Integrated + Manual Rescale
3	1	1.73E+04	1.03E+04	-40.17739252	Manual Rescale
3	2	4.89E+04	2.35E+04	-51.91205176	Integrated + Manual Rescale
3	3	3.60E+04	1.92E+04	-46.66294874	Integrated
