Ritz Wavelength (vacuum nm)	Air Wavelength (nm)	Einstein A Value (per sec)	E_l (1/cm)	E_u (1/cm)	Accuracy (ignore)	Lower level electronic state	Lower level spin state	Lower level vibrational state	Lower level rotational quantum number (N)	Lower level total angular momentum (J)	Upper level electronic state	Upper level spin state	Upper level vibrational state	Upper level rotational quantum number (N)	Upper level total angular momentum (J)	Band identifier	Gfactor (J/s/mol.)
181.9167727178872	N/A	1846.32336632937	39.364872	55009.557288	A	X	F1e	0	4	4.5	B	F1e	6	5	5.5	rR1(4.5)	5.750846394197736e-32
181.91691553391433	N/A	1805.28970638991	39.323877	55009.473138	A	X	F2f	0	4	3.5	B	F2f	6	5	4.5	rR2(3.5)	6.52113778436709e-32
181.91705120190164	N/A	41.0292197138386	39.364872	55009.473138	A	X	F1e	0	4	4.5	B	F2f	6	5	4.5	rQ21(4.5)	1.4820723480352278e-33
181.9178629998145	N/A	1805.26149956898	23.62226292	54993.485228	A	X	F1e	0	3	3.5	B	F1e	6	4	4.5	rR1(3.5)	6.905221636377717e-32
181.91798533227023	N/A	1740.78436275933	23.59037792	54993.416378	A	X	F2f	0	3	2.5	B	F2f	6	4	3.5	rR2(2.5)	6.801570937005401e-32
181.91807485398485	N/A	1874.68808460287	59.040857	55028.83980648	A	X	F1e	0	5	5.5	B	F1e	6	6	6.5	rR1(5.5)	4.519170308664778e-32
181.9180908530395	N/A	64.4733827243962	23.62226292	54993.416378	A	X	F1e	0	3	3.5	B	F2f	6	4	3.5	rQ21(3.5)	2.5190945022728782e-33
181.91823815739204	N/A	1846.27874760233	58.990752	55028.74035648	A	X	F2f	0	5	4.5	B	F2f	6	6	5.5	rR2(4.5)	5.874006003562239e-32
181.91840397625964	N/A	28.4042107530818	59.040857	55028.74035648	A	X	F1e	0	5	5.5	B	F2f	6	6	5.5	rQ21(5.5)	9.03689936451435e-34
181.9213441479752	N/A	1740.68794417911	11.81363648	54980.62472808	A	X	F1e	0	2	2.5	B	F1e	6	3	3.5	rR1(2.5)	6.636973939930374e-32
181.9214459990502	N/A	1624.63935250471	11.79086148	54980.57117808	A	X	F2f	0	2	1.5	B	F2f	6	3	2.5	rR2(1.5)	5.391853720983669e-32
