ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
181.9167727178872	1846.32336632937	39.364872	55009.557288	A	X	F1e	0	4	4.5	B	F1e	6	5	5.5	rR1(4.5)
181.91691553391433	1805.28970638991	39.323877	55009.473138	A	X	F2f	0	4	3.5	B	F2f	6	5	4.5	rR2(3.5)
181.91705120190164	41.0292197138386	39.364872	55009.473138	A	X	F1e	0	4	4.5	B	F2f	6	5	4.5	rQ21(4.5)
181.9178629998145	1805.26149956898	23.62226292	54993.485228	A	X	F1e	0	3	3.5	B	F1e	6	4	4.5	rR1(3.5)
181.91798533227023	1740.78436275933	23.59037792	54993.416378	A	X	F2f	0	3	2.5	B	F2f	6	4	3.5	rR2(2.5)
181.91807485398485	1874.68808460287	59.040857	55028.83980648	A	X	F1e	0	5	5.5	B	F1e	6	6	6.5	rR1(5.5)
181.9180908530395	64.4733827243962	23.62226292	54993.416378	A	X	F1e	0	3	3.5	B	F2f	6	4	3.5	rQ21(3.5)
181.91823815739204	1846.27874760233	58.990752	55028.74035648	A	X	F2f	0	5	4.5	B	F2f	6	6	5.5	rR2(4.5)
181.91840397625964	28.4042107530818	59.040857	55028.74035648	A	X	F1e	0	5	5.5	B	F2f	6	6	5.5	rQ21(5.5)
181.9213441479752	1740.68794417911	11.81363648	54980.62472808	A	X	F1e	0	2	2.5	B	F1e	6	3	3.5	rR1(2.5)
181.9214459990502	1624.63935250471	11.79086148	54980.57117808	A	X	F2f	0	2	1.5	B	F2f	6	3	2.5	rR2(1.5)
181.92152137388342	116.045523793866	11.81363648	54980.57117808	A	X	F1e	0	2	2.5	B	F2f	6	3	2.5	rQ21(2.5)
181.92177137585645	1895.40240780041	82.64945952	55051.33146152	A	X	F1e	0	6	6.5	B	F1e	6	7	7.5	rR1(6.5)
181.921955172073	1874.56812825809	82.59024452	55051.21671152	A	X	F2f	0	6	5.5	B	F2f	6	7	6.5	rR2(5.5)
181.92215114786634	20.8284674458249	82.64945952	55051.21671152	A	X	F1e	0	6	6.5	B	F2f	6	7	6.5	rQ21(6.5)
181.92721502613543	1624.48480238059	3.93944772	54970.97666952	A	X	F1e	0	1	1.5	B	F1e	6	2	2.5	rR1(1.5)
181.92729639640405	1353.73551886756	3.92578272	54970.93841952	A	X	F2f	0	1	0.5	B	F2f	6	2	1.5	rR2(0.5)
181.9273416242053	270.746901847408	3.93944772	54970.93841952	A	X	F1e	0	1	1.5	B	F2f	6	2	1.5	rQ21(1.5)
181.9278646677362	1911.13811758578	110.18976948	55077.03071088	A	X	F1e	0	7	7.5	B	F1e	6	8	8.5	rR1(7.5)
181.92806896381478	1895.20558192969	110.12144448	55076.90066088	A	X	F2f	0	7	6.5	B	F2f	6	8	7.5	rR2(6.5)
181.9282951049666	15.9260379376729	110.18976948	55076.90066088	A	X	F1e	0	7	7.5	B	F2f	6	8	7.5	rQ21(7.5)
181.93547491334576	1353.55296429116	0	54964.54171328	A	X	F1e	0	0	0.5	B	F1e	6	1	1.5	rR1(0.5)
181.93555087906407	1353.55126879657	0	54964.51876328	A	X	F1e	0	0	0.5	B	F2f	6	1	0.5	rQ21(0.5)
181.93635753099804	1923.44200835665	141.66072512	55105.935792	A	X	F1e	0	8	8.5	B	F1e	6	9	9.5	rR1(8.5)
181.93658233561837	1910.8634086371	141.58329012	55105.790442	A	X	F2f	0	8	7.5	B	F2f	6	9	8.5	rR2(7.5)
181.93683865295344	12.5714166607023	141.66072512	55105.790442	A	X	F1e	0	8	8.5	B	F2f	6	9	8.5	rQ21(8.5)
181.94725318493892	1933.2715948928	177.061113	55138.044722	A	X	F1e	0	9	9.5	B	F1e	6	10	10.5	rR1(9.5)
181.94749850841185	1923.08870239692	176.974568	55137.884072	A	X	F2f	0	9	8.5	B	F2f	6	10	9.5	rR2(8.5)
181.9477850151527	10.1750244325501	177.061113	55137.884072	A	X	F1e	0	9	9.5	B	F2f	6	10	9.5	rQ21(9.5)
181.95913557830232	1353.02501389987	3.92578272	54961.3203	A	X	F2f	0	1	0.5	B	F1e	6	0	0.5	pQ12(0.5)
181.95918082193563	2706.04800924529	3.93944772	54961.3203	A	X	F1e	0	1	1.5	B	F1e	6	0	0.5	pP1(1.5)
181.96055526769032	1941.25132037575	216.389568	55173.35529768	A	X	F1e	0	10	10.5	B	F1e	6	11	11.5	rR1(10.5)
181.96082112196262	1932.83916304421	216.293913	55173.17934768	A	X	F2f	0	10	9.5	B	F2f	6	11	10.5	rR2(9.5)
181.96113783373588	8.40360465423477	216.389568	55173.17934768	A	X	F1e	0	10	10.5	B	F2f	6	11	10.5	rQ21(10.5)
181.97451164853646	270.536413669433	11.79086148	54964.54171328	A	X	F2f	0	2	1.5	B	F1e	6	1	1.5	pQ12(1.5)
181.9745870673491	2434.82469570538	11.81363648	54964.54171328	A	X	F1e	0	2	2.5	B	F1e	6	1	1.5	pP1(2.5)
181.97458764685723	2705.36074715987	11.79086148	54964.51876328	A	X	F2f	0	2	1.5	B	F2f	6	1	0.5	pP2(1.5)
181.97626783725923	1947.80578457331	259.64457332	55211.86509552	A	X	F1e	0	11	11.5	B	F1e	6	12	12.5	rR1(11.5)
181.97655423591868	1940.73935407563	259.53980832	55211.67384552	A	X	F2f	0	11	10.5	B	F2f	6	12	11.5	rR2(10.5)
181.97690117076272	7.05719365152657	259.64457332	55211.67384552	A	X	F1e	0	11	11.5	B	F2f	6	12	11.5	rQ21(11.5)
181.99227797535357	115.910224729924	23.59037792	54970.97666952	A	X	F2f	0	3	2.5	B	F1e	6	2	2.5	pQ12(2.5)
181.99238358232677	2318.20045896117	23.62226292	54970.97666952	A	X	F1e	0	3	3.5	B	F1e	6	2	2.5	pP1(3.5)
181.99240466399064	2434.10963602074	23.59037792	54970.93841952	A	X	F2f	0	3	2.5	B	F2f	6	2	1.5	pP2(2.5)
181.994395372699	1953.23375951221	306.82446048	55253.57147168	A	X	F1e	0	12	12.5	B	F1e	6	13	13.5	rR1(12.5)
181.99470233098054	1947.21395674341	306.71058548	55253.36492168	A	X	F2f	0	12	11.5	B	F2f	6	13	12.5	rR2(11.5)
181.99507950935345	6.00988225361756	306.82446048	55253.36492168	A	X	F1e	0	12	12.5	B	F2f	6	13	12.5	rQ21(12.5)
182.0124359105601	64.3731765067021	39.323877	54980.62472808	A	X	F2f	0	4	3.5	B	F1e	6	3	3.5	pQ12(3.5)
182.01257172105716	2253.05613430608	39.364872	54980.62472808	A	X	F1e	0	4	4.5	B	F1e	6	3	3.5	pP1(4.5)
182.0126133139942	2317.42757800081	39.323877	54980.57117808	A	X	F2f	0	4	3.5	B	F2f	6	3	2.5	pP2(3.5)
182.01494277541116	1957.75157799069	357.92740932	55298.471562	A	X	F1e	0	13	13.5	B	F1e	6	14	14.5	rR1(13.5)
182.0152703102031	1952.56180012336	357.80442432	55298.249712	A	X	F2f	0	13	12.5	B	F2f	6	14	13.5	rR2(12.5)
182.01567775499197	5.17917423776455	357.92740932	55298.249712	A	X	F1e	0	13	13.5	B	F2f	6	14	13.5	rQ21(13.5)
182.0349872222605	40.9495258810128	58.990752	54993.485228	A	X	F2f	0	5	4.5	B	F1e	6	4	4.5	pQ12(4.5)
182.03515325403055	2211.26834696094	59.040857	54993.485228	A	X	F1e	0	5	5.5	B	F1e	6	4	4.5	pP1(5.5)
