B2Sigma	X2Sigma	"This file contains the original First Negative band  transition rates of CO+ from Qin et al. 2017 cited in Bromley et al 2023, and those benchmarked by comparisons to calibrated electron impact spectra (see Appendix of the manuscript)."			
v'	v''	Transition Rate (Original)	Transition Rate (Benchmarked)	Per cent Change w.r.t. original:	How modified?
0	0	1.04E+07	8.09E+06	-22.21153846	Integrated + Manual Rescale
0	1	5.61E+06	7.02E+06	25.13368984	Integrated + Manual Rescale
0	2	1.30E+06	1.62E+06	24.61538462	Integrated + Manual Rescale
0	3	1.78E+05	1.89E+05	6.179775281	Integrated + Manual Rescale
0	4	1.64E+04	9.96E+03	-39.26829268	Aval Fixed w.r.t. (0-0)
0	5	1.06E+03	6.44E+02	-39.24528302	Aval Fixed w.r.t. (0-0)
0	6	4.25E+01	2.58E+01	-39.29411765	Aval Fixed w.r.t. (0-0)
0	7	2.30E+00	1.40E+00	-39.13043478	Aval Fixed w.r.t. (0-0)
0	8	1.09E-01	6.62E-02	-39.26605505	Aval Fixed w.r.t. (0-0)
0	9	2.68E-02	1.63E-02	-39.27965536	Aval Fixed w.r.t. (0-0)
1	0	6.79E+06	4.63E+06	-31.81148748	Manual Rescale
1	1	1.02E+06	1.13E+06	10.78431373	Aval Fixed w.r.t. (1-0)
1	2	4.86E+06	5.82E+06	19.75308642	Manual Rescale
1	3	2.46E+06	3.29E+06	33.7398374	Manual Rescale
1	4	5.51E+05	6.09E+05	10.52631579	Aval Fixed w.r.t. (1-0)
1	5	7.27E+04	8.03E+04	10.45392022	Aval Fixed w.r.t. (1-0)
1	6	6.45E+03	7.12E+03	10.3875969	Aval Fixed w.r.t. (1-0)
1	7	3.59E+02	3.97E+02	10.58495822	Aval Fixed w.r.t. (1-0)
1	8	1.67E+01	1.84E+01	10.17964072	Aval Fixed w.r.t. (1-0)
1	9	1.91E+00	2.11E+00	10.47120419	Aval Fixed w.r.t. (1-0)
2	0	2.44E+06	2.45E+06	0.345538266	Renormalization only
2	1	5.47E+06	5.49E+06	0.345538266	Renormalization only
2	2	3.09E+05	3.10E+05	0.345538266	Renormalization only
2	3	2.15E+06	2.16E+06	0.345538266	Renormalization only
2	4	2.66E+06	2.67E+06	0.345538266	Renormalization only
2	5	9.67E+05	9.70E+05	0.345538266	Renormalization only
2	6	1.80E+05	1.81E+05	0.345538266	Renormalization only
2	7	2.10E+04	2.11E+04	0.345538266	Renormalization only
2	8	1.61E+03	1.62E+03	0.345538266	Renormalization only
2	9	1.01E+02	1.01E+02	0.345538266	Renormalization only
3	0	6.36E+05	6.64E+05	4.402515723	Renormalization only
3	1	4.33E+06	4.52E+06	4.387990762	Renormalization only
3	2	2.01E+06	2.10E+06	4.47761194	Renormalization only
3	3	2.03E+06	2.12E+06	4.433497537	Renormalization only
3	4	3.01E+05	3.14E+05	4.318936877	Renormalization only
3	5	1.93E+06	2.01E+06	4.14507772	Renormalization only
3	6	1.21E+06	1.26E+06	4.132231405	Renormalization only
3	7	3.19E+05	3.33E+05	4.388714734	Renormalization only
3	8	4.90E+04	5.11E+04	4.285714286	Renormalization only
4	0	1.35E+05	NA	NA	NA
4	1	1.89E+06	NA	NA	NA
4	2	4.19E+06	NA	NA	NA
4	3	9.51E+04	NA	NA	NA
4	4	2.70E+06	NA	NA	NA
4	5	7.96E+04	NA	NA	NA
4	6	8.85E+05	NA	NA	NA
4	7	1.14E+06	NA	NA	NA
4	8	4.38E+05	NA	NA	NA
4	9	8.86E+04	NA	NA	NA
5	0	2.45E+04	NA	NA	NA
5	1	6.00E+05	NA	NA	NA
5	2	3.07E+06	NA	NA	NA
5	3	2.38E+06	NA	NA	NA
5	4	4.40E+05	NA	NA	NA
5	5	1.79E+06	NA	NA	NA
5	6	7.33E+05	NA	NA	NA
5	7	1.61E+05	NA	NA	NA
5	8	8.14E+05	NA	NA	NA
5	9	4.88E+05	NA	NA	NA
6	0	4.06E+03	NA	NA	NA
6	1	1.56E+05	NA	NA	NA
6	2	1.43E+06	NA	NA	NA
6	3	3.28E+06	NA	NA	NA
6	4	5.36E+05	NA	NA	NA
6	5	1.62E+06	NA	NA	NA
6	6	5.09E+05	NA	NA	NA
6	7	1.19E+06	NA	NA	NA
6	8	1.13E+04	NA	NA	NA
6	9	4.04E+05	NA	NA	NA
