Xsigma (upper)	X2Sigma (lower)	This file contains vibrational transition rates used in the ECOTR and ECO+ Model in the associated manuscript.  These are produced by normalization  of the sum of the transition rates from Qin et al. 2017 to the lifetimes reported by Pavel and Rosmus (1982)
v'	v''	Transition Rate
1	0	7.782101167
2	0	3.196857994
2	1	12.07031758
3	0	0.04389131
3	1	4.430190502
3	2	18.35696842
4	0	1.068089094
4	1	7.437869626
4	2	9.612780523
4	3	12.55610738
5	0	3.905068104
5	1	8.387523961
5	2	5.268727151
5	3	5.983007495
5	4	15.67135956
6	0	5.374201365
6	1	4.519427187
6	2	2.137263302
6	3	6.900209991
6	4	13.28377059
6	5	15.63201752
7	0	2.559133226
7	1	4.887636922
7	2	3.158787301
7	3	5.638150592
7	4	21.90541938
7	5	9.133399586
7	6	8.897248269
8	0	6.421291432
8	1	25.23659097
8	2	10.82517888
8	3	2.139882692
8	4	6.564767667
8	5	7.504187195
8	6	0.229411149
8	7	5.594819046
9	0	12.93286183
9	1	18.75914572
9	2	4.064276478
9	3	1.681375608
9	4	12.08428568
9	5	5.934055046
9	6	0.288064473
9	7	7.243353501
9	8	9.476349777
